Ses01F_script01_3_F000 :Neutral state; ()
Ses01F_script01_3_F001 :Neutral state; ()
Ses01F_script01_3_F002 :Neutral state; ()
Ses01F_script01_3_F003 :Neutral state; ()
Ses01F_script01_3_F004 :Neutral state; ()
Ses01F_script01_3_F005 :Neutral state; ()
Ses01F_script01_3_F006 :Neutral state; ()
Ses01F_script01_3_F007 :Neutral state; ()
Ses01F_script01_3_F008 :Neutral state; ()
Ses01F_script01_3_F009 :Neutral state; ()
Ses01F_script01_3_F010 :Happiness; ()
Ses01F_script01_3_F011 :Happiness; ()
Ses01F_script01_3_F012 :Happiness; ()
Ses01F_script01_3_F013 :Happiness; ()
Ses01F_script01_3_F014 :Neutral state; ()
Ses01F_script01_3_F015 :Neutral state; ()
Ses01F_script01_3_F016 :Neutral state; ()
Ses01F_script01_3_F017 :Happiness; ()
Ses01F_script01_3_F018 :Happiness; ()
Ses01F_script01_3_F019 :Happiness; ()
Ses01F_script01_3_F020 :Happiness; ()
Ses01F_script01_3_F021 :Happiness; ()
Ses01F_script01_3_F022 :Neutral state; ()
Ses01F_script01_3_F023 :Neutral state; ()
Ses01F_script01_3_F024 :Neutral state; ()
Ses01F_script01_3_F025 :Neutral state; ()
Ses01F_script01_3_F026 :Neutral state; ()
Ses01F_script01_3_F027 :Neutral state; ()
Ses01F_script01_3_F028 :Neutral state; ()
Ses01F_script01_3_F029 :Neutral state; ()
Ses01F_script01_3_F030 :Sadness; ()
Ses01F_script01_3_F031 :Neutral state; ()
Ses01F_script01_3_F032 :Neutral state; ()
Ses01F_script01_3_F033 :Neutral state; ()
Ses01F_script01_3_F034 :Neutral state; ()
Ses01F_script01_3_F035 :Happiness; ()
Ses01F_script01_3_M000 :Neutral state; ()
Ses01F_script01_3_M001 :Neutral state; ()
Ses01F_script01_3_M002 :Neutral state; ()
Ses01F_script01_3_M003 :Neutral state; ()
Ses01F_script01_3_M004 :Neutral state; ()
Ses01F_script01_3_M005 :Neutral state; ()
Ses01F_script01_3_M006 :Neutral state; ()
Ses01F_script01_3_M007 :Other; (anxious)
Ses01F_script01_3_M008 :Happiness; ()
Ses01F_script01_3_M009 :Happiness; ()
Ses01F_script01_3_M010 :Happiness; ()
Ses01F_script01_3_M011 :Neutral state; ()
Ses01F_script01_3_M012 :Neutral state; ()
Ses01F_script01_3_M013 :Neutral state; ()
Ses01F_script01_3_M014 :Surprise; ()
Ses01F_script01_3_M015 :Surprise; :Happiness; ()
Ses01F_script01_3_M016 :Surprise; :Happiness; ()
Ses01F_script01_3_M017 :Surprise; ()
Ses01F_script01_3_M018 :Happiness; ()
Ses01F_script01_3_M019 :Happiness; ()
Ses01F_script01_3_M020 :Neutral state; ()
Ses01F_script01_3_M021 :Neutral state; ()
Ses01F_script01_3_M022 :Neutral state; ()
Ses01F_script01_3_M023 :Neutral state; ()
Ses01F_script01_3_M024 :Neutral state; ()
Ses01F_script01_3_M025 :Neutral state; ()
Ses01F_script01_3_M026 :Sadness; ()
Ses01F_script01_3_M027 :Sadness; ()
Ses01F_script01_3_M028 :Sadness; ()
Ses01F_script01_3_M029 :Sadness; ()
Ses01F_script01_3_M030 :Sadness; ()
Ses01F_script01_3_M031 :Neutral state; ()
Ses01F_script01_3_M032 :Sadness; ()
Ses01F_script01_3_M033 :Neutral state; ()
Ses01F_script01_3_M034 :Other; (pensive)
Ses01F_script01_3_M035 :Other; (pensive)
Ses01F_script01_3_M036 :Sadness; ()
Ses01F_script01_3_M037 :Neutral state; ()
Ses01F_script01_3_M038 :Happiness; ()
