Ses01M_script01_1_F000 :Sadness; ()
Ses01M_script01_1_F001 :Surprise; ()
Ses01M_script01_1_F002 :Surprise; ()
Ses01M_script01_1_F003 :Surprise; ()
Ses01M_script01_1_F004 :Sadness; ()
Ses01M_script01_1_F005 :Sadness; ()
Ses01M_script01_1_F006 :Sadness; ()
Ses01M_script01_1_F007 :Anger; ()
Ses01M_script01_1_F008 :Anger; ()
Ses01M_script01_1_F009 :Sadness; ()
Ses01M_script01_1_F010 :Surprise; ()
Ses01M_script01_1_F011 :Surprise; ()
Ses01M_script01_1_F012 :Anger; ()
Ses01M_script01_1_F013 :Anger; ()
Ses01M_script01_1_F014 :Anger; ()
Ses01M_script01_1_F015 :Sadness; :Anger; ()
Ses01M_script01_1_F016 :Anger; ()
Ses01M_script01_1_F017 :Anger; ()
Ses01M_script01_1_F018 :Anger; ()
Ses01M_script01_1_F019 :Frustration; ()
Ses01M_script01_1_F020 :Anger; ()
Ses01M_script01_1_F021 :Anger; ()
Ses01M_script01_1_F022 :Anger; ()
Ses01M_script01_1_F023 :Anger; ()
Ses01M_script01_1_F024 :Anger; ()
Ses01M_script01_1_F025 :Neutral state; ()
Ses01M_script01_1_F026 :Neutral state; ()
Ses01M_script01_1_F027 :Surprise; ()
Ses01M_script01_1_F028 :Anger; ()
Ses01M_script01_1_F029 :Anger; ()
Ses01M_script01_1_F030 :Anger; ()
Ses01M_script01_1_F031 :Sadness; :Anger; ()
Ses01M_script01_1_F032 :Anger; ()
Ses01M_script01_1_F033 :Sadness; ()
Ses01M_script01_1_F034 :Surprise; ()
Ses01M_script01_1_F035 :Surprise; ()
Ses01M_script01_1_F036 :Anger; ()
Ses01M_script01_1_F037 :Anger; ()
Ses01M_script01_1_F038 :Anger; ()
Ses01M_script01_1_F039 :Anger; ()
Ses01M_script01_1_F040 :Anger; ()
Ses01M_script01_1_F041 :Anger; ()
Ses01M_script01_1_F042 :Sadness; ()
Ses01M_script01_1_F043 :Disgust; ()
Ses01M_script01_1_M000 :Neutral state; ()
Ses01M_script01_1_M001 :Sadness; ()
Ses01M_script01_1_M002 :Neutral state; ()
Ses01M_script01_1_M003 :Sadness; ()
Ses01M_script01_1_M004 :Sadness; ()
Ses01M_script01_1_M005 :Sadness; ()
Ses01M_script01_1_M006 :Sadness; ()
Ses01M_script01_1_M007 :Sadness; ()
Ses01M_script01_1_M008 :Frustration; ()
Ses01M_script01_1_M009 :Sadness; ()
Ses01M_script01_1_M010 :Frustration; ()
Ses01M_script01_1_M011 :Frustration; ()
Ses01M_script01_1_M012 :Frustration; ()
Ses01M_script01_1_M013 :Frustration; ()
Ses01M_script01_1_M014 :Frustration; ()
Ses01M_script01_1_M015 :Sadness; ()
Ses01M_script01_1_M016 :Sadness; ()
Ses01M_script01_1_M017 :Happiness; ()
Ses01M_script01_1_M018 :Neutral state; ()
Ses01M_script01_1_M019 :Frustration; ()
Ses01M_script01_1_M020 :Anger; ()
Ses01M_script01_1_M021 :Anger; ()
Ses01M_script01_1_M022 :Frustration; ()
Ses01M_script01_1_M023 :Anger; ()
Ses01M_script01_1_M024 :Sadness; ()
Ses01M_script01_1_M025 :Sadness; ()
Ses01M_script01_1_M026 :Sadness; ()
Ses01M_script01_1_M027 :Frustration; ()
Ses01M_script01_1_M028 :Frustration; ()
Ses01M_script01_1_M029 :Sadness; ()
Ses01M_script01_1_M030 :Frustration; ()
Ses01M_script01_1_M031 :Frustration; ()
Ses01M_script01_1_M032 :Anger; ()
Ses01M_script01_1_M033 :Anger; ()
Ses01M_script01_1_M034 :Anger; ()
Ses01M_script01_1_M035 :Anger; ()
Ses01M_script01_1_M036 :Sadness; ()
Ses01M_script01_1_M037 :Neutral state; ()
Ses01M_script01_1_M038 :Sadness; ()
Ses01M_script01_1_M039 :Sadness; ()
Ses01M_script01_1_M040 :Sadness; ()
Ses01M_script01_1_M041 :Anger; ()
Ses01M_script01_1_M042 :Sadness; ()
