Ses01M_impro05_F000 :Neutral state; ()
Ses01M_impro05_F001 :Neutral state; ()
Ses01M_impro05_F002 :Neutral state; ()
Ses01M_impro05_F003 :Neutral state; ()
Ses01M_impro05_F004 :Neutral state; ()
Ses01M_impro05_F005 :Neutral state; ()
Ses01M_impro05_F006 :Neutral state; ()
Ses01M_impro05_F007 :Neutral state; ()
Ses01M_impro05_F008 :Neutral state; ()
Ses01M_impro05_F009 :Neutral state; ()
Ses01M_impro05_F010 :Neutral state; ()
Ses01M_impro05_F011 :Neutral state; ()
Ses01M_impro05_F012 :Neutral state; ()
Ses01M_impro05_F013 :Neutral state; ()
Ses01M_impro05_F014 :Neutral state; ()
Ses01M_impro05_F015 :Neutral state; ()
Ses01M_impro05_F016 :Neutral state; ()
Ses01M_impro05_F017 :Neutral state; ()
Ses01M_impro05_F018 :Neutral state; ()
Ses01M_impro05_F019 :Neutral state; ()
Ses01M_impro05_F020 :Neutral state; ()
Ses01M_impro05_F021 :Neutral state; ()
Ses01M_impro05_F022 :Neutral state; ()
Ses01M_impro05_F023 :Neutral state; ()
Ses01M_impro05_F024 :Neutral state; ()
Ses01M_impro05_F025 :Neutral state; ()
Ses01M_impro05_F026 :Neutral state; ()
Ses01M_impro05_F027 :Neutral state; ()
Ses01M_impro05_F028 :Neutral state; ()
Ses01M_impro05_F029 :Neutral state; ()
Ses01M_impro05_F030 :Neutral state; ()
Ses01M_impro05_F031 :Neutral state; ()
Ses01M_impro05_F032 :Neutral state; ()
Ses01M_impro05_F033 :Neutral state; ()
Ses01M_impro05_F034 :Neutral state; ()
Ses01M_impro05_F035 :Neutral state; ()
Ses01M_impro05_F036 :Neutral state; ()
Ses01M_impro05_F037 :Neutral state; ()
Ses01M_impro05_M000 :Frustration; ()
Ses01M_impro05_M001 :Frustration; ()
Ses01M_impro05_M002 :Frustration; ()
Ses01M_impro05_M003 :Frustration; :Anger; ()
Ses01M_impro05_M004 :Anger; ()
Ses01M_impro05_M005 :Anger; ()
Ses01M_impro05_M006 :Anger; ()
Ses01M_impro05_M007 :Anger; ()
Ses01M_impro05_M008 :Anger; ()
Ses01M_impro05_M009 :Anger; ()
Ses01M_impro05_M010 :Frustration; :Anger; ()
Ses01M_impro05_M011 :Frustration; :Anger; ()
Ses01M_impro05_M012 :Frustration; :Anger; ()
Ses01M_impro05_M013 :Frustration; :Anger; ()
Ses01M_impro05_M014 :Anger; ()
Ses01M_impro05_M015 :Anger; ()
Ses01M_impro05_M016 :Anger; ()
Ses01M_impro05_M017 :Anger; ()
Ses01M_impro05_M018 :Anger; ()
Ses01M_impro05_M019 :Anger; ()
Ses01M_impro05_M020 :Anger; ()
Ses01M_impro05_M021 :Anger; ()
Ses01M_impro05_M022 :Anger; ()
Ses01M_impro05_M023 :Anger; ()
Ses01M_impro05_M024 :Anger; ()
Ses01M_impro05_M025 :Anger; ()
Ses01M_impro05_M026 :Anger; ()
Ses01M_impro05_M027 :Anger; ()
Ses01M_impro05_M028 :Anger; ()
Ses01M_impro05_M029 :Anger; ()
Ses01M_impro05_M030 :Anger; ()
Ses01M_impro05_M031 :Anger; ()
