Ses01F_impro04_F000 :Frustration; ()
Ses01F_impro04_F001 :Frustration; ()
Ses01F_impro04_F002 :Frustration; ()
Ses01F_impro04_F003 :Frustration; ()
Ses01F_impro04_F004 :Frustration; ()
Ses01F_impro04_F005 :Frustration; ()
Ses01F_impro04_F006 :Frustration; ()
Ses01F_impro04_F007 :Frustration; ()
Ses01F_impro04_F008 :Frustration; ()
Ses01F_impro04_F009 :Frustration; ()
Ses01F_impro04_F010 :Neutral state; ()
Ses01F_impro04_F011 :Frustration; ()
Ses01F_impro04_F012 :Frustration; ()
Ses01F_impro04_F013 :Frustration; ()
Ses01F_impro04_F014 :Frustration; ()
Ses01F_impro04_F015 :Frustration; ()
Ses01F_impro04_F016 :Frustration; ()
Ses01F_impro04_F017 :Frustration; ()
Ses01F_impro04_F018 :Frustration; ()
Ses01F_impro04_F019 :Frustration; ()
Ses01F_impro04_F020 :Anger; ()
Ses01F_impro04_F021 :Frustration; ()
Ses01F_impro04_F022 :Frustration; ()
Ses01F_impro04_F023 :Frustration; ()
Ses01F_impro04_F024 :Frustration; ()
Ses01F_impro04_F025 :Frustration; ()
Ses01F_impro04_F026 :Frustration; ()
Ses01F_impro04_F027 :Frustration; ()
Ses01F_impro04_F028 :Anger; ()
Ses01F_impro04_F029 :Anger; ()
Ses01F_impro04_F030 :Anger; ()
Ses01F_impro04_F031 :Anger; ()
Ses01F_impro04_F032 :Anger; ()
Ses01F_impro04_F033 :Anger; ()
Ses01F_impro04_M000 :Neutral state; ()
Ses01F_impro04_M001 :Neutral state; ()
Ses01F_impro04_M002 :Neutral state; ()
Ses01F_impro04_M003 :Neutral state; ()
Ses01F_impro04_M004 :Neutral state; ()
Ses01F_impro04_M005 :Neutral state; ()
Ses01F_impro04_M006 :Neutral state; ()
Ses01F_impro04_M007 :Neutral state; ()
Ses01F_impro04_M008 :Neutral state; ()
Ses01F_impro04_M009 :Neutral state; ()
Ses01F_impro04_M010 :Neutral state; ()
Ses01F_impro04_M011 :Neutral state; ()
Ses01F_impro04_M012 :Neutral state; ()
Ses01F_impro04_M013 :Neutral state; ()
Ses01F_impro04_M014 :Neutral state; ()
Ses01F_impro04_M015 :Neutral state; ()
Ses01F_impro04_M016 :Neutral state; ()
Ses01F_impro04_M017 :Neutral state; ()
Ses01F_impro04_M018 :Neutral state; ()
Ses01F_impro04_M019 :Neutral state; ()
Ses01F_impro04_M020 :Neutral state; ()
Ses01F_impro04_M021 :Neutral state; ()
Ses01F_impro04_M022 :Neutral state; ()
Ses01F_impro04_M023 :Neutral state; ()
Ses01F_impro04_M024 :Neutral state; ()
Ses01F_impro04_M025 :Other; (pride)
Ses01F_impro04_M026 :Other; (pride)
Ses01F_impro04_M027 :Other; (pride)
Ses01F_impro04_M028 :Neutral state; ()
Ses01F_impro04_M029 :Frustration; ()
Ses01F_impro04_M030 :Frustration; ()
Ses01F_impro04_M031 :Frustration; ()
Ses01F_impro04_M032 :Frustration; ()
Ses01F_impro04_M033 :Frustration; ()
Ses01F_impro04_M034 :Frustration; ()
Ses01F_impro04_M035 :Frustration; ()
Ses01F_impro04_M036 :Frustration; ()
