Ses01F_impro06_F000 :Sadness; ()
Ses01F_impro06_F001 :Frustration; ()
Ses01F_impro06_F002 :Sadness; ()
Ses01F_impro06_F003 :Sadness; ()
Ses01F_impro06_F004 :Sadness; ()
Ses01F_impro06_F005 :Sadness; ()
Ses01F_impro06_F006 :Sadness; ()
Ses01F_impro06_F007 :Sadness; ()
Ses01F_impro06_F008 :Sadness; ()
Ses01F_impro06_F009 :Sadness; ()
Ses01F_impro06_F010 :Sadness; ()
Ses01F_impro06_F011 :Sadness; ()
Ses01F_impro06_F012 :Frustration; ()
Ses01F_impro06_F013 :Sadness; ()
Ses01F_impro06_F014 :Sadness; ()
Ses01F_impro06_F015 :Sadness; ()
Ses01F_impro06_F016 :Sadness; ()
Ses01F_impro06_F017 :Sadness; ()
Ses01F_impro06_F018 :Sadness; ()
Ses01F_impro06_F019 :Sadness; ()
Ses01F_impro06_F020 :Sadness; ()
Ses01F_impro06_F021 :Sadness; ()
Ses01F_impro06_F022 :Sadness; ()
Ses01F_impro06_F023 :Sadness; ()
Ses01F_impro06_F024 :Sadness; ()
Ses01F_impro06_F025 :Sadness; ()
Ses01F_impro06_F026 :Sadness; ()
Ses01F_impro06_F027 :Sadness; ()
Ses01F_impro06_F028 :Sadness; ()
Ses01F_impro06_M000 :Sadness; ()
Ses01F_impro06_M001 :Sadness; ()
Ses01F_impro06_M002 :Sadness; ()
Ses01F_impro06_M003 :Sadness; ()
Ses01F_impro06_M004 :Sadness; ()
Ses01F_impro06_M005 :Sadness; ()
Ses01F_impro06_M006 :Sadness; ()
Ses01F_impro06_M007 :Sadness; ()
Ses01F_impro06_M008 :Sadness; ()
Ses01F_impro06_M009 :Neutral state; ()
Ses01F_impro06_M010 :Neutral state; ()
Ses01F_impro06_M011 :Sadness; ()
Ses01F_impro06_M012 :Sadness; ()
Ses01F_impro06_M013 :Sadness; ()
Ses01F_impro06_M014 :Sadness; ()
Ses01F_impro06_M015 :Sadness; ()
Ses01F_impro06_M016 :Sadness; ()
Ses01F_impro06_M017 :Sadness; ()
