Ses01F_script01_1_F000 :Fear; ()
Ses01F_script01_1_F001 :Fear; ()
Ses01F_script01_1_F002 :Fear; ()
Ses01F_script01_1_F003 :Fear; ()
Ses01F_script01_1_F004 :Frustration; ()
Ses01F_script01_1_F005 :Frustration; ()
Ses01F_script01_1_F006 :Frustration; ()
Ses01F_script01_1_F007 :Anger; ()
Ses01F_script01_1_F008 :Frustration; ()
Ses01F_script01_1_F009 :Frustration; ()
Ses01F_script01_1_F010 :Frustration; ()
Ses01F_script01_1_F011 :Frustration; ()
Ses01F_script01_1_F012 :Frustration; ()
Ses01F_script01_1_F013 :Anger; ()
Ses01F_script01_1_F014 :Frustration; ()
Ses01F_script01_1_F015 :Frustration; ()
Ses01F_script01_1_F016 :Anger; ()
Ses01F_script01_1_F017 :Anger; ()
Ses01F_script01_1_F018 :Anger; ()
Ses01F_script01_1_F019 :Anger; ()
Ses01F_script01_1_F020 :Frustration; ()
Ses01F_script01_1_F021 :Frustration; ()
Ses01F_script01_1_F022 :Frustration; ()
Ses01F_script01_1_F023 :Frustration; ()
Ses01F_script01_1_F024 :Frustration; ()
Ses01F_script01_1_F025 :Frustration; ()
Ses01F_script01_1_F026 :Frustration; ()
Ses01F_script01_1_F027 :Frustration; ()
Ses01F_script01_1_F028 :Frustration; ()
Ses01F_script01_1_F029 :Frustration; ()
Ses01F_script01_1_F030 :Frustration; ()
Ses01F_script01_1_F031 :Frustration; ()
Ses01F_script01_1_F032 :Frustration; ()
Ses01F_script01_1_F033 :Frustration; ()
Ses01F_script01_1_F034 :Frustration; ()
Ses01F_script01_1_F035 :Anger; ()
Ses01F_script01_1_F036 :Other; (indignation)
Ses01F_script01_1_F037 :Anger; ()
Ses01F_script01_1_F038 :Anger; ()
Ses01F_script01_1_F039 :Frustration; ()
Ses01F_script01_1_F040 :Frustration; ()
Ses01F_script01_1_F041 :Anger; ()
Ses01F_script01_1_F042 :Anger; ()
Ses01F_script01_1_F043 :Frustration; ()
Ses01F_script01_1_F044 :Frustration; ()
Ses01F_script01_1_M000 :Neutral state; ()
Ses01F_script01_1_M001 :Neutral state; ()
Ses01F_script01_1_M002 :Neutral state; ()
Ses01F_script01_1_M003 :Frustration; ()
Ses01F_script01_1_M004 :Frustration; ()
Ses01F_script01_1_M005 :Frustration; ()
Ses01F_script01_1_M006 :Frustration; ()
Ses01F_script01_1_M007 :Frustration; ()
Ses01F_script01_1_M008 :Frustration; ()
Ses01F_script01_1_M009 :Frustration; ()
Ses01F_script01_1_M010 :Frustration; ()
Ses01F_script01_1_M011 :Frustration; ()
Ses01F_script01_1_M012 :Frustration; ()
Ses01F_script01_1_M013 :Frustration; ()
Ses01F_script01_1_M014 :Frustration; ()
Ses01F_script01_1_M015 :Neutral state; ()
Ses01F_script01_1_M016 :Frustration; ()
Ses01F_script01_1_M017 :Frustration; ()
Ses01F_script01_1_M018 :Frustration; ()
Ses01F_script01_1_M019 :Anger; ()
Ses01F_script01_1_M020 :Frustration; ()
Ses01F_script01_1_M021 :Frustration; ()
Ses01F_script01_1_M022 :Frustration; ()
Ses01F_script01_1_M023 :Frustration; ()
Ses01F_script01_1_M024 :Sadness; ()
Ses01F_script01_1_M025 :Sadness; ()
Ses01F_script01_1_M026 :Frustration; ()
Ses01F_script01_1_M027 :Frustration; ()
Ses01F_script01_1_M028 :Frustration; ()
Ses01F_script01_1_M029 :Frustration; ()
Ses01F_script01_1_M030 :Frustration; ()
Ses01F_script01_1_M031 :Frustration; ()
Ses01F_script01_1_M032 :Frustration; ()
Ses01F_script01_1_M033 :Frustration; ()
Ses01F_script01_1_M034 :Frustration; ()
Ses01F_script01_1_M035 :Frustration; ()
Ses01F_script01_1_M036 :Frustration; ()
Ses01F_script01_1_M037 :Frustration; ()
Ses01F_script01_1_M038 :Frustration; ()
Ses01F_script01_1_M039 :Frustration; ()
Ses01F_script01_1_M040 :Frustration; ()
Ses01F_script01_1_M041 :Frustration; ()
Ses01F_script01_1_M042 :Frustration; ()
Ses01F_script01_1_M043 :Frustration; ()
