Ses01M_impro06_F000 :Neutral state; ()
Ses01M_impro06_F001 :Neutral state; ()
Ses01M_impro06_F002 :Neutral state; ()
Ses01M_impro06_F003 :Neutral state; ()
Ses01M_impro06_F004 :Neutral state; ()
Ses01M_impro06_F005 :Neutral state; ()
Ses01M_impro06_F006 :Other; (concern)
Ses01M_impro06_F007 :Neutral state; ()
Ses01M_impro06_F008 :Neutral state; ()
Ses01M_impro06_F009 :Neutral state; ()
Ses01M_impro06_F010 :Neutral state; ()
Ses01M_impro06_F011 :Neutral state; ()
Ses01M_impro06_F012 :Neutral state; ()
Ses01M_impro06_F013 :Neutral state; ()
Ses01M_impro06_F014 :Neutral state; ()
Ses01M_impro06_F015 :Neutral state; ()
Ses01M_impro06_F016 :Neutral state; ()
Ses01M_impro06_F017 :Neutral state; ()
Ses01M_impro06_F018 :Neutral state; ()
Ses01M_impro06_F019 :Neutral state; ()
Ses01M_impro06_F020 :Neutral state; ()
Ses01M_impro06_F021 :Neutral state; ()
Ses01M_impro06_F022 :Neutral state; ()
Ses01M_impro06_F023 :Neutral state; ()
Ses01M_impro06_F024 :Neutral state; ()
Ses01M_impro06_F025 :Neutral state; ()
Ses01M_impro06_F026 :Neutral state; ()
Ses01M_impro06_F027 :Neutral state; ()
Ses01M_impro06_F028 :Neutral state; ()
Ses01M_impro06_M000 :Sadness; ()
Ses01M_impro06_M001 :Sadness; ()
Ses01M_impro06_M002 :Sadness; ()
Ses01M_impro06_M003 :Sadness; ()
Ses01M_impro06_M004 :Sadness; ()
Ses01M_impro06_M005 :Sadness; ()
Ses01M_impro06_M006 :Sadness; ()
Ses01M_impro06_M007 :Sadness; ()
Ses01M_impro06_M008 :Sadness; ()
Ses01M_impro06_M009 :Sadness; ()
Ses01M_impro06_M010 :Sadness; ()
Ses01M_impro06_M011 :Sadness; ()
Ses01M_impro06_M012 :Sadness; ()
Ses01M_impro06_M013 :Sadness; ()
Ses01M_impro06_M014 :Sadness; ()
Ses01M_impro06_M015 :Sadness; ()
Ses01M_impro06_M016 :Sadness; ()
Ses01M_impro06_M017 :Sadness; ()
Ses01M_impro06_M018 :Sadness; ()
Ses01M_impro06_M019 :Sadness; ()
Ses01M_impro06_M020 :Sadness; ()
Ses01M_impro06_M021 :Sadness; ()
Ses01M_impro06_M022 :Sadness; ()
Ses01M_impro06_M023 :Sadness; ()
Ses01M_impro06_M024 :Sadness; ()
Ses01M_impro06_M025 :Sadness; ()
Ses01M_impro06_M026 :Sadness; ()
Ses01M_impro06_M027 :Sadness; ()
Ses01M_impro06_M028 :Sadness; ()
Ses01M_impro06_M029 :Sadness; ()
Ses01M_impro06_M030 :Sadness; ()
