Ses01M_script03_2_F000 :Neutral state; ()
Ses01M_script03_2_F001 :Neutral state; ()
Ses01M_script03_2_F002 :Neutral state; ()
Ses01M_script03_2_F003 :Surprise; ()
Ses01M_script03_2_F004 :Neutral state; ()
Ses01M_script03_2_F005 :Neutral state; ()
Ses01M_script03_2_F006 :Neutral state; ()
Ses01M_script03_2_F007 :Neutral state; ()
Ses01M_script03_2_F008 :Neutral state; ()
Ses01M_script03_2_F009 :Neutral state; ()
Ses01M_script03_2_F010 :Neutral state; ()
Ses01M_script03_2_F011 :Other; (annoyed)
Ses01M_script03_2_F012 :Other; (annoyed)
Ses01M_script03_2_F013 :Other; (annoyed)
Ses01M_script03_2_F014 :Other; (annoyed)
Ses01M_script03_2_F015 :Other; (annoyed)
Ses01M_script03_2_F016 :Other; (annoyed)
Ses01M_script03_2_F017 :Neutral state; ()
Ses01M_script03_2_F018 :Other; (annoyed)
Ses01M_script03_2_F019 :Other; (annoyed)
Ses01M_script03_2_F020 :Other; (annoyed)
Ses01M_script03_2_F021 :Other; (annoyed)
Ses01M_script03_2_F022 :Anger; ()
Ses01M_script03_2_F023 :Frustration; :Anger; ()
Ses01M_script03_2_F024 :Anger; ()
Ses01M_script03_2_F025 :Anger; ()
Ses01M_script03_2_F026 :Anger; ()
Ses01M_script03_2_F027 :Anger; ()
Ses01M_script03_2_F028 :Anger; ()
Ses01M_script03_2_F029 :Anger; ()
Ses01M_script03_2_F030 :Anger; ()
Ses01M_script03_2_F031 :Anger; ()
Ses01M_script03_2_F032 :Anger; ()
Ses01M_script03_2_F033 :Anger; ()
Ses01M_script03_2_F034 :Anger; ()
Ses01M_script03_2_F035 :Anger; ()
Ses01M_script03_2_F036 :Anger; ()
Ses01M_script03_2_F037 :Anger; ()
Ses01M_script03_2_F038 :Anger; ()
Ses01M_script03_2_F039 :Frustration; :Anger; ()
Ses01M_script03_2_F040 :Anger; ()
Ses01M_script03_2_F041 :Frustration; :Anger; ()
Ses01M_script03_2_M000 :Neutral state; ()
Ses01M_script03_2_M001 :Neutral state; ()
Ses01M_script03_2_M002 :Neutral state; ()
Ses01M_script03_2_M003 :Neutral state; ()
Ses01M_script03_2_M004 :Other; (annoyed)
Ses01M_script03_2_M005 :Neutral state; ()
Ses01M_script03_2_M006 :Other; (annoyed)
Ses01M_script03_2_M007 :Neutral state; ()
Ses01M_script03_2_M008 :Neutral state; ()
Ses01M_script03_2_M009 :Neutral state; ()
Ses01M_script03_2_M010 :Other; (annoyed)
Ses01M_script03_2_M011 :Neutral state; ()
Ses01M_script03_2_M012 :Neutral state; ()
Ses01M_script03_2_M013 :Neutral state; ()
Ses01M_script03_2_M014 :Other; (annoyed)
Ses01M_script03_2_M015 :Other; (annoyed)
Ses01M_script03_2_M016 :Frustration; ()
Ses01M_script03_2_M017 :Frustration; ()
Ses01M_script03_2_M018 :Neutral state; ()
Ses01M_script03_2_M019 :Neutral state; ()
Ses01M_script03_2_M020 :Neutral state; ()
Ses01M_script03_2_M021 :Neutral state; ()
Ses01M_script03_2_M022 :Anger; ()
Ses01M_script03_2_M023 :Anger; ()
Ses01M_script03_2_M024 :Anger; ()
Ses01M_script03_2_M025 :Anger; ()
Ses01M_script03_2_M026 :Anger; ()
Ses01M_script03_2_M027 :Anger; ()
Ses01M_script03_2_M028 :Anger; ()
Ses01M_script03_2_M029 :Anger; ()
Ses01M_script03_2_M030 :Anger; ()
Ses01M_script03_2_M031 :Anger; ()
Ses01M_script03_2_M032 :Anger; ()
Ses01M_script03_2_M033 :Anger; ()
Ses01M_script03_2_M034 :Anger; ()
Ses01M_script03_2_M035 :Anger; ()
Ses01M_script03_2_M036 :Anger; ()
Ses01M_script03_2_M037 :Anger; ()
Ses01M_script03_2_M038 :Anger; ()
Ses01M_script03_2_M039 :Anger; ()
Ses01M_script03_2_M040 :Anger; ()
Ses01M_script03_2_M041 :Anger; ()
Ses01M_script03_2_M042 :Anger; ()
Ses01M_script03_2_M043 :Anger; ()
