Ses01M_script02_2_F000 :Neutral state; ()
Ses01M_script02_2_F001 :Other; (annoyed)
Ses01M_script02_2_F002 :Anger; ()
Ses01M_script02_2_F003 :Anger; ()
Ses01M_script02_2_F004 :Anger; ()
Ses01M_script02_2_F005 :Anger; ()
Ses01M_script02_2_F006 :Anger; ()
Ses01M_script02_2_F007 :Neutral state; ()
Ses01M_script02_2_F008 :Anger; ()
Ses01M_script02_2_F009 :Anger; ()
Ses01M_script02_2_F010 :Anger; ()
Ses01M_script02_2_F011 :Anger; ()
Ses01M_script02_2_F012 :Frustration; ()
Ses01M_script02_2_F013 :Anger; ()
Ses01M_script02_2_F014 :Anger; ()
Ses01M_script02_2_F015 :Anger; ()
Ses01M_script02_2_F016 :Anger; ()
Ses01M_script02_2_F017 :Anger; ()
Ses01M_script02_2_F018 :Anger; ()
Ses01M_script02_2_F019 :Neutral state; ()
Ses01M_script02_2_F020 :Happiness; ()
Ses01M_script02_2_F021 :Happiness; ()
Ses01M_script02_2_F022 :Happiness; ()
Ses01M_script02_2_F023 :Happiness; ()
Ses01M_script02_2_F024 :Sadness; ()
Ses01M_script02_2_F025 :Neutral state; ()
Ses01M_script02_2_F026 :Neutral state; ()
Ses01M_script02_2_F027 :Neutral state; ()
Ses01M_script02_2_F028 :Frustration; ()
Ses01M_script02_2_F029 :Frustration; ()
Ses01M_script02_2_F030 :Anger; ()
Ses01M_script02_2_F031 :Anger; ()
Ses01M_script02_2_F032 :Anger; ()
Ses01M_script02_2_F033 :Sadness; ()
Ses01M_script02_2_F034 :Sadness; ()
Ses01M_script02_2_F035 :Sadness; ()
Ses01M_script02_2_F036 :Sadness; ()
Ses01M_script02_2_F037 :Sadness; ()
Ses01M_script02_2_F038 :Happiness; ()
Ses01M_script02_2_F039 :Anger; ()
Ses01M_script02_2_F040 :Sadness; ()
Ses01M_script02_2_F041 :Happiness; ()
Ses01M_script02_2_F042 :Happiness; ()
Ses01M_script02_2_F043 :Happiness; ()
Ses01M_script02_2_F044 :Happiness; ()
Ses01M_script02_2_F045 :Happiness; ()
Ses01M_script02_2_F046 :Sadness; ()
Ses01M_script02_2_F047 :Neutral state; ()
Ses01M_script02_2_M000 :Excited; ()
Ses01M_script02_2_M001 :Excited; ()
Ses01M_script02_2_M002 :Excited; ()
Ses01M_script02_2_M003 :Happiness; ()
Ses01M_script02_2_M004 :Happiness; ()
Ses01M_script02_2_M005 :Happiness; ()
Ses01M_script02_2_M006 :Neutral state; ()
Ses01M_script02_2_M007 :Surprise; ()
Ses01M_script02_2_M008 :Neutral state; ()
Ses01M_script02_2_M009 :Anger; ()
Ses01M_script02_2_M010 :Frustration; ()
Ses01M_script02_2_M011 :Excited; ()
Ses01M_script02_2_M012 :Anger; ()
Ses01M_script02_2_M013 :Neutral state; ()
Ses01M_script02_2_M014 :Neutral state; ()
Ses01M_script02_2_M015 :Neutral state; ()
Ses01M_script02_2_M016 :Neutral state; ()
Ses01M_script02_2_M017 :Anger; ()
Ses01M_script02_2_M018 :Neutral state; ()
Ses01M_script02_2_M019 :Neutral state; ()
Ses01M_script02_2_M020 :Neutral state; ()
Ses01M_script02_2_M021 :Neutral state; ()
Ses01M_script02_2_M022 :Neutral state; ()
Ses01M_script02_2_M023 :Neutral state; ()
Ses01M_script02_2_M024 :Happiness; ()
Ses01M_script02_2_M025 :Neutral state; ()
Ses01M_script02_2_M026 :Happiness; ()
Ses01M_script02_2_M027 :Neutral state; ()
Ses01M_script02_2_M028 :Neutral state; ()
Ses01M_script02_2_M029 :Neutral state; ()
Ses01M_script02_2_M030 :Neutral state; ()
Ses01M_script02_2_M031 :Sadness; ()
Ses01M_script02_2_M032 :Sadness; ()
Ses01M_script02_2_M033 :Anger; ()
Ses01M_script02_2_M034 :Frustration; ()
Ses01M_script02_2_M035 :Anger; ()
Ses01M_script02_2_M036 :Anger; ()
Ses01M_script02_2_M037 :Anger; ()
Ses01M_script02_2_M038 :Anger; ()
Ses01M_script02_2_M039 :Neutral state; ()
Ses01M_script02_2_M040 :Neutral state; ()
Ses01M_script02_2_M041 :Sadness; ()
Ses01M_script02_2_M042 :Sadness; ()
Ses01M_script02_2_M043 :Sadness; ()
Ses01M_script02_2_M044 :Sadness; ()
Ses01M_script02_2_M045 :Sadness; ()
Ses01M_script02_2_M046 :Sadness; ()
Ses01M_script02_2_M047 :Happiness; ()
Ses01M_script02_2_M048 :Happiness; ()
Ses01M_script02_2_M049 :Happiness; ()
Ses01M_script02_2_M050 :Neutral state; ()
Ses01M_script02_2_M051 :Neutral state; ()
Ses01M_script02_2_M052 :Happiness; ()
Ses01M_script02_2_M053 :Happiness; ()
Ses01M_script02_2_M054 :Neutral state; ()
