Ses01M_script02_1_F000 :Frustration; ()
Ses01M_script02_1_F001 :Frustration; ()
Ses01M_script02_1_F002 :Frustration; ()
Ses01M_script02_1_F003 :Frustration; ()
Ses01M_script02_1_F004 :Frustration; ()
Ses01M_script02_1_F005 :Frustration; ()
Ses01M_script02_1_F006 :Anger; ()
Ses01M_script02_1_F007 :Sadness; ()
Ses01M_script02_1_F008 :Frustration; ()
Ses01M_script02_1_F009 :Frustration; ()
Ses01M_script02_1_F010 :Frustration; ()
Ses01M_script02_1_F011 :Frustration; ()
Ses01M_script02_1_F012 :Frustration; ()
Ses01M_script02_1_F013 :Frustration; ()
Ses01M_script02_1_F014 :Anger; ()
Ses01M_script02_1_F015 :Frustration; ()
Ses01M_script02_1_F016 :Frustration; ()
Ses01M_script02_1_F017 :Anger; ()
Ses01M_script02_1_F018 :Frustration; ()
Ses01M_script02_1_F019 :Frustration; ()
Ses01M_script02_1_F020 :Frustration; ()
Ses01M_script02_1_F021 :Anger; ()
Ses01M_script02_1_F022 :Frustration; :Anger; ()
Ses01M_script02_1_F023 :Anger; ()
Ses01M_script02_1_F024 :Happiness; ()
Ses01M_script02_1_M000 :Excited; ()
Ses01M_script02_1_M001 :Excited; ()
Ses01M_script02_1_M002 :Excited; ()
Ses01M_script02_1_M003 :Excited; ()
Ses01M_script02_1_M004 :Excited; ()
Ses01M_script02_1_M005 :Excited; ()
Ses01M_script02_1_M006 :Frustration; ()
Ses01M_script02_1_M007 :Frustration; ()
Ses01M_script02_1_M008 :Frustration; ()
Ses01M_script02_1_M009 :Frustration; ()
Ses01M_script02_1_M010 :Frustration; ()
Ses01M_script02_1_M011 :Excited; :Frustration; ()
Ses01M_script02_1_M012 :Excited; ()
Ses01M_script02_1_M013 :Excited; ()
Ses01M_script02_1_M014 :Excited; ()
Ses01M_script02_1_M015 :Excited; ()
Ses01M_script02_1_M016 :Excited; ()
Ses01M_script02_1_M017 :Excited; ()
Ses01M_script02_1_M018 :Excited; ()
Ses01M_script02_1_M019 :Excited; ()
Ses01M_script02_1_M020 :Excited; ()
Ses01M_script02_1_M021 :Frustration; ()
Ses01M_script02_1_M022 :Frustration; ()
Ses01M_script02_1_M023 :Frustration; ()
Ses01M_script02_1_M024 :Frustration; ()
Ses01M_script02_1_M025 :Frustration; ()
Ses01M_script02_1_M026 :Frustration; ()
Ses01M_script02_1_M027 :Frustration; ()
Ses01M_script02_1_M028 :Anger; ()
Ses01M_script02_1_M029 :Frustration; ()
Ses01M_script02_1_M030 :Frustration; ()
Ses01M_script02_1_M031 :Excited; ()
Ses01M_script02_1_M032 :Excited; ()
Ses01M_script02_1_M033 :Frustration; ()
Ses01M_script02_1_M034 :Frustration; ()
Ses01M_script02_1_M035 :Frustration; ()
Ses01M_script02_1_M036 :Frustration; ()
Ses01M_script02_1_M037 :Excited; ()
Ses01M_script02_1_M038 :Excited; ()
Ses01M_script02_1_M039 :Excited; ()
Ses01M_script02_1_M040 :Excited; ()
Ses01M_script02_1_M041 :Excited; ()
Ses01M_script02_1_M042 :Excited; ()
Ses01M_script02_1_M043 :Excited; ()
Ses01M_script02_1_M044 :Excited; ()
Ses01M_script02_1_M045 :Excited; ()
Ses01M_script02_1_M046 :Excited; ()
