Ses01M_impro05_F000 :Frustration; ()
Ses01M_impro05_F001 :Anger; ()
Ses01M_impro05_F002 :Anger; ()
Ses01M_impro05_F003 :Anger; ()
Ses01M_impro05_F004 :Anger; ()
Ses01M_impro05_F005 :Anger; ()
Ses01M_impro05_F006 :Anger; ()
Ses01M_impro05_F007 :Anger; ()
Ses01M_impro05_F008 :Frustration; ()
Ses01M_impro05_F009 :Anger; ()
Ses01M_impro05_F010 :Anger; ()
Ses01M_impro05_F011 :Anger; ()
Ses01M_impro05_F012 :Anger; ()
Ses01M_impro05_F013 :Anger; ()
Ses01M_impro05_F014 :Anger; ()
Ses01M_impro05_F015 :Anger; ()
Ses01M_impro05_F016 :Frustration; ()
Ses01M_impro05_F017 :Frustration; ()
Ses01M_impro05_F018 :Sadness; ()
Ses01M_impro05_F019 :Anger; ()
Ses01M_impro05_F020 :Anger; ()
Ses01M_impro05_F021 :Anger; ()
Ses01M_impro05_F022 :Anger; ()
Ses01M_impro05_F023 :Anger; ()
Ses01M_impro05_F024 :Anger; ()
Ses01M_impro05_F025 :Anger; ()
Ses01M_impro05_F026 :Anger; ()
Ses01M_impro05_F027 :Anger; ()
Ses01M_impro05_F028 :Anger; ()
Ses01M_impro05_F029 :Anger; ()
Ses01M_impro05_F030 :Anger; ()
Ses01M_impro05_F031 :Anger; ()
Ses01M_impro05_F032 :Anger; ()
Ses01M_impro05_F033 :Anger; ()
Ses01M_impro05_F034 :Anger; ()
Ses01M_impro05_F035 :Frustration; ()
Ses01M_impro05_F036 :Anger; ()
Ses01M_impro05_F037 :Anger; ()
Ses01M_impro05_M000 :Neutral state; ()
Ses01M_impro05_M001 :Frustration; ()
Ses01M_impro05_M002 :Frustration; ()
Ses01M_impro05_M003 :Frustration; ()
Ses01M_impro05_M004 :Anger; ()
Ses01M_impro05_M005 :Anger; ()
Ses01M_impro05_M006 :Anger; ()
Ses01M_impro05_M007 :Anger; ()
Ses01M_impro05_M008 :Frustration; ()
Ses01M_impro05_M009 :Frustration; ()
Ses01M_impro05_M010 :Frustration; ()
Ses01M_impro05_M011 :Frustration; ()
Ses01M_impro05_M012 :Frustration; ()
Ses01M_impro05_M013 :Frustration; ()
Ses01M_impro05_M014 :Neutral state; ()
Ses01M_impro05_M015 :Neutral state; ()
Ses01M_impro05_M016 :Frustration; ()
Ses01M_impro05_M017 :Frustration; ()
Ses01M_impro05_M018 :Frustration; ()
Ses01M_impro05_M019 :Frustration; ()
Ses01M_impro05_M020 :Frustration; ()
Ses01M_impro05_M021 :Frustration; ()
Ses01M_impro05_M022 :Frustration; ()
Ses01M_impro05_M023 :Anger; ()
Ses01M_impro05_M024 :Frustration; ()
Ses01M_impro05_M025 :Frustration; ()
Ses01M_impro05_M026 :Frustration; ()
Ses01M_impro05_M027 :Frustration; ()
Ses01M_impro05_M028 :Anger; ()
Ses01M_impro05_M029 :Frustration; ()
Ses01M_impro05_M030 :Frustration; ()
Ses01M_impro05_M031 :Anger; ()
