Ses01F_impro07_F000 :Excited; ()
Ses01F_impro07_F001 :Excited; ()
Ses01F_impro07_F002 :Excited; ()
Ses01F_impro07_F003 :Excited; ()
Ses01F_impro07_F004 :Excited; ()
Ses01F_impro07_F005 :Excited; ()
Ses01F_impro07_F006 :Excited; ()
Ses01F_impro07_F007 :Excited; ()
Ses01F_impro07_F008 :Excited; ()
Ses01F_impro07_F009 :Excited; ()
Ses01F_impro07_F010 :Excited; ()
Ses01F_impro07_F011 :Excited; ()
Ses01F_impro07_F012 :Excited; ()
Ses01F_impro07_F013 :Excited; ()
Ses01F_impro07_F014 :Excited; ()
Ses01F_impro07_F015 :Excited; ()
Ses01F_impro07_F016 :Excited; ()
Ses01F_impro07_M000 :Excited; ()
Ses01F_impro07_M001 :Excited; ()
Ses01F_impro07_M002 :Excited; ()
Ses01F_impro07_M003 :Excited; ()
Ses01F_impro07_M004 :Excited; ()
Ses01F_impro07_M005 :Excited; ()
Ses01F_impro07_M006 :Excited; ()
Ses01F_impro07_M007 :Excited; ()
Ses01F_impro07_M008 :Excited; ()
Ses01F_impro07_M009 :Excited; ()
Ses01F_impro07_M010 :Excited; ()
Ses01F_impro07_M011 :Excited; ()
Ses01F_impro07_M012 :Excited; ()
Ses01F_impro07_M013 :Excited; ()
Ses01F_impro07_M014 :Excited; ()
Ses01F_impro07_M015 :Excited; ()
Ses01F_impro07_M016 :Excited; ()
Ses01F_impro07_M017 :Excited; ()
Ses01F_impro07_M018 :Excited; ()
Ses01F_impro07_M019 :Excited; ()
