Ses01F_impro04_F000 :Neutral state; ()
Ses01F_impro04_F001 :Neutral state; ()
Ses01F_impro04_F002 :Frustration; ()
Ses01F_impro04_F003 :Disgust; ()
Ses01F_impro04_F004 :Surprise; ()
Ses01F_impro04_F005 :Neutral state; ()
Ses01F_impro04_F006 :Neutral state; ()
Ses01F_impro04_F007 :Frustration; ()
Ses01F_impro04_F008 :Surprise; ()
Ses01F_impro04_F009 :Neutral state; ()
Ses01F_impro04_F010 :Anger; ()
Ses01F_impro04_F011 :Surprise; ()
Ses01F_impro04_F012 :Anger; ()
Ses01F_impro04_F013 :Neutral state; ()
Ses01F_impro04_F014 :Neutral state; ()
Ses01F_impro04_F015 :Anger; ()
Ses01F_impro04_F016 :Frustration; ()
Ses01F_impro04_F017 :Anger; ()
Ses01F_impro04_F018 :Anger; ()
Ses01F_impro04_F019 :Anger; ()
Ses01F_impro04_F020 :Frustration; ()
Ses01F_impro04_F021 :Anger; ()
Ses01F_impro04_F022 :Anger; ()
Ses01F_impro04_F023 :Anger; ()
Ses01F_impro04_F024 :Anger; ()
Ses01F_impro04_F025 :Anger; ()
Ses01F_impro04_F026 :Anger; ()
Ses01F_impro04_F027 :Anger; ()
Ses01F_impro04_F028 :Anger; ()
Ses01F_impro04_F029 :Anger; ()
Ses01F_impro04_F030 :Anger; ()
Ses01F_impro04_F031 :Anger; ()
Ses01F_impro04_F032 :Anger; ()
Ses01F_impro04_F033 :Anger; ()
Ses01F_impro04_M000 :Neutral state; ()
Ses01F_impro04_M001 :Neutral state; ()
Ses01F_impro04_M002 :Neutral state; ()
Ses01F_impro04_M003 :Neutral state; ()
Ses01F_impro04_M004 :Neutral state; ()
Ses01F_impro04_M005 :Neutral state; ()
Ses01F_impro04_M006 :Neutral state; ()
Ses01F_impro04_M007 :Surprise; ()
Ses01F_impro04_M008 :Neutral state; ()
Ses01F_impro04_M009 :Neutral state; ()
Ses01F_impro04_M010 :Neutral state; ()
Ses01F_impro04_M011 :Neutral state; ()
Ses01F_impro04_M012 :Neutral state; ()
Ses01F_impro04_M013 :Neutral state; ()
Ses01F_impro04_M014 :Neutral state; ()
Ses01F_impro04_M015 :Neutral state; ()
Ses01F_impro04_M016 :Neutral state; ()
Ses01F_impro04_M017 :Frustration; ()
Ses01F_impro04_M018 :Neutral state; ()
Ses01F_impro04_M019 :Neutral state; ()
Ses01F_impro04_M020 :Frustration; ()
Ses01F_impro04_M021 :Neutral state; ()
Ses01F_impro04_M022 :Neutral state; ()
Ses01F_impro04_M023 :Neutral state; ()
Ses01F_impro04_M024 :Neutral state; ()
Ses01F_impro04_M025 :Neutral state; ()
Ses01F_impro04_M026 :Neutral state; ()
Ses01F_impro04_M027 :Neutral state; ()
Ses01F_impro04_M028 :Neutral state; ()
Ses01F_impro04_M029 :Frustration; ()
Ses01F_impro04_M030 :Frustration; ()
Ses01F_impro04_M031 :Neutral state; ()
Ses01F_impro04_M032 :Neutral state; ()
Ses01F_impro04_M033 :Surprise; ()
Ses01F_impro04_M034 :Frustration; ()
Ses01F_impro04_M035 :Frustration; ()
Ses01F_impro04_M036 :Neutral state; ()
