Ses01M_impro04_F000 :Frustration; ()
Ses01M_impro04_F001 :Frustration; ()
Ses01M_impro04_F002 :Frustration; ()
Ses01M_impro04_F003 :Frustration; ()
Ses01M_impro04_F004 :Frustration; ()
Ses01M_impro04_F005 :Frustration; ()
Ses01M_impro04_F006 :Frustration; ()
Ses01M_impro04_F007 :Frustration; ()
Ses01M_impro04_F008 :Frustration; ()
Ses01M_impro04_F009 :Frustration; ()
Ses01M_impro04_F010 :Frustration; ()
Ses01M_impro04_F011 :Frustration; ()
Ses01M_impro04_F012 :Neutral state; ()
Ses01M_impro04_F013 :Frustration; ()
Ses01M_impro04_F014 :Frustration; ()
Ses01M_impro04_F015 :Frustration; ()
Ses01M_impro04_F016 :Frustration; ()
Ses01M_impro04_F017 :Neutral state; ()
Ses01M_impro04_F018 :Neutral state; ()
Ses01M_impro04_F019 :Neutral state; ()
Ses01M_impro04_F020 :Neutral state; ()
Ses01M_impro04_F021 :Neutral state; ()
Ses01M_impro04_F022 :Neutral state; ()
Ses01M_impro04_F023 :Neutral state; ()
Ses01M_impro04_F024 :Frustration; ()
Ses01M_impro04_F025 :Frustration; ()
Ses01M_impro04_M000 :Frustration; ()
Ses01M_impro04_M001 :Frustration; ()
Ses01M_impro04_M002 :Frustration; ()
Ses01M_impro04_M003 :Frustration; ()
Ses01M_impro04_M004 :Frustration; ()
Ses01M_impro04_M005 :Anger; ()
Ses01M_impro04_M006 :Frustration; ()
Ses01M_impro04_M007 :Frustration; ()
Ses01M_impro04_M008 :Frustration; ()
Ses01M_impro04_M009 :Frustration; ()
Ses01M_impro04_M010 :Frustration; ()
Ses01M_impro04_M011 :Frustration; ()
Ses01M_impro04_M012 :Frustration; ()
Ses01M_impro04_M013 :Frustration; ()
Ses01M_impro04_M014 :Anger; ()
Ses01M_impro04_M015 :Frustration; ()
Ses01M_impro04_M016 :Frustration; ()
Ses01M_impro04_M017 :Frustration; ()
Ses01M_impro04_M018 :Anger; ()
Ses01M_impro04_M019 :Anger; ()
Ses01M_impro04_M020 :Anger; ()
Ses01M_impro04_M021 :Neutral state; ()
Ses01M_impro04_M022 :Frustration; ()
Ses01M_impro04_M023 :Anger; ()
Ses01M_impro04_M024 :Frustration; ()
Ses01M_impro04_M025 :Frustration; ()
