Ses01M_impro01_F000 :Anger; ()
Ses01M_impro01_F001 :Anger; ()
Ses01M_impro01_F002 :Anger; ()
Ses01M_impro01_F003 :Frustration; ()
Ses01M_impro01_F004 :Frustration; ()
Ses01M_impro01_F005 :Frustration; ()
Ses01M_impro01_F006 :Frustration; ()
Ses01M_impro01_F007 :Anger; ()
Ses01M_impro01_F008 :Anger; ()
Ses01M_impro01_F009 :Frustration; ()
Ses01M_impro01_F010 :Frustration; ()
Ses01M_impro01_F011 :Anger; ()
Ses01M_impro01_F012 :Anger; ()
Ses01M_impro01_F013 :Frustration; ()
Ses01M_impro01_F014 :Frustration; ()
Ses01M_impro01_F015 :Frustration; ()
Ses01M_impro01_F016 :Frustration; ()
Ses01M_impro01_F017 :Frustration; ()
Ses01M_impro01_F018 :Frustration; ()
Ses01M_impro01_F019 :Anger; ()
Ses01M_impro01_F020 :Anger; ()
Ses01M_impro01_F021 :Anger; ()
Ses01M_impro01_F022 :Anger; ()
Ses01M_impro01_F023 :Frustration; ()
Ses01M_impro01_F024 :Neutral state; ()
Ses01M_impro01_F025 :Neutral state; ()
Ses01M_impro01_F026 :Frustration; ()
Ses01M_impro01_F027 :Frustration; ()
Ses01M_impro01_F028 :Frustration; ()
Ses01M_impro01_F029 :Frustration; ()
Ses01M_impro01_F030 :Frustration; ()
Ses01M_impro01_M000 :Fear; ()
Ses01M_impro01_M001 :Fear; ()
Ses01M_impro01_M002 :Fear; ()
Ses01M_impro01_M003 :Fear; ()
Ses01M_impro01_M004 :Fear; ()
Ses01M_impro01_M005 :Fear; ()
Ses01M_impro01_M006 :Frustration; ()
Ses01M_impro01_M007 :Frustration; ()
Ses01M_impro01_M008 :Frustration; ()
Ses01M_impro01_M009 :Frustration; ()
Ses01M_impro01_M010 :Frustration; ()
Ses01M_impro01_M011 :Frustration; ()
Ses01M_impro01_M012 :Frustration; ()
Ses01M_impro01_M013 :Frustration; ()
Ses01M_impro01_M014 :Frustration; ()
Ses01M_impro01_M015 :Frustration; ()
Ses01M_impro01_M016 :Anger; ()
Ses01M_impro01_M017 :Anger; ()
Ses01M_impro01_M018 :Anger; ()
Ses01M_impro01_M019 :Anger; ()
Ses01M_impro01_M020 :Anger; ()
Ses01M_impro01_M021 :Anger; :Fear; ()
Ses01M_impro01_M022 :Frustration; ()
Ses01M_impro01_M023 :Frustration; ()
Ses01M_impro01_M024 :Frustration; ()
Ses01M_impro01_M025 :Anger; ()
Ses01M_impro01_M026 :Anger; ()
Ses01M_impro01_M027 :Anger; ()
Ses01M_impro01_M028 :Neutral state; ()
Ses01M_impro01_M029 :Frustration; ()
Ses01M_impro01_M030 :Anger; ()
Ses01M_impro01_M031 :Anger; ()
Ses01M_impro01_M032 :Anger; ()
Ses01M_impro01_M033 :Frustration; ()
