Ses01M_script01_1_F000 :Frustration; ()
Ses01M_script01_1_F001 :Anger; ()
Ses01M_script01_1_F002 :Frustration; ()
Ses01M_script01_1_F003 :Frustration; ()
Ses01M_script01_1_F004 :Fear; ()
Ses01M_script01_1_F005 :Sadness; :Fear; ()
Ses01M_script01_1_F006 :Sadness; ()
Ses01M_script01_1_F007 :Frustration; ()
Ses01M_script01_1_F008 :Anger; ()
Ses01M_script01_1_F009 :Anger; ()
Ses01M_script01_1_F010 :Frustration; ()
Ses01M_script01_1_F011 :Anger; ()
Ses01M_script01_1_F012 :Frustration; ()
Ses01M_script01_1_F013 :Frustration; ()
Ses01M_script01_1_F014 :Anger; ()
Ses01M_script01_1_F015 :Anger; ()
Ses01M_script01_1_F016 :Anger; ()
Ses01M_script01_1_F017 :Anger; ()
Ses01M_script01_1_F018 :Frustration; ()
Ses01M_script01_1_F019 :Frustration; ()
Ses01M_script01_1_F020 :Anger; ()
Ses01M_script01_1_F021 :Frustration; ()
Ses01M_script01_1_F022 :Frustration; ()
Ses01M_script01_1_F023 :Anger; ()
Ses01M_script01_1_F024 :Anger; ()
Ses01M_script01_1_F025 :Frustration; ()
Ses01M_script01_1_F026 :Frustration; ()
Ses01M_script01_1_F027 :Frustration; ()
Ses01M_script01_1_F028 :Frustration; ()
Ses01M_script01_1_F029 :Anger; ()
Ses01M_script01_1_F030 :Anger; ()
Ses01M_script01_1_F031 :Frustration; ()
Ses01M_script01_1_F032 :Anger; ()
Ses01M_script01_1_F033 :Frustration; ()
Ses01M_script01_1_F034 :Frustration; ()
Ses01M_script01_1_F035 :Anger; ()
Ses01M_script01_1_F036 :Anger; ()
Ses01M_script01_1_F037 :Anger; ()
Ses01M_script01_1_F038 :Frustration; ()
Ses01M_script01_1_F039 :Anger; ()
Ses01M_script01_1_F040 :Anger; ()
Ses01M_script01_1_F041 :Anger; ()
Ses01M_script01_1_F042 :Anger; ()
Ses01M_script01_1_F043 :Sadness; :Anger; ()
Ses01M_script01_1_M000 :Frustration; :Sadness; ()
Ses01M_script01_1_M001 :Frustration; ()
Ses01M_script01_1_M002 :Frustration; ()
Ses01M_script01_1_M003 :Sadness; ()
Ses01M_script01_1_M004 :Sadness; ()
Ses01M_script01_1_M005 :Sadness; ()
Ses01M_script01_1_M006 :Sadness; ()
Ses01M_script01_1_M007 :Sadness; ()
Ses01M_script01_1_M008 :Frustration; ()
Ses01M_script01_1_M009 :Frustration; ()
Ses01M_script01_1_M010 :Frustration; ()
Ses01M_script01_1_M011 :Frustration; ()
Ses01M_script01_1_M012 :Frustration; ()
Ses01M_script01_1_M013 :Frustration; ()
Ses01M_script01_1_M014 :Frustration; ()
Ses01M_script01_1_M015 :Frustration; ()
Ses01M_script01_1_M016 :Frustration; ()
Ses01M_script01_1_M017 :Neutral state; ()
Ses01M_script01_1_M018 :Frustration; ()
Ses01M_script01_1_M019 :Frustration; ()
Ses01M_script01_1_M020 :Anger; ()
Ses01M_script01_1_M021 :Anger; ()
Ses01M_script01_1_M022 :Frustration; ()
Ses01M_script01_1_M023 :Anger; ()
Ses01M_script01_1_M024 :Sadness; ()
Ses01M_script01_1_M025 :Frustration; ()
Ses01M_script01_1_M026 :Frustration; ()
Ses01M_script01_1_M027 :Frustration; ()
Ses01M_script01_1_M028 :Frustration; ()
Ses01M_script01_1_M029 :Frustration; ()
Ses01M_script01_1_M030 :Frustration; ()
Ses01M_script01_1_M031 :Frustration; ()
Ses01M_script01_1_M032 :Frustration; ()
Ses01M_script01_1_M033 :Frustration; ()
Ses01M_script01_1_M034 :Anger; ()
Ses01M_script01_1_M035 :Anger; ()
Ses01M_script01_1_M036 :Frustration; ()
Ses01M_script01_1_M037 :Frustration; ()
Ses01M_script01_1_M038 :Sadness; ()
Ses01M_script01_1_M039 :Anger; ()
Ses01M_script01_1_M040 :Sadness; ()
Ses01M_script01_1_M041 :Anger; ()
Ses01M_script01_1_M042 :Sadness; ()
