Ses01M_impro07_F000 :Neutral state; ()
Ses01M_impro07_F001 :Surprise; ()
Ses01M_impro07_F002 :Happiness; ()
Ses01M_impro07_F003 :Surprise; ()
Ses01M_impro07_F004 :Surprise; ()
Ses01M_impro07_F005 :Surprise; ()
Ses01M_impro07_F006 :Surprise; ()
Ses01M_impro07_F007 :Surprise; ()
Ses01M_impro07_F008 :Excited; ()
Ses01M_impro07_F009 :Surprise; ()
Ses01M_impro07_F010 :Neutral state; ()
Ses01M_impro07_F011 :Excited; ()
Ses01M_impro07_F012 :Neutral state; ()
Ses01M_impro07_F013 :Excited; ()
Ses01M_impro07_F014 :Excited; ()
Ses01M_impro07_F015 :Excited; ()
Ses01M_impro07_F016 :Excited; ()
Ses01M_impro07_F017 :Happiness; ()
Ses01M_impro07_F018 :Excited; ()
Ses01M_impro07_F019 :Happiness; ()
Ses01M_impro07_F020 :Neutral state; ()
Ses01M_impro07_F021 :Excited; ()
Ses01M_impro07_F022 :Excited; ()
Ses01M_impro07_F023 :Surprise; ()
Ses01M_impro07_F024 :Excited; ()
Ses01M_impro07_F025 :Excited; ()
Ses01M_impro07_F026 :Surprise; ()
Ses01M_impro07_F027 :Surprise; ()
Ses01M_impro07_F028 :Happiness; ()
Ses01M_impro07_F029 :Happiness; ()
Ses01M_impro07_F030 :Surprise; ()
Ses01M_impro07_F031 :Happiness; ()
Ses01M_impro07_F032 :Happiness; ()
Ses01M_impro07_F033 :Happiness; ()
Ses01M_impro07_F034 :Excited; ()
Ses01M_impro07_M000 :Excited; ()
Ses01M_impro07_M001 :Excited; ()
Ses01M_impro07_M002 :Excited; ()
Ses01M_impro07_M003 :Excited; ()
Ses01M_impro07_M004 :Excited; ()
Ses01M_impro07_M005 :Excited; ()
Ses01M_impro07_M006 :Happiness; ()
Ses01M_impro07_M007 :Excited; ()
Ses01M_impro07_M008 :Happiness; ()
Ses01M_impro07_M009 :Happiness; ()
Ses01M_impro07_M010 :Excited; ()
Ses01M_impro07_M011 :Happiness; ()
Ses01M_impro07_M012 :Happiness; ()
Ses01M_impro07_M013 :Happiness; ()
Ses01M_impro07_M014 :Happiness; ()
Ses01M_impro07_M015 :Happiness; ()
Ses01M_impro07_M016 :Happiness; ()
Ses01M_impro07_M017 :Happiness; ()
Ses01M_impro07_M018 :Happiness; ()
Ses01M_impro07_M019 :Happiness; ()
Ses01M_impro07_M020 :Neutral state; ()
Ses01M_impro07_M021 :Surprise; ()
Ses01M_impro07_M022 :Surprise; ()
Ses01M_impro07_M023 :Anger; ()
Ses01M_impro07_M024 :Excited; ()
Ses01M_impro07_M025 :Happiness; ()
Ses01M_impro07_M026 :Neutral state; ()
Ses01M_impro07_M027 :Happiness; ()
Ses01M_impro07_M028 :Happiness; ()
Ses01M_impro07_M029 :Happiness; ()
Ses01M_impro07_M030 :Neutral state; ()
Ses01M_impro07_M031 :Happiness; ()
Ses01M_impro07_M032 :Happiness; ()
Ses01M_impro07_M033 :Happiness; ()
