Ses01M_script03_2_F000 :Frustration; ()
Ses01M_script03_2_F001 :Excited; ()
Ses01M_script03_2_F002 :Excited; ()
Ses01M_script03_2_F003 :Frustration; ()
Ses01M_script03_2_F004 :Excited; ()
Ses01M_script03_2_F005 :Excited; ()
Ses01M_script03_2_F006 :Excited; :Frustration; ()
Ses01M_script03_2_F007 :Frustration; ()
Ses01M_script03_2_F008 :Frustration; ()
Ses01M_script03_2_F009 :Anger; ()
Ses01M_script03_2_F010 :Anger; ()
Ses01M_script03_2_F011 :Anger; ()
Ses01M_script03_2_F012 :Frustration; ()
Ses01M_script03_2_F013 :Frustration; ()
Ses01M_script03_2_F014 :Frustration; ()
Ses01M_script03_2_F015 :Anger; ()
Ses01M_script03_2_F016 :Frustration; ()
Ses01M_script03_2_F017 :Anger; ()
Ses01M_script03_2_F018 :Frustration; ()
Ses01M_script03_2_F019 :Frustration; ()
Ses01M_script03_2_F020 :Frustration; ()
Ses01M_script03_2_F021 :Frustration; ()
Ses01M_script03_2_F022 :Frustration; ()
Ses01M_script03_2_F023 :Anger; ()
Ses01M_script03_2_F024 :Anger; ()
Ses01M_script03_2_F025 :Anger; ()
Ses01M_script03_2_F026 :Anger; ()
Ses01M_script03_2_F027 :Anger; ()
Ses01M_script03_2_F028 :Anger; ()
Ses01M_script03_2_F029 :Anger; ()
Ses01M_script03_2_F030 :Anger; ()
Ses01M_script03_2_F031 :Frustration; ()
Ses01M_script03_2_F032 :Frustration; ()
Ses01M_script03_2_F033 :Frustration; ()
Ses01M_script03_2_F034 :Anger; ()
Ses01M_script03_2_F035 :Anger; ()
Ses01M_script03_2_F036 :Frustration; ()
Ses01M_script03_2_F037 :Anger; ()
Ses01M_script03_2_F038 :Anger; ()
Ses01M_script03_2_F039 :Anger; ()
Ses01M_script03_2_F040 :Anger; ()
Ses01M_script03_2_F041 :Anger; ()
Ses01M_script03_2_M000 :Excited; ()
Ses01M_script03_2_M001 :Excited; ()
Ses01M_script03_2_M002 :Excited; ()
Ses01M_script03_2_M003 :Excited; ()
Ses01M_script03_2_M004 :Frustration; ()
Ses01M_script03_2_M005 :Frustration; ()
Ses01M_script03_2_M006 :Frustration; ()
Ses01M_script03_2_M007 :Frustration; ()
Ses01M_script03_2_M008 :Frustration; ()
Ses01M_script03_2_M009 :Frustration; ()
Ses01M_script03_2_M010 :Frustration; :Disgust; ()
Ses01M_script03_2_M011 :Anger; ()
Ses01M_script03_2_M012 :Frustration; ()
Ses01M_script03_2_M013 :Frustration; :Anger; ()
Ses01M_script03_2_M014 :Frustration; ()
Ses01M_script03_2_M015 :Frustration; ()
Ses01M_script03_2_M016 :Frustration; ()
Ses01M_script03_2_M017 :Frustration; ()
Ses01M_script03_2_M018 :Frustration; ()
Ses01M_script03_2_M019 :Frustration; ()
Ses01M_script03_2_M020 :Frustration; ()
Ses01M_script03_2_M021 :Frustration; ()
Ses01M_script03_2_M022 :Anger; ()
Ses01M_script03_2_M023 :Anger; ()
Ses01M_script03_2_M024 :Frustration; ()
Ses01M_script03_2_M025 :Frustration; ()
Ses01M_script03_2_M026 :Frustration; :Anger; ()
Ses01M_script03_2_M027 :Anger; ()
Ses01M_script03_2_M028 :Anger; ()
Ses01M_script03_2_M029 :Anger; ()
Ses01M_script03_2_M030 :Anger; ()
Ses01M_script03_2_M031 :Anger; ()
Ses01M_script03_2_M032 :Anger; ()
Ses01M_script03_2_M033 :Anger; ()
Ses01M_script03_2_M034 :Anger; ()
Ses01M_script03_2_M035 :Anger; ()
Ses01M_script03_2_M036 :Anger; ()
Ses01M_script03_2_M037 :Anger; :Fear; ()
Ses01M_script03_2_M038 :Anger; ()
Ses01M_script03_2_M039 :Frustration; ()
Ses01M_script03_2_M040 :Anger; ()
Ses01M_script03_2_M041 :Anger; ()
Ses01M_script03_2_M042 :Anger; ()
Ses01M_script03_2_M043 :Anger; ()
