Ses04M_impro03_F000 :Surprise; ()
Ses04M_impro03_F001 :Surprise; ()
Ses04M_impro03_F002 :Surprise; ()
Ses04M_impro03_F003 :Excited; ()
Ses04M_impro03_F004 :Excited; ()
Ses04M_impro03_F005 :Excited; ()
Ses04M_impro03_F006 :Surprise; ()
Ses04M_impro03_F007 :Excited; ()
Ses04M_impro03_F008 :Excited; ()
Ses04M_impro03_F009 :Excited; ()
Ses04M_impro03_F010 :Excited; ()
Ses04M_impro03_F011 :Happiness; ()
Ses04M_impro03_F012 :Happiness; ()
Ses04M_impro03_F013 :Happiness; ()
Ses04M_impro03_F014 :Happiness; ()
Ses04M_impro03_F015 :Excited; ()
Ses04M_impro03_F016 :Happiness; ()
Ses04M_impro03_F017 :Excited; ()
Ses04M_impro03_F018 :Happiness; ()
Ses04M_impro03_F019 :Excited; ()
Ses04M_impro03_F020 :Happiness; ()
Ses04M_impro03_F021 :Happiness; ()
Ses04M_impro03_F022 :Happiness; ()
Ses04M_impro03_F023 :Happiness; ()
Ses04M_impro03_F024 :Happiness; ()
Ses04M_impro03_F025 :Happiness; ()
Ses04M_impro03_M000 :Neutral state; ()
Ses04M_impro03_M001 :Happiness; ()
Ses04M_impro03_M002 :Happiness; ()
Ses04M_impro03_M003 :Happiness; ()
Ses04M_impro03_M004 :Happiness; ()
Ses04M_impro03_M005 :Happiness; ()
Ses04M_impro03_M006 :Happiness; ()
Ses04M_impro03_M007 :Happiness; ()
Ses04M_impro03_M008 :Happiness; ()
Ses04M_impro03_M009 :Happiness; ()
Ses04M_impro03_M010 :Happiness; ()
Ses04M_impro03_M011 :Happiness; ()
Ses04M_impro03_M012 :Happiness; ()
Ses04M_impro03_M013 :Happiness; ()
Ses04M_impro03_M014 :Happiness; ()
Ses04M_impro03_M015 :Surprise; ()
Ses04M_impro03_M016 :Happiness; ()
Ses04M_impro03_M017 :Excited; ()
Ses04M_impro03_M018 :Happiness; ()
Ses04M_impro03_M019 :Happiness; ()
Ses04M_impro03_M020 :Happiness; ()
Ses04M_impro03_M021 :Happiness; ()
Ses04M_impro03_M022 :Happiness; ()
Ses04M_impro03_M023 :Excited; ()
Ses04M_impro03_M024 :Happiness; ()
Ses04M_impro03_M025 :Happiness; ()
Ses04M_impro03_M026 :Happiness; ()
Ses04M_impro03_M027 :Happiness; ()
Ses04M_impro03_M028 :Happiness; ()
Ses04M_impro03_M029 :Happiness; ()
Ses04M_impro03_M030 :Happiness; ()
Ses04M_impro03_M031 :Neutral state; ()
