Ses04M_impro07_F000 :Surprise; ()
Ses04M_impro07_F001 :Excited; :Surprise; ()
Ses04M_impro07_F002 :Excited; ()
Ses04M_impro07_F003 :Excited; ()
Ses04M_impro07_F004 :Excited; ()
Ses04M_impro07_F005 :Neutral state; ()
Ses04M_impro07_F006 :Neutral state; ()
Ses04M_impro07_F007 :Neutral state; ()
Ses04M_impro07_F008 :Neutral state; ()
Ses04M_impro07_F009 :Neutral state; ()
Ses04M_impro07_F010 :Neutral state; ()
Ses04M_impro07_F011 :Excited; ()
Ses04M_impro07_F012 :Excited; ()
Ses04M_impro07_F013 :Excited; ()
Ses04M_impro07_F014 :Excited; ()
Ses04M_impro07_F015 :Excited; ()
Ses04M_impro07_F016 :Excited; ()
Ses04M_impro07_F017 :Excited; ()
Ses04M_impro07_F018 :Neutral state; ()
Ses04M_impro07_F019 :Neutral state; ()
Ses04M_impro07_F020 :Neutral state; ()
Ses04M_impro07_F021 :Neutral state; ()
Ses04M_impro07_F022 :Excited; ()
Ses04M_impro07_F023 :Neutral state; ()
Ses04M_impro07_F024 :Neutral state; ()
Ses04M_impro07_F025 :Neutral state; ()
Ses04M_impro07_F026 :Neutral state; ()
Ses04M_impro07_F027 :Excited; ()
Ses04M_impro07_F028 :Neutral state; ()
Ses04M_impro07_F029 :Neutral state; ()
Ses04M_impro07_F030 :Neutral state; ()
Ses04M_impro07_F031 :Neutral state; ()
Ses04M_impro07_F032 :Neutral state; ()
Ses04M_impro07_F033 :Neutral state; ()
Ses04M_impro07_F034 :Neutral state; ()
Ses04M_impro07_F035 :Neutral state; ()
Ses04M_impro07_F036 :Neutral state; ()
Ses04M_impro07_F037 :Neutral state; ()
Ses04M_impro07_F038 :Neutral state; ()
Ses04M_impro07_F039 :Neutral state; ()
Ses04M_impro07_M000 :Excited; :Happiness; ()
Ses04M_impro07_M001 :Excited; ()
Ses04M_impro07_M002 :Excited; ()
Ses04M_impro07_M003 :Excited; ()
Ses04M_impro07_M004 :Excited; ()
Ses04M_impro07_M005 :Excited; :Happiness; ()
Ses04M_impro07_M006 :Neutral state; ()
Ses04M_impro07_M007 :Neutral state; ()
Ses04M_impro07_M008 :Neutral state; ()
Ses04M_impro07_M009 :Neutral state; ()
Ses04M_impro07_M010 :Neutral state; ()
Ses04M_impro07_M011 :Neutral state; ()
Ses04M_impro07_M012 :Neutral state; ()
Ses04M_impro07_M013 :Neutral state; ()
Ses04M_impro07_M014 :Excited; ()
Ses04M_impro07_M015 :Excited; ()
Ses04M_impro07_M016 :Neutral state; ()
Ses04M_impro07_M017 :Neutral state; ()
Ses04M_impro07_M018 :Neutral state; ()
Ses04M_impro07_M019 :Neutral state; ()
Ses04M_impro07_M020 :Excited; ()
Ses04M_impro07_M021 :Excited; ()
Ses04M_impro07_M022 :Neutral state; ()
Ses04M_impro07_M023 :Neutral state; ()
Ses04M_impro07_M024 :Neutral state; ()
Ses04M_impro07_M025 :Neutral state; ()
Ses04M_impro07_M026 :Neutral state; ()
Ses04M_impro07_M027 :Neutral state; ()
Ses04M_impro07_M028 :Neutral state; ()
Ses04M_impro07_M029 :Neutral state; ()
Ses04M_impro07_M030 :Neutral state; ()
Ses04M_impro07_M031 :Neutral state; ()
Ses04M_impro07_M032 :Neutral state; ()
Ses04M_impro07_M033 :Neutral state; ()
Ses04M_impro07_M034 :Neutral state; ()
Ses04M_impro07_M035 :Neutral state; ()
Ses04M_impro07_M036 :Neutral state; ()
Ses04M_impro07_M037 :Neutral state; ()
Ses04M_impro07_M038 :Neutral state; ()
Ses04M_impro07_M039 :Neutral state; ()
Ses04M_impro07_M040 :Neutral state; ()
Ses04M_impro07_M041 :Neutral state; ()
Ses04M_impro07_M042 :Neutral state; ()
Ses04M_impro07_M043 :Neutral state; ()
