Ses04M_impro02_F000 :Sadness; ()
Ses04M_impro02_F001 :Sadness; ()
Ses04M_impro02_F002 :Frustration; ()
Ses04M_impro02_F003 :Sadness; ()
Ses04M_impro02_F004 :Frustration; ()
Ses04M_impro02_F005 :Frustration; ()
Ses04M_impro02_F006 :Frustration; ()
Ses04M_impro02_F007 :Frustration; ()
Ses04M_impro02_F008 :Frustration; ()
Ses04M_impro02_F009 :Frustration; ()
Ses04M_impro02_F010 :Frustration; ()
Ses04M_impro02_F011 :Frustration; ()
Ses04M_impro02_F012 :Frustration; ()
Ses04M_impro02_F013 :Frustration; ()
Ses04M_impro02_F014 :Frustration; ()
Ses04M_impro02_F015 :Other; (despair)
Ses04M_impro02_F016 :Sadness; ()
Ses04M_impro02_F017 :Frustration; ()
Ses04M_impro02_F018 :Frustration; ()
Ses04M_impro02_F019 :Frustration; ()
Ses04M_impro02_F020 :Sadness; ()
Ses04M_impro02_F021 :Anger; ()
Ses04M_impro02_F022 :Frustration; ()
Ses04M_impro02_F023 :Frustration; ()
Ses04M_impro02_F024 :Frustration; ()
Ses04M_impro02_F025 :Frustration; ()
Ses04M_impro02_F026 :Frustration; ()
Ses04M_impro02_F027 :Frustration; ()
Ses04M_impro02_F028 :Frustration; ()
Ses04M_impro02_F029 :Frustration; ()
Ses04M_impro02_F030 :Sadness; :Fear; ()
Ses04M_impro02_F031 :Anger; :Fear; ()
Ses04M_impro02_M000 :Sadness; ()
Ses04M_impro02_M001 :Sadness; ()
Ses04M_impro02_M002 :Frustration; ()
Ses04M_impro02_M003 :Frustration; ()
Ses04M_impro02_M004 :Frustration; ()
Ses04M_impro02_M005 :Frustration; ()
Ses04M_impro02_M006 :Frustration; ()
Ses04M_impro02_M007 :Frustration; ()
Ses04M_impro02_M008 :Frustration; ()
Ses04M_impro02_M009 :Frustration; ()
Ses04M_impro02_M010 :Frustration; ()
Ses04M_impro02_M011 :Frustration; ()
Ses04M_impro02_M012 :Frustration; ()
Ses04M_impro02_M013 :Frustration; ()
Ses04M_impro02_M014 :Frustration; ()
Ses04M_impro02_M015 :Frustration; ()
Ses04M_impro02_M016 :Frustration; ()
Ses04M_impro02_M017 :Frustration; ()
Ses04M_impro02_M018 :Frustration; :Sadness; ()
Ses04M_impro02_M019 :Frustration; ()
Ses04M_impro02_M020 :Sadness; ()
Ses04M_impro02_M021 :Sadness; ()
Ses04M_impro02_M022 :Frustration; ()
Ses04M_impro02_M023 :Frustration; ()
Ses04M_impro02_M024 :Frustration; ()
Ses04M_impro02_M025 :Frustration; ()
Ses04M_impro02_M026 :Frustration; ()
Ses04M_impro02_M027 :Frustration; ()
Ses04M_impro02_M028 :Frustration; ()
Ses04M_impro02_M029 :Frustration; ()
Ses04M_impro02_M030 :Frustration; ()
Ses04M_impro02_M031 :Frustration; ()
Ses04M_impro02_M032 :Frustration; ()
Ses04M_impro02_M033 :Frustration; ()
Ses04M_impro02_M034 :Frustration; ()
Ses04M_impro02_M035 :Frustration; ()
