Ses04M_impro07_F000 :Excited; ()
Ses04M_impro07_F001 :Surprise; ()
Ses04M_impro07_F002 :Excited; ()
Ses04M_impro07_F003 :Excited; ()
Ses04M_impro07_F004 :Excited; ()
Ses04M_impro07_F005 :Happiness; ()
Ses04M_impro07_F006 :Excited; ()
Ses04M_impro07_F007 :Excited; ()
Ses04M_impro07_F008 :Excited; ()
Ses04M_impro07_F009 :Excited; ()
Ses04M_impro07_F010 :Excited; ()
Ses04M_impro07_F011 :Happiness; ()
Ses04M_impro07_F012 :Excited; ()
Ses04M_impro07_F013 :Excited; ()
Ses04M_impro07_F014 :Excited; ()
Ses04M_impro07_F015 :Excited; ()
Ses04M_impro07_F016 :Excited; ()
Ses04M_impro07_F017 :Excited; ()
Ses04M_impro07_F018 :Excited; ()
Ses04M_impro07_F019 :Excited; ()
Ses04M_impro07_F020 :Excited; ()
Ses04M_impro07_F021 :Excited; ()
Ses04M_impro07_F022 :Excited; ()
Ses04M_impro07_F023 :Frustration; ()
Ses04M_impro07_F024 :Excited; ()
Ses04M_impro07_F025 :Excited; ()
Ses04M_impro07_F026 :Excited; ()
Ses04M_impro07_F027 :Excited; ()
Ses04M_impro07_F028 :Excited; ()
Ses04M_impro07_F029 :Excited; ()
Ses04M_impro07_F030 :Excited; ()
Ses04M_impro07_F031 :Excited; ()
Ses04M_impro07_F032 :Excited; ()
Ses04M_impro07_F033 :Excited; ()
Ses04M_impro07_F034 :Excited; ()
Ses04M_impro07_F035 :Excited; ()
Ses04M_impro07_F036 :Excited; ()
Ses04M_impro07_F037 :Excited; ()
Ses04M_impro07_F038 :Excited; ()
Ses04M_impro07_F039 :Excited; ()
Ses04M_impro07_M000 :Excited; ()
Ses04M_impro07_M001 :Excited; ()
Ses04M_impro07_M002 :Excited; ()
Ses04M_impro07_M003 :Excited; ()
Ses04M_impro07_M004 :Excited; ()
Ses04M_impro07_M005 :Excited; ()
Ses04M_impro07_M006 :Excited; ()
Ses04M_impro07_M007 :Happiness; ()
Ses04M_impro07_M008 :Happiness; ()
Ses04M_impro07_M009 :Happiness; ()
Ses04M_impro07_M010 :Happiness; ()
Ses04M_impro07_M011 :Happiness; ()
Ses04M_impro07_M012 :Happiness; ()
Ses04M_impro07_M013 :Happiness; ()
Ses04M_impro07_M014 :Excited; ()
Ses04M_impro07_M015 :Excited; ()
Ses04M_impro07_M016 :Excited; ()
Ses04M_impro07_M017 :Excited; ()
Ses04M_impro07_M018 :Excited; ()
Ses04M_impro07_M019 :Excited; ()
Ses04M_impro07_M020 :Excited; ()
Ses04M_impro07_M021 :Excited; ()
Ses04M_impro07_M022 :Excited; ()
Ses04M_impro07_M023 :Excited; ()
Ses04M_impro07_M024 :Excited; ()
Ses04M_impro07_M025 :Frustration; :Happiness; ()
Ses04M_impro07_M026 :Frustration; ()
Ses04M_impro07_M027 :Frustration; ()
Ses04M_impro07_M028 :Excited; ()
Ses04M_impro07_M029 :Excited; ()
Ses04M_impro07_M030 :Excited; ()
Ses04M_impro07_M031 :Excited; ()
Ses04M_impro07_M032 :Excited; ()
Ses04M_impro07_M033 :Excited; ()
Ses04M_impro07_M034 :Excited; ()
Ses04M_impro07_M035 :Excited; ()
Ses04M_impro07_M036 :Excited; ()
Ses04M_impro07_M037 :Happiness; ()
Ses04M_impro07_M038 :Excited; ()
Ses04M_impro07_M039 :Excited; ()
Ses04M_impro07_M040 :Excited; ()
Ses04M_impro07_M041 :Excited; ()
Ses04M_impro07_M042 :Excited; ()
Ses04M_impro07_M043 :Excited; ()
