Ses04F_impro03_F000 :Excited; ()
Ses04F_impro03_F001 :Excited; ()
Ses04F_impro03_F002 :Excited; ()
Ses04F_impro03_F003 :Excited; ()
Ses04F_impro03_F004 :Excited; ()
Ses04F_impro03_F005 :Excited; ()
Ses04F_impro03_F006 :Excited; ()
Ses04F_impro03_F007 :Excited; ()
Ses04F_impro03_F008 :Happiness; ()
Ses04F_impro03_F009 :Excited; ()
Ses04F_impro03_F010 :Excited; ()
Ses04F_impro03_F011 :Excited; ()
Ses04F_impro03_F012 :Happiness; ()
Ses04F_impro03_F013 :Happiness; ()
Ses04F_impro03_F014 :Happiness; ()
Ses04F_impro03_F015 :Happiness; ()
Ses04F_impro03_F016 :Happiness; ()
Ses04F_impro03_F017 :Happiness; ()
Ses04F_impro03_F018 :Happiness; ()
Ses04F_impro03_F019 :Happiness; ()
Ses04F_impro03_F020 :Happiness; ()
Ses04F_impro03_F021 :Happiness; ()
Ses04F_impro03_F022 :Happiness; ()
Ses04F_impro03_F023 :Happiness; ()
Ses04F_impro03_F024 :Happiness; ()
Ses04F_impro03_F025 :Happiness; ()
Ses04F_impro03_F026 :Happiness; ()
Ses04F_impro03_F027 :Happiness; ()
Ses04F_impro03_F028 :Happiness; ()
Ses04F_impro03_F029 :Happiness; ()
Ses04F_impro03_F030 :Happiness; ()
Ses04F_impro03_F031 :Happiness; ()
Ses04F_impro03_F032 :Happiness; ()
Ses04F_impro03_F033 :Happiness; ()
Ses04F_impro03_F034 :Happiness; ()
Ses04F_impro03_F035 :Happiness; ()
Ses04F_impro03_F036 :Happiness; ()
Ses04F_impro03_F037 :Happiness; ()
Ses04F_impro03_F038 :Happiness; ()
Ses04F_impro03_F039 :Happiness; ()
Ses04F_impro03_F040 :Happiness; ()
Ses04F_impro03_F041 :Happiness; ()
Ses04F_impro03_F042 :Happiness; ()
Ses04F_impro03_F043 :Excited; ()
Ses04F_impro03_F044 :Excited; ()
Ses04F_impro03_F045 :Happiness; ()
Ses04F_impro03_F046 :Happiness; ()
Ses04F_impro03_F047 :Happiness; ()
Ses04F_impro03_F048 :Happiness; ()
Ses04F_impro03_F049 :Happiness; ()
Ses04F_impro03_F050 :Happiness; ()
Ses04F_impro03_F051 :Happiness; ()
Ses04F_impro03_F052 :Happiness; ()
Ses04F_impro03_M000 :Neutral state; ()
Ses04F_impro03_M001 :Neutral state; ()
Ses04F_impro03_M002 :Surprise; ()
Ses04F_impro03_M003 :Surprise; ()
Ses04F_impro03_M004 :Excited; ()
Ses04F_impro03_M005 :Happiness; ()
Ses04F_impro03_M006 :Happiness; ()
Ses04F_impro03_M007 :Happiness; ()
Ses04F_impro03_M008 :Happiness; ()
Ses04F_impro03_M009 :Happiness; ()
Ses04F_impro03_M010 :Happiness; ()
Ses04F_impro03_M011 :Happiness; ()
Ses04F_impro03_M012 :Happiness; ()
Ses04F_impro03_M013 :Happiness; ()
Ses04F_impro03_M014 :Happiness; ()
Ses04F_impro03_M015 :Happiness; ()
Ses04F_impro03_M016 :Happiness; ()
Ses04F_impro03_M017 :Happiness; ()
Ses04F_impro03_M018 :Neutral state; ()
Ses04F_impro03_M019 :Neutral state; ()
Ses04F_impro03_M020 :Neutral state; ()
Ses04F_impro03_M021 :Neutral state; ()
Ses04F_impro03_M022 :Happiness; ()
Ses04F_impro03_M023 :Frustration; ()
Ses04F_impro03_M024 :Neutral state; ()
Ses04F_impro03_M025 :Neutral state; ()
Ses04F_impro03_M026 :Happiness; ()
Ses04F_impro03_M027 :Neutral state; ()
Ses04F_impro03_M028 :Neutral state; ()
Ses04F_impro03_M029 :Neutral state; ()
Ses04F_impro03_M030 :Neutral state; ()
Ses04F_impro03_M031 :Neutral state; ()
Ses04F_impro03_M032 :Neutral state; ()
Ses04F_impro03_M033 :Neutral state; ()
Ses04F_impro03_M034 :Neutral state; ()
Ses04F_impro03_M035 :Neutral state; ()
Ses04F_impro03_M036 :Excited; ()
Ses04F_impro03_M037 :Excited; ()
Ses04F_impro03_M038 :Excited; ()
Ses04F_impro03_M039 :Excited; ()
Ses04F_impro03_M040 :Excited; ()
Ses04F_impro03_M041 :Excited; ()
Ses04F_impro03_M042 :Excited; ()
Ses04F_impro03_M043 :Excited; ()
Ses04F_impro03_M044 :Happiness; ()
Ses04F_impro03_M045 :Happiness; ()
Ses04F_impro03_M046 :Happiness; ()
Ses04F_impro03_M047 :Neutral state; ()
Ses04F_impro03_M048 :Happiness; ()
Ses04F_impro03_M049 :Happiness; ()
Ses04F_impro03_M050 :Happiness; ()
