Ses04F_impro07_F000 :Excited; ()
Ses04F_impro07_F001 :Excited; ()
Ses04F_impro07_F002 :Excited; ()
Ses04F_impro07_F003 :Excited; ()
Ses04F_impro07_F004 :Excited; ()
Ses04F_impro07_F005 :Excited; ()
Ses04F_impro07_F006 :Excited; ()
Ses04F_impro07_F007 :Happiness; ()
Ses04F_impro07_F008 :Happiness; ()
Ses04F_impro07_F009 :Excited; ()
Ses04F_impro07_F010 :Happiness; ()
Ses04F_impro07_F011 :Happiness; ()
Ses04F_impro07_F012 :Happiness; ()
Ses04F_impro07_F013 :Happiness; ()
Ses04F_impro07_F014 :Excited; ()
Ses04F_impro07_F015 :Happiness; ()
Ses04F_impro07_F016 :Happiness; ()
Ses04F_impro07_F017 :Happiness; ()
Ses04F_impro07_F018 :Happiness; ()
Ses04F_impro07_F019 :Happiness; ()
Ses04F_impro07_F020 :Happiness; ()
Ses04F_impro07_F021 :Happiness; ()
Ses04F_impro07_F022 :Happiness; ()
Ses04F_impro07_F023 :Happiness; ()
Ses04F_impro07_F024 :Happiness; ()
Ses04F_impro07_F025 :Happiness; ()
Ses04F_impro07_F026 :Happiness; ()
Ses04F_impro07_F027 :Excited; ()
Ses04F_impro07_F028 :Excited; ()
Ses04F_impro07_F029 :Excited; ()
Ses04F_impro07_F030 :Happiness; ()
Ses04F_impro07_F031 :Happiness; ()
Ses04F_impro07_F032 :Happiness; ()
Ses04F_impro07_F033 :Excited; ()
Ses04F_impro07_F034 :Happiness; ()
Ses04F_impro07_F035 :Happiness; ()
Ses04F_impro07_F036 :Happiness; ()
Ses04F_impro07_F037 :Happiness; ()
Ses04F_impro07_F038 :Happiness; ()
Ses04F_impro07_F039 :Happiness; ()
Ses04F_impro07_F040 :Happiness; ()
Ses04F_impro07_F041 :Happiness; ()
Ses04F_impro07_F042 :Happiness; ()
Ses04F_impro07_F043 :Happiness; ()
Ses04F_impro07_F044 :Happiness; ()
Ses04F_impro07_F045 :Happiness; ()
Ses04F_impro07_F046 :Happiness; ()
Ses04F_impro07_F047 :Happiness; ()
Ses04F_impro07_F048 :Happiness; ()
Ses04F_impro07_F049 :Happiness; ()
Ses04F_impro07_F050 :Happiness; ()
Ses04F_impro07_F051 :Happiness; ()
Ses04F_impro07_F052 :Happiness; ()
Ses04F_impro07_F053 :Happiness; ()
Ses04F_impro07_F054 :Happiness; ()
Ses04F_impro07_F055 :Happiness; ()
Ses04F_impro07_F056 :Happiness; ()
Ses04F_impro07_F057 :Happiness; ()
Ses04F_impro07_F058 :Excited; ()
Ses04F_impro07_F059 :Happiness; ()
Ses04F_impro07_F060 :Happiness; ()
Ses04F_impro07_F061 :Happiness; ()
Ses04F_impro07_F062 :Happiness; ()
Ses04F_impro07_F063 :Happiness; ()
Ses04F_impro07_F064 :Happiness; ()
Ses04F_impro07_F065 :Happiness; ()
Ses04F_impro07_F066 :Happiness; ()
Ses04F_impro07_F067 :Happiness; ()
Ses04F_impro07_F068 :Happiness; ()
Ses04F_impro07_F069 :Happiness; ()
Ses04F_impro07_F070 :Happiness; ()
Ses04F_impro07_F071 :Happiness; ()
Ses04F_impro07_F072 :Happiness; ()
Ses04F_impro07_F073 :Happiness; ()
Ses04F_impro07_F074 :Happiness; ()
Ses04F_impro07_F075 :Happiness; ()
Ses04F_impro07_F076 :Happiness; ()
Ses04F_impro07_F077 :Happiness; ()
Ses04F_impro07_F078 :Happiness; ()
Ses04F_impro07_F079 :Happiness; ()
Ses04F_impro07_M000 :Neutral state; :Happiness; ()
Ses04F_impro07_M001 :Neutral state; ()
Ses04F_impro07_M002 :Surprise; ()
Ses04F_impro07_M003 :Surprise; ()
Ses04F_impro07_M004 :Surprise; ()
Ses04F_impro07_M005 :Excited; ()
Ses04F_impro07_M006 :Excited; ()
Ses04F_impro07_M007 :Happiness; ()
Ses04F_impro07_M008 :Happiness; ()
Ses04F_impro07_M009 :Neutral state; ()
Ses04F_impro07_M010 :Happiness; ()
Ses04F_impro07_M011 :Happiness; ()
Ses04F_impro07_M012 :Happiness; ()
Ses04F_impro07_M013 :Neutral state; ()
Ses04F_impro07_M014 :Happiness; ()
Ses04F_impro07_M015 :Happiness; ()
Ses04F_impro07_M016 :Neutral state; ()
Ses04F_impro07_M017 :Neutral state; ()
Ses04F_impro07_M018 :Neutral state; ()
Ses04F_impro07_M019 :Neutral state; ()
Ses04F_impro07_M020 :Neutral state; ()
Ses04F_impro07_M021 :Neutral state; ()
Ses04F_impro07_M022 :Neutral state; ()
Ses04F_impro07_M023 :Neutral state; ()
Ses04F_impro07_M024 :Happiness; ()
Ses04F_impro07_M025 :Happiness; ()
Ses04F_impro07_M026 :Neutral state; ()
Ses04F_impro07_M027 :Happiness; ()
Ses04F_impro07_M028 :Excited; ()
Ses04F_impro07_M029 :Happiness; ()
Ses04F_impro07_M030 :Surprise; ()
Ses04F_impro07_M031 :Neutral state; ()
Ses04F_impro07_M032 :Neutral state; ()
Ses04F_impro07_M033 :Neutral state; ()
Ses04F_impro07_M034 :Happiness; ()
Ses04F_impro07_M035 :Neutral state; ()
Ses04F_impro07_M036 :Neutral state; ()
Ses04F_impro07_M037 :Neutral state; ()
Ses04F_impro07_M038 :Neutral state; ()
Ses04F_impro07_M039 :Neutral state; ()
Ses04F_impro07_M040 :Neutral state; ()
Ses04F_impro07_M041 :Surprise; ()
Ses04F_impro07_M042 :Happiness; ()
Ses04F_impro07_M043 :Neutral state; ()
Ses04F_impro07_M044 :Neutral state; ()
Ses04F_impro07_M045 :Happiness; ()
Ses04F_impro07_M046 :Happiness; ()
Ses04F_impro07_M047 :Happiness; ()
Ses04F_impro07_M048 :Happiness; ()
Ses04F_impro07_M049 :Happiness; ()
