Ses04F_impro04_F000 :Neutral state; ()
Ses04F_impro04_F001 :Frustration; ()
Ses04F_impro04_F002 :Frustration; ()
Ses04F_impro04_F003 :Frustration; ()
Ses04F_impro04_F004 :Frustration; ()
Ses04F_impro04_F005 :Anger; ()
Ses04F_impro04_F006 :Anger; ()
Ses04F_impro04_F007 :Anger; ()
Ses04F_impro04_F008 :Anger; ()
Ses04F_impro04_F009 :Anger; ()
Ses04F_impro04_F010 :Anger; ()
Ses04F_impro04_F011 :Anger; ()
Ses04F_impro04_F012 :Frustration; ()
Ses04F_impro04_F013 :Anger; ()
Ses04F_impro04_F014 :Anger; ()
Ses04F_impro04_F015 :Anger; ()
Ses04F_impro04_F016 :Anger; ()
Ses04F_impro04_F017 :Anger; ()
Ses04F_impro04_F018 :Anger; ()
Ses04F_impro04_F019 :Anger; ()
Ses04F_impro04_F020 :Anger; ()
Ses04F_impro04_F021 :Anger; ()
Ses04F_impro04_F022 :Frustration; ()
Ses04F_impro04_F023 :Anger; ()
Ses04F_impro04_F024 :Anger; ()
Ses04F_impro04_F025 :Anger; ()
Ses04F_impro04_F026 :Anger; ()
Ses04F_impro04_F027 :Frustration; ()
Ses04F_impro04_F028 :Anger; ()
Ses04F_impro04_F029 :Frustration; ()
Ses04F_impro04_F030 :Anger; ()
Ses04F_impro04_F031 :Anger; ()
Ses04F_impro04_F032 :Anger; ()
Ses04F_impro04_F033 :Anger; ()
Ses04F_impro04_M000 :Anger; ()
Ses04F_impro04_M001 :Neutral state; ()
Ses04F_impro04_M002 :Neutral state; ()
Ses04F_impro04_M003 :Neutral state; ()
Ses04F_impro04_M004 :Neutral state; ()
Ses04F_impro04_M005 :Neutral state; ()
Ses04F_impro04_M006 :Neutral state; ()
Ses04F_impro04_M007 :Neutral state; ()
Ses04F_impro04_M008 :Neutral state; ()
Ses04F_impro04_M009 :Neutral state; ()
Ses04F_impro04_M010 :Frustration; ()
Ses04F_impro04_M011 :Anger; ()
Ses04F_impro04_M012 :Anger; ()
Ses04F_impro04_M013 :Neutral state; ()
Ses04F_impro04_M014 :Neutral state; ()
Ses04F_impro04_M015 :Neutral state; ()
Ses04F_impro04_M016 :Neutral state; ()
Ses04F_impro04_M017 :Neutral state; ()
Ses04F_impro04_M018 :Neutral state; ()
Ses04F_impro04_M019 :Neutral state; ()
Ses04F_impro04_M020 :Neutral state; ()
Ses04F_impro04_M021 :Neutral state; ()
Ses04F_impro04_M022 :Neutral state; ()
Ses04F_impro04_M023 :Neutral state; ()
Ses04F_impro04_M024 :Anger; ()
Ses04F_impro04_M025 :Neutral state; ()
Ses04F_impro04_M026 :Neutral state; ()
Ses04F_impro04_M027 :Frustration; ()
Ses04F_impro04_M028 :Neutral state; ()
Ses04F_impro04_M029 :Frustration; ()
Ses04F_impro04_M030 :Neutral state; ()
Ses04F_impro04_M031 :Neutral state; ()
Ses04F_impro04_M032 :Anger; ()
Ses04F_impro04_M033 :Neutral state; ()
Ses04F_impro04_M034 :Anger; ()
