Ses04F_script01_1_F000 :Fear; ()
Ses04F_script01_1_F001 :Surprise; ()
Ses04F_script01_1_F002 :Surprise; ()
Ses04F_script01_1_F003 :Surprise; ()
Ses04F_script01_1_F004 :Sadness; ()
Ses04F_script01_1_F005 :Sadness; ()
Ses04F_script01_1_F006 :Sadness; ()
Ses04F_script01_1_F007 :Sadness; ()
Ses04F_script01_1_F008 :Sadness; ()
Ses04F_script01_1_F009 :Surprise; ()
Ses04F_script01_1_F010 :Surprise; ()
Ses04F_script01_1_F011 :Anger; ()
Ses04F_script01_1_F012 :Anger; ()
Ses04F_script01_1_F013 :Anger; ()
Ses04F_script01_1_F014 :Anger; ()
Ses04F_script01_1_F015 :Anger; ()
Ses04F_script01_1_F016 :Sadness; ()
Ses04F_script01_1_F017 :Anger; ()
Ses04F_script01_1_F018 :Neutral state; ()
Ses04F_script01_1_F019 :Anger; ()
Ses04F_script01_1_F020 :Sadness; ()
Ses04F_script01_1_F021 :Anger; ()
Ses04F_script01_1_F022 :Anger; ()
Ses04F_script01_1_F023 :Anger; ()
Ses04F_script01_1_F024 :Anger; ()
Ses04F_script01_1_F025 :Neutral state; ()
Ses04F_script01_1_F026 :Anger; ()
Ses04F_script01_1_F027 :Anger; ()
Ses04F_script01_1_F028 :Anger; ()
Ses04F_script01_1_F029 :Anger; ()
Ses04F_script01_1_F030 :Anger; ()
Ses04F_script01_1_F031 :Frustration; ()
Ses04F_script01_1_F032 :Anger; ()
Ses04F_script01_1_F033 :Sadness; ()
Ses04F_script01_1_F034 :Anger; ()
Ses04F_script01_1_F035 :Surprise; ()
Ses04F_script01_1_F036 :Anger; ()
Ses04F_script01_1_F037 :Anger; ()
Ses04F_script01_1_F038 :Anger; ()
Ses04F_script01_1_F039 :Anger; ()
Ses04F_script01_1_F040 :Anger; ()
Ses04F_script01_1_F041 :Anger; ()
Ses04F_script01_1_F042 :Anger; ()
Ses04F_script01_1_F043 :Sadness; ()
Ses04F_script01_1_F044 :Anger; ()
Ses04F_script01_1_M000 :Neutral state; ()
Ses04F_script01_1_M001 :Sadness; ()
Ses04F_script01_1_M002 :Sadness; ()
Ses04F_script01_1_M003 :Sadness; ()
Ses04F_script01_1_M004 :Sadness; ()
Ses04F_script01_1_M005 :Sadness; ()
Ses04F_script01_1_M006 :Sadness; ()
Ses04F_script01_1_M007 :Frustration; ()
Ses04F_script01_1_M008 :Sadness; ()
Ses04F_script01_1_M009 :Anger; ()
Ses04F_script01_1_M010 :Anger; ()
Ses04F_script01_1_M011 :Sadness; ()
Ses04F_script01_1_M012 :Anger; ()
Ses04F_script01_1_M013 :Anger; ()
Ses04F_script01_1_M014 :Frustration; ()
Ses04F_script01_1_M015 :Frustration; ()
Ses04F_script01_1_M016 :Frustration; ()
Ses04F_script01_1_M017 :Sadness; ()
Ses04F_script01_1_M018 :Anger; ()
Ses04F_script01_1_M019 :Anger; ()
Ses04F_script01_1_M020 :Anger; ()
Ses04F_script01_1_M021 :Anger; ()
Ses04F_script01_1_M022 :Anger; ()
Ses04F_script01_1_M023 :Anger; ()
Ses04F_script01_1_M024 :Frustration; ()
Ses04F_script01_1_M025 :Anger; ()
Ses04F_script01_1_M026 :Sadness; ()
Ses04F_script01_1_M027 :Anger; ()
Ses04F_script01_1_M028 :Anger; ()
Ses04F_script01_1_M029 :Anger; ()
Ses04F_script01_1_M030 :Anger; ()
Ses04F_script01_1_M031 :Sadness; ()
Ses04F_script01_1_M032 :Sadness; ()
Ses04F_script01_1_M033 :Sadness; ()
Ses04F_script01_1_M034 :Anger; ()
Ses04F_script01_1_M035 :Frustration; ()
Ses04F_script01_1_M036 :Sadness; ()
Ses04F_script01_1_M037 :Frustration; ()
Ses04F_script01_1_M038 :Anger; ()
Ses04F_script01_1_M039 :Anger; ()
Ses04F_script01_1_M040 :Frustration; ()
Ses04F_script01_1_M041 :Sadness; ()
Ses04F_script01_1_M042 :Sadness; ()
Ses04F_script01_1_M043 :Frustration; ()
Ses04F_script01_1_M044 :Sadness; ()
Ses04F_script01_1_M045 :Sadness; ()
