Ses04M_script01_1_F000 :Neutral state; ()
Ses04M_script01_1_F001 :Neutral state; ()
Ses04M_script01_1_F002 :Surprise; ()
Ses04M_script01_1_F003 :Surprise; ()
Ses04M_script01_1_F004 :Neutral state; ()
Ses04M_script01_1_F005 :Neutral state; ()
Ses04M_script01_1_F006 :Sadness; ()
Ses04M_script01_1_F007 :Sadness; ()
Ses04M_script01_1_F008 :Surprise; ()
Ses04M_script01_1_F009 :Surprise; ()
Ses04M_script01_1_F010 :Anger; ()
Ses04M_script01_1_F011 :Anger; ()
Ses04M_script01_1_F012 :Anger; ()
Ses04M_script01_1_F013 :Anger; ()
Ses04M_script01_1_F014 :Anger; ()
Ses04M_script01_1_F015 :Neutral state; ()
Ses04M_script01_1_F016 :Neutral state; ()
Ses04M_script01_1_F017 :Neutral state; ()
Ses04M_script01_1_F018 :Anger; ()
Ses04M_script01_1_F019 :Neutral state; ()
Ses04M_script01_1_F020 :Anger; ()
Ses04M_script01_1_F021 :Anger; ()
Ses04M_script01_1_F022 :Anger; ()
Ses04M_script01_1_F023 :Anger; ()
Ses04M_script01_1_F024 :Frustration; ()
Ses04M_script01_1_F025 :Happiness; ()
Ses04M_script01_1_F026 :Anger; ()
Ses04M_script01_1_F027 :Neutral state; ()
Ses04M_script01_1_F028 :Neutral state; ()
Ses04M_script01_1_F029 :Anger; ()
Ses04M_script01_1_F030 :Anger; ()
Ses04M_script01_1_F031 :Sadness; ()
Ses04M_script01_1_F032 :Neutral state; ()
Ses04M_script01_1_F033 :Neutral state; ()
Ses04M_script01_1_F034 :Anger; ()
Ses04M_script01_1_F035 :Surprise; ()
Ses04M_script01_1_F036 :Anger; ()
Ses04M_script01_1_F037 :Anger; ()
Ses04M_script01_1_F038 :Surprise; ()
Ses04M_script01_1_F039 :Anger; ()
Ses04M_script01_1_F040 :Anger; ()
Ses04M_script01_1_F041 :Anger; ()
Ses04M_script01_1_F042 :Sadness; ()
Ses04M_script01_1_F043 :Neutral state; ()
Ses04M_script01_1_M000 :Neutral state; ()
Ses04M_script01_1_M001 :Neutral state; ()
Ses04M_script01_1_M002 :Sadness; ()
Ses04M_script01_1_M003 :Sadness; ()
Ses04M_script01_1_M004 :Sadness; ()
Ses04M_script01_1_M005 :Sadness; ()
Ses04M_script01_1_M006 :Sadness; ()
Ses04M_script01_1_M007 :Frustration; ()
Ses04M_script01_1_M008 :Sadness; ()
Ses04M_script01_1_M009 :Anger; ()
Ses04M_script01_1_M010 :Frustration; ()
Ses04M_script01_1_M011 :Sadness; ()
Ses04M_script01_1_M012 :Sadness; ()
Ses04M_script01_1_M013 :Anger; ()
Ses04M_script01_1_M014 :Anger; ()
Ses04M_script01_1_M015 :Neutral state; ()
Ses04M_script01_1_M016 :Anger; ()
Ses04M_script01_1_M017 :Anger; ()
Ses04M_script01_1_M018 :Neutral state; ()
Ses04M_script01_1_M019 :Anger; ()
Ses04M_script01_1_M020 :Anger; ()
Ses04M_script01_1_M021 :Anger; ()
Ses04M_script01_1_M022 :Anger; ()
Ses04M_script01_1_M023 :Anger; ()
Ses04M_script01_1_M024 :Frustration; ()
Ses04M_script01_1_M025 :Anger; ()
Ses04M_script01_1_M026 :Neutral state; ()
Ses04M_script01_1_M027 :Sadness; :Anger; ()
Ses04M_script01_1_M028 :Anger; ()
Ses04M_script01_1_M029 :Frustration; ()
Ses04M_script01_1_M030 :Anger; ()
Ses04M_script01_1_M031 :Neutral state; ()
Ses04M_script01_1_M032 :Neutral state; ()
Ses04M_script01_1_M033 :Anger; ()
Ses04M_script01_1_M034 :Sadness; ()
Ses04M_script01_1_M035 :Anger; ()
Ses04M_script01_1_M036 :Anger; ()
Ses04M_script01_1_M037 :Anger; ()
Ses04M_script01_1_M038 :Anger; ()
Ses04M_script01_1_M039 :Anger; ()
Ses04M_script01_1_M040 :Neutral state; ()
Ses04M_script01_1_M041 :Neutral state; ()
Ses04M_script01_1_M042 :Frustration; ()
Ses04M_script01_1_M043 :Anger; ()
Ses04M_script01_1_M044 :Neutral state; ()
