Ses04F_impro05_F000 :Frustration; ()
Ses04F_impro05_F001 :Frustration; ()
Ses04F_impro05_F002 :Frustration; ()
Ses04F_impro05_F003 :Frustration; ()
Ses04F_impro05_F004 :Anger; ()
Ses04F_impro05_F005 :Anger; ()
Ses04F_impro05_F006 :Frustration; :Anger; ()
Ses04F_impro05_F007 :Surprise; ()
Ses04F_impro05_F008 :Anger; ()
Ses04F_impro05_F009 :Anger; ()
Ses04F_impro05_F010 :Frustration; :Anger; ()
Ses04F_impro05_F011 :Frustration; :Anger; ()
Ses04F_impro05_F012 :Anger; ()
Ses04F_impro05_F013 :Anger; ()
Ses04F_impro05_F014 :Anger; ()
Ses04F_impro05_F015 :Anger; ()
Ses04F_impro05_F016 :Anger; ()
Ses04F_impro05_F017 :Anger; ()
Ses04F_impro05_F018 :Anger; ()
Ses04F_impro05_F019 :Anger; ()
Ses04F_impro05_M000 :Neutral state; ()
Ses04F_impro05_M001 :Neutral state; ()
Ses04F_impro05_M002 :Neutral state; ()
Ses04F_impro05_M003 :Neutral state; ()
Ses04F_impro05_M004 :Neutral state; ()
Ses04F_impro05_M005 :Neutral state; ()
Ses04F_impro05_M006 :Neutral state; ()
Ses04F_impro05_M007 :Neutral state; ()
Ses04F_impro05_M008 :Neutral state; ()
Ses04F_impro05_M009 :Neutral state; ()
Ses04F_impro05_M010 :Neutral state; ()
Ses04F_impro05_M011 :Neutral state; ()
Ses04F_impro05_M012 :Neutral state; ()
Ses04F_impro05_M013 :Neutral state; ()
Ses04F_impro05_M014 :Neutral state; ()
Ses04F_impro05_M015 :Neutral state; ()
Ses04F_impro05_M016 :Neutral state; ()
Ses04F_impro05_M017 :Neutral state; ()
Ses04F_impro05_M018 :Neutral state; ()
Ses04F_impro05_M019 :Neutral state; ()
Ses04F_impro05_M020 :Neutral state; ()
Ses04F_impro05_M021 :Neutral state; ()
Ses04F_impro05_M022 :Neutral state; ()
Ses04F_impro05_M023 :Neutral state; ()
Ses04F_impro05_M024 :Neutral state; ()
