Ses04F_impro03_F000 :Excited; ()
Ses04F_impro03_F001 :Excited; ()
Ses04F_impro03_F002 :Excited; ()
Ses04F_impro03_F003 :Excited; ()
Ses04F_impro03_F004 :Excited; ()
Ses04F_impro03_F005 :Excited; ()
Ses04F_impro03_F006 :Excited; ()
Ses04F_impro03_F007 :Excited; ()
Ses04F_impro03_F008 :Excited; :Happiness; ()
Ses04F_impro03_F009 :Excited; :Happiness; ()
Ses04F_impro03_F010 :Happiness; ()
Ses04F_impro03_F011 :Happiness; ()
Ses04F_impro03_F012 :Happiness; ()
Ses04F_impro03_F013 :Excited; ()
Ses04F_impro03_F014 :Excited; ()
Ses04F_impro03_F015 :Excited; ()
Ses04F_impro03_F016 :Excited; ()
Ses04F_impro03_F017 :Excited; ()
Ses04F_impro03_F018 :Excited; ()
Ses04F_impro03_F019 :Excited; ()
Ses04F_impro03_F020 :Neutral state; ()
Ses04F_impro03_F021 :Neutral state; ()
Ses04F_impro03_F022 :Neutral state; ()
Ses04F_impro03_F023 :Neutral state; ()
Ses04F_impro03_F024 :Excited; ()
Ses04F_impro03_F025 :Excited; ()
Ses04F_impro03_F026 :Excited; ()
Ses04F_impro03_F027 :Neutral state; ()
Ses04F_impro03_F028 :Neutral state; ()
Ses04F_impro03_F029 :Neutral state; ()
Ses04F_impro03_F030 :Neutral state; ()
Ses04F_impro03_F031 :Neutral state; ()
Ses04F_impro03_F032 :Neutral state; ()
Ses04F_impro03_F033 :Neutral state; ()
Ses04F_impro03_F034 :Excited; ()
Ses04F_impro03_F035 :Neutral state; ()
Ses04F_impro03_F036 :Excited; ()
Ses04F_impro03_F037 :Neutral state; ()
Ses04F_impro03_F038 :Excited; ()
Ses04F_impro03_F039 :Neutral state; ()
Ses04F_impro03_F040 :Excited; ()
Ses04F_impro03_F041 :Excited; ()
Ses04F_impro03_F042 :Excited; ()
Ses04F_impro03_F043 :Excited; ()
Ses04F_impro03_F044 :Excited; ()
Ses04F_impro03_F045 :Excited; ()
Ses04F_impro03_F046 :Neutral state; ()
Ses04F_impro03_F047 :Excited; ()
Ses04F_impro03_F048 :Excited; ()
Ses04F_impro03_F049 :Neutral state; ()
Ses04F_impro03_F050 :Excited; ()
Ses04F_impro03_F051 :Excited; ()
Ses04F_impro03_F052 :Excited; ()
Ses04F_impro03_M000 :Neutral state; ()
Ses04F_impro03_M001 :Neutral state; ()
Ses04F_impro03_M002 :Surprise; ()
Ses04F_impro03_M003 :Excited; ()
Ses04F_impro03_M004 :Excited; ()
Ses04F_impro03_M005 :Excited; ()
Ses04F_impro03_M006 :Neutral state; ()
Ses04F_impro03_M007 :Neutral state; ()
Ses04F_impro03_M008 :Neutral state; ()
Ses04F_impro03_M009 :Neutral state; ()
Ses04F_impro03_M010 :Neutral state; ()
Ses04F_impro03_M011 :Neutral state; ()
Ses04F_impro03_M012 :Neutral state; ()
Ses04F_impro03_M013 :Neutral state; ()
Ses04F_impro03_M014 :Excited; ()
Ses04F_impro03_M015 :Excited; ()
Ses04F_impro03_M016 :Excited; ()
Ses04F_impro03_M017 :Neutral state; ()
Ses04F_impro03_M018 :Neutral state; ()
Ses04F_impro03_M019 :Neutral state; ()
Ses04F_impro03_M020 :Neutral state; ()
Ses04F_impro03_M021 :Neutral state; ()
Ses04F_impro03_M022 :Excited; ()
Ses04F_impro03_M023 :Excited; ()
Ses04F_impro03_M024 :Excited; ()
Ses04F_impro03_M025 :Excited; ()
Ses04F_impro03_M026 :Excited; ()
Ses04F_impro03_M027 :Neutral state; ()
Ses04F_impro03_M028 :Neutral state; ()
Ses04F_impro03_M029 :Neutral state; ()
Ses04F_impro03_M030 :Neutral state; ()
Ses04F_impro03_M031 :Neutral state; ()
Ses04F_impro03_M032 :Neutral state; ()
Ses04F_impro03_M033 :Neutral state; ()
Ses04F_impro03_M034 :Neutral state; ()
Ses04F_impro03_M035 :Neutral state; ()
Ses04F_impro03_M036 :Neutral state; ()
Ses04F_impro03_M037 :Excited; ()
Ses04F_impro03_M038 :Excited; ()
Ses04F_impro03_M039 :Excited; ()
Ses04F_impro03_M040 :Excited; ()
Ses04F_impro03_M041 :Neutral state; ()
Ses04F_impro03_M042 :Neutral state; ()
Ses04F_impro03_M043 :Neutral state; ()
Ses04F_impro03_M044 :Neutral state; ()
Ses04F_impro03_M045 :Neutral state; ()
Ses04F_impro03_M046 :Neutral state; ()
Ses04F_impro03_M047 :Neutral state; ()
Ses04F_impro03_M048 :Neutral state; ()
Ses04F_impro03_M049 :Neutral state; ()
Ses04F_impro03_M050 :Neutral state; ()
