Ses04F_impro03_F000 :Excited; ()
Ses04F_impro03_F001 :Excited; ()
Ses04F_impro03_F002 :Excited; ()
Ses04F_impro03_F003 :Excited; ()
Ses04F_impro03_F004 :Excited; ()
Ses04F_impro03_F005 :Excited; :Happiness; ()
Ses04F_impro03_F006 :Happiness; ()
Ses04F_impro03_F007 :Excited; ()
Ses04F_impro03_F008 :Excited; ()
Ses04F_impro03_F009 :Excited; ()
Ses04F_impro03_F010 :Happiness; ()
Ses04F_impro03_F011 :Excited; ()
Ses04F_impro03_F012 :Excited; ()
Ses04F_impro03_F013 :Excited; ()
Ses04F_impro03_F014 :Excited; ()
Ses04F_impro03_F015 :Excited; ()
Ses04F_impro03_F016 :Excited; ()
Ses04F_impro03_F017 :Excited; ()
Ses04F_impro03_F018 :Excited; ()
Ses04F_impro03_F019 :Frustration; ()
Ses04F_impro03_F020 :Frustration; ()
Ses04F_impro03_F021 :Frustration; ()
Ses04F_impro03_F022 :Frustration; ()
Ses04F_impro03_F023 :Frustration; ()
Ses04F_impro03_F024 :Frustration; ()
Ses04F_impro03_F025 :Frustration; ()
Ses04F_impro03_F026 :Frustration; ()
Ses04F_impro03_F027 :Frustration; ()
Ses04F_impro03_F028 :Frustration; ()
Ses04F_impro03_F029 :Frustration; ()
Ses04F_impro03_F030 :Excited; ()
Ses04F_impro03_F031 :Excited; ()
Ses04F_impro03_F032 :Excited; ()
Ses04F_impro03_F033 :Excited; ()
Ses04F_impro03_F034 :Excited; ()
Ses04F_impro03_F035 :Excited; ()
Ses04F_impro03_F036 :Excited; ()
Ses04F_impro03_F037 :Excited; ()
Ses04F_impro03_F038 :Excited; ()
Ses04F_impro03_F039 :Excited; ()
Ses04F_impro03_F040 :Excited; ()
Ses04F_impro03_F041 :Excited; ()
Ses04F_impro03_F042 :Excited; ()
Ses04F_impro03_F043 :Excited; ()
Ses04F_impro03_F044 :Excited; ()
Ses04F_impro03_F045 :Excited; ()
Ses04F_impro03_F046 :Excited; ()
Ses04F_impro03_F047 :Excited; ()
Ses04F_impro03_F048 :Excited; ()
Ses04F_impro03_F049 :Excited; ()
Ses04F_impro03_F050 :Excited; ()
Ses04F_impro03_F051 :Excited; ()
Ses04F_impro03_F052 :Excited; ()
Ses04F_impro03_M000 :Neutral state; ()
Ses04F_impro03_M001 :Frustration; ()
Ses04F_impro03_M002 :Neutral state; ()
Ses04F_impro03_M003 :Excited; ()
Ses04F_impro03_M004 :Excited; ()
Ses04F_impro03_M005 :Excited; ()
Ses04F_impro03_M006 :Excited; ()
Ses04F_impro03_M007 :Excited; ()
Ses04F_impro03_M008 :Excited; ()
Ses04F_impro03_M009 :Excited; ()
Ses04F_impro03_M010 :Excited; ()
Ses04F_impro03_M011 :Excited; ()
Ses04F_impro03_M012 :Excited; ()
Ses04F_impro03_M013 :Excited; ()
Ses04F_impro03_M014 :Excited; ()
Ses04F_impro03_M015 :Frustration; ()
Ses04F_impro03_M016 :Frustration; ()
Ses04F_impro03_M017 :Frustration; ()
Ses04F_impro03_M018 :Frustration; ()
Ses04F_impro03_M019 :Frustration; ()
Ses04F_impro03_M020 :Frustration; ()
Ses04F_impro03_M021 :Frustration; ()
Ses04F_impro03_M022 :Frustration; ()
Ses04F_impro03_M023 :Frustration; ()
Ses04F_impro03_M024 :Frustration; ()
Ses04F_impro03_M025 :Frustration; ()
Ses04F_impro03_M026 :Frustration; ()
Ses04F_impro03_M027 :Excited; ()
Ses04F_impro03_M028 :Excited; ()
Ses04F_impro03_M029 :Excited; ()
Ses04F_impro03_M030 :Excited; ()
Ses04F_impro03_M031 :Excited; ()
Ses04F_impro03_M032 :Frustration; ()
Ses04F_impro03_M033 :Excited; ()
Ses04F_impro03_M034 :Frustration; ()
Ses04F_impro03_M035 :Excited; ()
Ses04F_impro03_M036 :Excited; ()
Ses04F_impro03_M037 :Excited; ()
Ses04F_impro03_M038 :Excited; ()
Ses04F_impro03_M039 :Excited; ()
Ses04F_impro03_M040 :Excited; ()
Ses04F_impro03_M041 :Excited; ()
Ses04F_impro03_M042 :Excited; ()
Ses04F_impro03_M043 :Excited; ()
Ses04F_impro03_M044 :Excited; ()
Ses04F_impro03_M045 :Excited; ()
Ses04F_impro03_M046 :Excited; ()
Ses04F_impro03_M047 :Happiness; :Fear; ()
Ses04F_impro03_M048 :Excited; ()
Ses04F_impro03_M049 :Excited; ()
Ses04F_impro03_M050 :Excited; ()
