Ses04F_impro08_F000 :Happiness; ()
Ses04F_impro08_F001 :Neutral state; ()
Ses04F_impro08_F002 :Neutral state; ()
Ses04F_impro08_F003 :Neutral state; ()
Ses04F_impro08_F004 :Neutral state; ()
Ses04F_impro08_F005 :Neutral state; ()
Ses04F_impro08_F006 :Neutral state; ()
Ses04F_impro08_F007 :Neutral state; ()
Ses04F_impro08_F008 :Neutral state; ()
Ses04F_impro08_F009 :Neutral state; ()
Ses04F_impro08_F010 :Neutral state; ()
Ses04F_impro08_F011 :Neutral state; ()
Ses04F_impro08_F012 :Frustration; ()
Ses04F_impro08_F013 :Frustration; ()
Ses04F_impro08_F014 :Neutral state; ()
Ses04F_impro08_F015 :Neutral state; ()
Ses04F_impro08_F016 :Neutral state; ()
Ses04F_impro08_F017 :Frustration; ()
Ses04F_impro08_F018 :Frustration; ()
Ses04F_impro08_F019 :Frustration; ()
Ses04F_impro08_F020 :Neutral state; ()
Ses04F_impro08_F021 :Neutral state; ()
Ses04F_impro08_F022 :Neutral state; ()
Ses04F_impro08_F023 :Neutral state; ()
Ses04F_impro08_F024 :Neutral state; ()
Ses04F_impro08_F025 :Neutral state; ()
Ses04F_impro08_M000 :Frustration; ()
Ses04F_impro08_M001 :Neutral state; ()
Ses04F_impro08_M002 :Neutral state; ()
Ses04F_impro08_M003 :Frustration; ()
Ses04F_impro08_M004 :Neutral state; ()
Ses04F_impro08_M005 :Frustration; ()
Ses04F_impro08_M006 :Neutral state; ()
Ses04F_impro08_M007 :Frustration; ()
Ses04F_impro08_M008 :Neutral state; ()
Ses04F_impro08_M009 :Neutral state; ()
Ses04F_impro08_M010 :Neutral state; ()
Ses04F_impro08_M011 :Frustration; ()
Ses04F_impro08_M012 :Neutral state; ()
Ses04F_impro08_M013 :Anger; ()
Ses04F_impro08_M014 :Anger; ()
Ses04F_impro08_M015 :Anger; ()
Ses04F_impro08_M016 :Frustration; :Anger; ()
Ses04F_impro08_M017 :Anger; ()
Ses04F_impro08_M018 :Anger; ()
Ses04F_impro08_M019 :Anger; ()
Ses04F_impro08_M020 :Frustration; ()
Ses04F_impro08_M021 :Neutral state; ()
Ses04F_impro08_M022 :Anger; ()
Ses04F_impro08_M023 :Anger; ()
Ses04F_impro08_M024 :Anger; ()
Ses04F_impro08_M025 :Frustration; ()
Ses04F_impro08_M026 :Frustration; ()
Ses04F_impro08_M027 :Frustration; ()
Ses04F_impro08_M028 :Frustration; ()
Ses04F_impro08_M029 :Frustration; ()
Ses04F_impro08_M030 :Frustration; ()
Ses04F_impro08_M031 :Neutral state; ()
