Ses04F_script03_2_F000 :Excited; ()
Ses04F_script03_2_F001 :Excited; ()
Ses04F_script03_2_F002 :Excited; ()
Ses04F_script03_2_F003 :Excited; ()
Ses04F_script03_2_F004 :Excited; ()
Ses04F_script03_2_F005 :Happiness; ()
Ses04F_script03_2_F006 :Excited; ()
Ses04F_script03_2_F007 :Excited; ()
Ses04F_script03_2_F008 :Excited; ()
Ses04F_script03_2_F009 :Frustration; ()
Ses04F_script03_2_F010 :Frustration; ()
Ses04F_script03_2_F011 :Frustration; ()
Ses04F_script03_2_F012 :Frustration; ()
Ses04F_script03_2_F013 :Frustration; ()
Ses04F_script03_2_F014 :Frustration; ()
Ses04F_script03_2_F015 :Frustration; ()
Ses04F_script03_2_F016 :Frustration; ()
Ses04F_script03_2_F017 :Frustration; ()
Ses04F_script03_2_F018 :Frustration; ()
Ses04F_script03_2_F019 :Frustration; ()
Ses04F_script03_2_F020 :Frustration; ()
Ses04F_script03_2_F021 :Frustration; ()
Ses04F_script03_2_F022 :Anger; ()
Ses04F_script03_2_F023 :Frustration; ()
Ses04F_script03_2_F024 :Frustration; ()
Ses04F_script03_2_F025 :Frustration; ()
Ses04F_script03_2_F026 :Frustration; ()
Ses04F_script03_2_F027 :Frustration; ()
Ses04F_script03_2_F028 :Frustration; ()
Ses04F_script03_2_F029 :Frustration; ()
Ses04F_script03_2_F030 :Frustration; ()
Ses04F_script03_2_F031 :Frustration; ()
Ses04F_script03_2_F032 :Frustration; ()
Ses04F_script03_2_F033 :Frustration; ()
Ses04F_script03_2_F034 :Frustration; ()
Ses04F_script03_2_F035 :Frustration; ()
Ses04F_script03_2_F036 :Frustration; ()
Ses04F_script03_2_F037 :Anger; ()
Ses04F_script03_2_F038 :Anger; ()
Ses04F_script03_2_F039 :Anger; ()
Ses04F_script03_2_F040 :Anger; ()
Ses04F_script03_2_F041 :Anger; ()
Ses04F_script03_2_F042 :Anger; ()
Ses04F_script03_2_F043 :Anger; ()
Ses04F_script03_2_F044 :Anger; ()
Ses04F_script03_2_M000 :Anger; ()
Ses04F_script03_2_M001 :Frustration; ()
Ses04F_script03_2_M002 :Frustration; ()
Ses04F_script03_2_M003 :Frustration; ()
Ses04F_script03_2_M004 :Frustration; ()
Ses04F_script03_2_M005 :Anger; ()
Ses04F_script03_2_M006 :Anger; ()
Ses04F_script03_2_M007 :Anger; ()
Ses04F_script03_2_M008 :Frustration; ()
Ses04F_script03_2_M009 :Frustration; ()
Ses04F_script03_2_M010 :Frustration; ()
Ses04F_script03_2_M011 :Frustration; ()
Ses04F_script03_2_M012 :Frustration; ()
Ses04F_script03_2_M013 :Frustration; ()
Ses04F_script03_2_M014 :Frustration; ()
Ses04F_script03_2_M015 :Anger; ()
Ses04F_script03_2_M016 :Anger; ()
Ses04F_script03_2_M017 :Frustration; ()
Ses04F_script03_2_M018 :Frustration; ()
Ses04F_script03_2_M019 :Frustration; ()
Ses04F_script03_2_M020 :Frustration; ()
Ses04F_script03_2_M021 :Frustration; ()
Ses04F_script03_2_M022 :Excited; ()
Ses04F_script03_2_M023 :Excited; ()
Ses04F_script03_2_M024 :Frustration; ()
Ses04F_script03_2_M025 :Frustration; ()
Ses04F_script03_2_M026 :Frustration; ()
Ses04F_script03_2_M027 :Frustration; ()
Ses04F_script03_2_M028 :Frustration; ()
Ses04F_script03_2_M029 :Frustration; ()
Ses04F_script03_2_M030 :Frustration; ()
Ses04F_script03_2_M031 :Frustration; ()
Ses04F_script03_2_M032 :Frustration; ()
Ses04F_script03_2_M033 :Frustration; ()
Ses04F_script03_2_M034 :Frustration; ()
Ses04F_script03_2_M035 :Frustration; ()
Ses04F_script03_2_M036 :Frustration; ()
Ses04F_script03_2_M037 :Frustration; ()
Ses04F_script03_2_M038 :Frustration; ()
Ses04F_script03_2_M039 :Frustration; ()
Ses04F_script03_2_M040 :Frustration; ()
Ses04F_script03_2_M041 :Frustration; ()
Ses04F_script03_2_M042 :Frustration; ()
Ses04F_script03_2_M043 :Anger; ()
Ses04F_script03_2_M044 :Frustration; ()
Ses04F_script03_2_M045 :Frustration; ()
