Ses04M_script01_3_F000 :Neutral state; ()
Ses04M_script01_3_F001 :Neutral state; ()
Ses04M_script01_3_F002 :Neutral state; ()
Ses04M_script01_3_F003 :Neutral state; ()
Ses04M_script01_3_F004 :Neutral state; ()
Ses04M_script01_3_F005 :Neutral state; ()
Ses04M_script01_3_F006 :Neutral state; ()
Ses04M_script01_3_F007 :Neutral state; ()
Ses04M_script01_3_F008 :Neutral state; ()
Ses04M_script01_3_F009 :Neutral state; ()
Ses04M_script01_3_F010 :Neutral state; ()
Ses04M_script01_3_F011 :Neutral state; ()
Ses04M_script01_3_F012 :Happiness; ()
Ses04M_script01_3_F013 :Happiness; ()
Ses04M_script01_3_F014 :Happiness; ()
Ses04M_script01_3_F015 :Neutral state; ()
Ses04M_script01_3_F016 :Neutral state; ()
Ses04M_script01_3_F017 :Other; (concern)
Ses04M_script01_3_F018 :Other; (concern)
Ses04M_script01_3_F019 :Other; (concern)
Ses04M_script01_3_F020 :Other; (concern)
Ses04M_script01_3_F021 :Neutral state; ()
Ses04M_script01_3_F022 :Neutral state; ()
Ses04M_script01_3_F023 :Sadness; ()
Ses04M_script01_3_F024 :Neutral state; ()
Ses04M_script01_3_F025 :Other; (concern)
Ses04M_script01_3_F026 :Other; (concern)
Ses04M_script01_3_F027 :Happiness; ()
Ses04M_script01_3_M000 :Neutral state; ()
Ses04M_script01_3_M001 :Neutral state; ()
Ses04M_script01_3_M002 :Neutral state; ()
Ses04M_script01_3_M003 :Neutral state; ()
Ses04M_script01_3_M004 :Neutral state; ()
Ses04M_script01_3_M005 :Neutral state; ()
Ses04M_script01_3_M006 :Neutral state; ()
Ses04M_script01_3_M007 :Neutral state; ()
Ses04M_script01_3_M008 :Neutral state; ()
Ses04M_script01_3_M009 :Neutral state; ()
Ses04M_script01_3_M010 :Neutral state; ()
Ses04M_script01_3_M011 :Neutral state; ()
Ses04M_script01_3_M012 :Neutral state; ()
Ses04M_script01_3_M013 :Neutral state; ()
Ses04M_script01_3_M014 :Neutral state; ()
Ses04M_script01_3_M015 :Neutral state; ()
Ses04M_script01_3_M016 :Neutral state; ()
Ses04M_script01_3_M017 :Neutral state; ()
Ses04M_script01_3_M018 :Neutral state; ()
Ses04M_script01_3_M019 :Neutral state; ()
Ses04M_script01_3_M020 :Sadness; ()
Ses04M_script01_3_M021 :Neutral state; ()
Ses04M_script01_3_M022 :Sadness; ()
Ses04M_script01_3_M023 :Sadness; ()
Ses04M_script01_3_M024 :Sadness; ()
Ses04M_script01_3_M025 :Sadness; ()
Ses04M_script01_3_M026 :Sadness; ()
Ses04M_script01_3_M027 :Sadness; ()
Ses04M_script01_3_M028 :Sadness; ()
Ses04M_script01_3_M029 :Sadness; ()
Ses04M_script01_3_M030 :Sadness; ()
Ses04M_script01_3_M031 :Sadness; ()
Ses04M_script01_3_M032 :Sadness; ()
Ses04M_script01_3_M033 :Sadness; ()
Ses04M_script01_3_M034 :Sadness; ()
Ses04M_script01_3_M035 :Sadness; ()
Ses04M_script01_3_M036 :Neutral state; ()
Ses04M_script01_3_M037 :Happiness; ()
