Ses04F_script02_1_F000 :Sadness; ()
Ses04F_script02_1_F001 :Frustration; ()
Ses04F_script02_1_F002 :Frustration; ()
Ses04F_script02_1_F003 :Frustration; ()
Ses04F_script02_1_F004 :Frustration; ()
Ses04F_script02_1_F005 :Sadness; ()
Ses04F_script02_1_F006 :Sadness; ()
Ses04F_script02_1_F007 :Anger; ()
Ses04F_script02_1_F008 :Anger; ()
Ses04F_script02_1_F009 :Frustration; ()
Ses04F_script02_1_F010 :Frustration; :Sadness; ()
Ses04F_script02_1_F011 :Frustration; ()
Ses04F_script02_1_F012 :Anger; ()
Ses04F_script02_1_F013 :Frustration; ()
Ses04F_script02_1_F014 :Frustration; ()
Ses04F_script02_1_F015 :Frustration; ()
Ses04F_script02_1_F016 :Frustration; ()
Ses04F_script02_1_F017 :Frustration; ()
Ses04F_script02_1_F018 :Frustration; ()
Ses04F_script02_1_F019 :Anger; ()
Ses04F_script02_1_F020 :Frustration; ()
Ses04F_script02_1_F021 :Anger; ()
Ses04F_script02_1_F022 :Anger; ()
Ses04F_script02_1_M000 :Frustration; ()
Ses04F_script02_1_M001 :Frustration; ()
Ses04F_script02_1_M002 :Excited; ()
Ses04F_script02_1_M003 :Frustration; ()
Ses04F_script02_1_M004 :Frustration; ()
Ses04F_script02_1_M005 :Frustration; ()
Ses04F_script02_1_M006 :Frustration; ()
Ses04F_script02_1_M007 :Frustration; ()
Ses04F_script02_1_M008 :Frustration; ()
Ses04F_script02_1_M009 :Frustration; ()
Ses04F_script02_1_M010 :Frustration; ()
Ses04F_script02_1_M011 :Frustration; ()
Ses04F_script02_1_M012 :Frustration; ()
Ses04F_script02_1_M013 :Frustration; ()
Ses04F_script02_1_M014 :Excited; ()
Ses04F_script02_1_M015 :Frustration; ()
Ses04F_script02_1_M016 :Frustration; ()
Ses04F_script02_1_M017 :Neutral state; ()
Ses04F_script02_1_M018 :Frustration; ()
Ses04F_script02_1_M019 :Frustration; ()
Ses04F_script02_1_M020 :Frustration; ()
Ses04F_script02_1_M021 :Frustration; ()
Ses04F_script02_1_M022 :Frustration; ()
Ses04F_script02_1_M023 :Frustration; ()
Ses04F_script02_1_M024 :Frustration; ()
Ses04F_script02_1_M025 :Frustration; ()
Ses04F_script02_1_M026 :Frustration; ()
Ses04F_script02_1_M027 :Frustration; ()
Ses04F_script02_1_M028 :Excited; ()
Ses04F_script02_1_M029 :Frustration; ()
Ses04F_script02_1_M030 :Frustration; ()
Ses04F_script02_1_M031 :Anger; ()
Ses04F_script02_1_M032 :Anger; ()
Ses04F_script02_1_M033 :Frustration; ()
Ses04F_script02_1_M034 :Frustration; ()
Ses04F_script02_1_M035 :Frustration; ()
Ses04F_script02_1_M036 :Frustration; ()
Ses04F_script02_1_M037 :Frustration; ()
Ses04F_script02_1_M038 :Frustration; ()
Ses04F_script02_1_M039 :Excited; ()
Ses04F_script02_1_M040 :Excited; ()
Ses04F_script02_1_M041 :Excited; ()
Ses04F_script02_1_M042 :Excited; ()
