Ses04M_script02_2_F000 :Frustration; ()
Ses04M_script02_2_F001 :Frustration; ()
Ses04M_script02_2_F002 :Frustration; ()
Ses04M_script02_2_F003 :Frustration; ()
Ses04M_script02_2_F004 :Frustration; ()
Ses04M_script02_2_F005 :Frustration; ()
Ses04M_script02_2_F006 :Anger; ()
Ses04M_script02_2_F007 :Anger; ()
Ses04M_script02_2_F008 :Frustration; ()
Ses04M_script02_2_F009 :Anger; ()
Ses04M_script02_2_F010 :Frustration; ()
Ses04M_script02_2_F011 :Frustration; ()
Ses04M_script02_2_F012 :Frustration; ()
Ses04M_script02_2_F013 :Anger; ()
Ses04M_script02_2_F014 :Anger; ()
Ses04M_script02_2_F015 :Frustration; ()
Ses04M_script02_2_F016 :Sadness; ()
Ses04M_script02_2_F017 :Frustration; ()
Ses04M_script02_2_F018 :Sadness; ()
Ses04M_script02_2_F019 :Sadness; ()
Ses04M_script02_2_F020 :Sadness; ()
Ses04M_script02_2_F021 :Sadness; ()
Ses04M_script02_2_F022 :Frustration; ()
Ses04M_script02_2_F023 :Frustration; ()
Ses04M_script02_2_F024 :Frustration; ()
Ses04M_script02_2_F025 :Anger; ()
Ses04M_script02_2_F026 :Anger; ()
Ses04M_script02_2_F027 :Anger; ()
Ses04M_script02_2_F028 :Frustration; ()
Ses04M_script02_2_F029 :Frustration; ()
Ses04M_script02_2_F030 :Frustration; ()
Ses04M_script02_2_F031 :Frustration; ()
Ses04M_script02_2_F032 :Sadness; ()
Ses04M_script02_2_F033 :Excited; ()
Ses04M_script02_2_F034 :Excited; ()
Ses04M_script02_2_F035 :Happiness; ()
Ses04M_script02_2_F036 :Happiness; ()
Ses04M_script02_2_F037 :Frustration; ()
Ses04M_script02_2_M000 :Excited; ()
Ses04M_script02_2_M001 :Excited; ()
Ses04M_script02_2_M002 :Frustration; ()
Ses04M_script02_2_M003 :Frustration; ()
Ses04M_script02_2_M004 :Frustration; ()
Ses04M_script02_2_M005 :Frustration; ()
Ses04M_script02_2_M006 :Anger; ()
Ses04M_script02_2_M007 :Anger; ()
Ses04M_script02_2_M008 :Frustration; ()
Ses04M_script02_2_M009 :Frustration; ()
Ses04M_script02_2_M010 :Frustration; ()
Ses04M_script02_2_M011 :Frustration; ()
Ses04M_script02_2_M012 :Frustration; ()
Ses04M_script02_2_M013 :Frustration; ()
Ses04M_script02_2_M014 :Frustration; ()
Ses04M_script02_2_M015 :Frustration; ()
Ses04M_script02_2_M016 :Frustration; ()
Ses04M_script02_2_M017 :Frustration; ()
Ses04M_script02_2_M018 :Frustration; ()
Ses04M_script02_2_M019 :Frustration; ()
Ses04M_script02_2_M020 :Excited; ()
Ses04M_script02_2_M021 :Excited; ()
Ses04M_script02_2_M022 :Excited; ()
Ses04M_script02_2_M023 :Sadness; ()
Ses04M_script02_2_M024 :Frustration; ()
Ses04M_script02_2_M025 :Frustration; ()
Ses04M_script02_2_M026 :Frustration; ()
Ses04M_script02_2_M027 :Frustration; ()
Ses04M_script02_2_M028 :Anger; ()
Ses04M_script02_2_M029 :Anger; ()
Ses04M_script02_2_M030 :Frustration; ()
Ses04M_script02_2_M031 :Anger; ()
Ses04M_script02_2_M032 :Frustration; ()
Ses04M_script02_2_M033 :Frustration; ()
Ses04M_script02_2_M034 :Anger; ()
Ses04M_script02_2_M035 :Frustration; ()
Ses04M_script02_2_M036 :Sadness; ()
Ses04M_script02_2_M037 :Sadness; ()
Ses04M_script02_2_M038 :Excited; ()
Ses04M_script02_2_M039 :Happiness; ()
Ses04M_script02_2_M040 :Happiness; ()
Ses04M_script02_2_M041 :Happiness; ()
Ses04M_script02_2_M042 :Frustration; ()
