Ses04F_script02_2_F000 :Anger; ()
Ses04F_script02_2_F001 :Anger; ()
Ses04F_script02_2_F002 :Anger; ()
Ses04F_script02_2_F003 :Anger; ()
Ses04F_script02_2_F004 :Anger; ()
Ses04F_script02_2_F005 :Anger; ()
Ses04F_script02_2_F006 :Anger; ()
Ses04F_script02_2_F007 :Anger; ()
Ses04F_script02_2_F008 :Neutral state; ()
Ses04F_script02_2_F009 :Anger; ()
Ses04F_script02_2_F010 :Anger; ()
Ses04F_script02_2_F011 :Anger; ()
Ses04F_script02_2_F012 :Anger; ()
Ses04F_script02_2_F013 :Frustration; ()
Ses04F_script02_2_F014 :Anger; ()
Ses04F_script02_2_F015 :Frustration; ()
Ses04F_script02_2_F016 :Anger; ()
Ses04F_script02_2_F017 :Anger; ()
Ses04F_script02_2_F018 :Anger; ()
Ses04F_script02_2_F019 :Sadness; :Happiness; ()
Ses04F_script02_2_F020 :Happiness; ()
Ses04F_script02_2_F021 :Happiness; ()
Ses04F_script02_2_F022 :Happiness; ()
Ses04F_script02_2_F023 :Happiness; ()
Ses04F_script02_2_F024 :Sadness; ()
Ses04F_script02_2_F025 :Neutral state; ()
Ses04F_script02_2_F026 :Sadness; ()
Ses04F_script02_2_F027 :Frustration; ()
Ses04F_script02_2_F028 :Frustration; ()
Ses04F_script02_2_F029 :Frustration; ()
Ses04F_script02_2_F030 :Frustration; ()
Ses04F_script02_2_F031 :Anger; ()
Ses04F_script02_2_F032 :Anger; ()
Ses04F_script02_2_F033 :Anger; ()
Ses04F_script02_2_F034 :Anger; ()
Ses04F_script02_2_F035 :Sadness; ()
Ses04F_script02_2_F036 :Frustration; ()
Ses04F_script02_2_F037 :Sadness; ()
Ses04F_script02_2_F038 :Sadness; ()
Ses04F_script02_2_F039 :Sadness; ()
Ses04F_script02_2_F040 :Frustration; :Sadness; ()
Ses04F_script02_2_F041 :Sadness; ()
Ses04F_script02_2_F042 :Happiness; ()
Ses04F_script02_2_F043 :Happiness; ()
Ses04F_script02_2_F044 :Happiness; ()
Ses04F_script02_2_F045 :Happiness; ()
Ses04F_script02_2_F046 :Happiness; ()
Ses04F_script02_2_F047 :Happiness; ()
Ses04F_script02_2_M000 :Neutral state; ()
Ses04F_script02_2_M001 :Frustration; ()
Ses04F_script02_2_M002 :Anger; ()
Ses04F_script02_2_M003 :Anger; ()
Ses04F_script02_2_M004 :Surprise; ()
Ses04F_script02_2_M005 :Neutral state; ()
Ses04F_script02_2_M006 :Frustration; ()
Ses04F_script02_2_M007 :Anger; ()
Ses04F_script02_2_M008 :Surprise; ()
Ses04F_script02_2_M009 :Anger; ()
Ses04F_script02_2_M010 :Anger; ()
Ses04F_script02_2_M011 :Anger; ()
Ses04F_script02_2_M012 :Neutral state; ()
Ses04F_script02_2_M013 :Frustration; ()
Ses04F_script02_2_M014 :Anger; ()
Ses04F_script02_2_M015 :Neutral state; ()
Ses04F_script02_2_M016 :Anger; ()
Ses04F_script02_2_M017 :Neutral state; ()
Ses04F_script02_2_M018 :Neutral state; ()
Ses04F_script02_2_M019 :Neutral state; ()
Ses04F_script02_2_M020 :Neutral state; ()
Ses04F_script02_2_M021 :Frustration; ()
Ses04F_script02_2_M022 :Sadness; ()
Ses04F_script02_2_M023 :Neutral state; ()
Ses04F_script02_2_M024 :Neutral state; ()
Ses04F_script02_2_M025 :Frustration; ()
Ses04F_script02_2_M026 :Neutral state; ()
Ses04F_script02_2_M027 :Frustration; ()
Ses04F_script02_2_M028 :Frustration; ()
Ses04F_script02_2_M029 :Frustration; ()
Ses04F_script02_2_M030 :Anger; ()
Ses04F_script02_2_M031 :Anger; ()
Ses04F_script02_2_M032 :Anger; ()
Ses04F_script02_2_M033 :Anger; ()
Ses04F_script02_2_M034 :Anger; ()
Ses04F_script02_2_M035 :Anger; ()
Ses04F_script02_2_M036 :Anger; ()
Ses04F_script02_2_M037 :Anger; ()
Ses04F_script02_2_M038 :Sadness; ()
Ses04F_script02_2_M039 :Frustration; ()
Ses04F_script02_2_M040 :Sadness; ()
Ses04F_script02_2_M041 :Sadness; ()
Ses04F_script02_2_M042 :Surprise; ()
Ses04F_script02_2_M043 :Neutral state; ()
Ses04F_script02_2_M044 :Neutral state; ()
Ses04F_script02_2_M045 :Happiness; ()
Ses04F_script02_2_M046 :Happiness; ()
Ses04F_script02_2_M047 :Neutral state; ()
Ses04F_script02_2_M048 :Neutral state; ()
Ses04F_script02_2_M049 :Happiness; ()
Ses04F_script02_2_M050 :Happiness; ()
