Ses04F_script02_2_F000 :Frustration; ()
Ses04F_script02_2_F001 :Frustration; ()
Ses04F_script02_2_F002 :Anger; ()
Ses04F_script02_2_F003 :Frustration; ()
Ses04F_script02_2_F004 :Frustration; ()
Ses04F_script02_2_F005 :Frustration; ()
Ses04F_script02_2_F006 :Frustration; ()
Ses04F_script02_2_F007 :Frustration; ()
Ses04F_script02_2_F008 :Frustration; ()
Ses04F_script02_2_F009 :Frustration; ()
Ses04F_script02_2_F010 :Anger; ()
Ses04F_script02_2_F011 :Anger; ()
Ses04F_script02_2_F012 :Frustration; ()
Ses04F_script02_2_F013 :Anger; ()
Ses04F_script02_2_F014 :Anger; ()
Ses04F_script02_2_F015 :Anger; ()
Ses04F_script02_2_F016 :Frustration; ()
Ses04F_script02_2_F017 :Frustration; ()
Ses04F_script02_2_F018 :Frustration; ()
Ses04F_script02_2_F019 :Sadness; ()
Ses04F_script02_2_F020 :Sadness; ()
Ses04F_script02_2_F021 :Sadness; ()
Ses04F_script02_2_F022 :Sadness; ()
Ses04F_script02_2_F023 :Sadness; ()
Ses04F_script02_2_F024 :Frustration; ()
Ses04F_script02_2_F025 :Sadness; ()
Ses04F_script02_2_F026 :Sadness; ()
Ses04F_script02_2_F027 :Sadness; ()
Ses04F_script02_2_F028 :Frustration; ()
Ses04F_script02_2_F029 :Frustration; ()
Ses04F_script02_2_F030 :Frustration; ()
Ses04F_script02_2_F031 :Anger; ()
Ses04F_script02_2_F032 :Frustration; ()
Ses04F_script02_2_F033 :Anger; ()
Ses04F_script02_2_F034 :Anger; ()
Ses04F_script02_2_F035 :Frustration; ()
Ses04F_script02_2_F036 :Sadness; ()
Ses04F_script02_2_F037 :Sadness; ()
Ses04F_script02_2_F038 :Frustration; ()
Ses04F_script02_2_F039 :Frustration; ()
Ses04F_script02_2_F040 :Excited; ()
Ses04F_script02_2_F041 :Sadness; ()
Ses04F_script02_2_F042 :Excited; ()
Ses04F_script02_2_F043 :Excited; ()
Ses04F_script02_2_F044 :Excited; ()
Ses04F_script02_2_F045 :Happiness; ()
Ses04F_script02_2_F046 :Happiness; ()
Ses04F_script02_2_F047 :Excited; ()
Ses04F_script02_2_M000 :Excited; ()
Ses04F_script02_2_M001 :Excited; ()
Ses04F_script02_2_M002 :Frustration; ()
Ses04F_script02_2_M003 :Frustration; ()
Ses04F_script02_2_M004 :Frustration; ()
Ses04F_script02_2_M005 :Frustration; ()
Ses04F_script02_2_M006 :Frustration; ()
Ses04F_script02_2_M007 :Frustration; ()
Ses04F_script02_2_M008 :Frustration; ()
Ses04F_script02_2_M009 :Frustration; ()
Ses04F_script02_2_M010 :Frustration; ()
Ses04F_script02_2_M011 :Frustration; ()
Ses04F_script02_2_M012 :Frustration; ()
Ses04F_script02_2_M013 :Frustration; ()
Ses04F_script02_2_M014 :Frustration; :Fear; ()
Ses04F_script02_2_M015 :Frustration; ()
Ses04F_script02_2_M016 :Frustration; ()
Ses04F_script02_2_M017 :Frustration; ()
Ses04F_script02_2_M018 :Frustration; ()
Ses04F_script02_2_M019 :Excited; ()
Ses04F_script02_2_M020 :Excited; ()
Ses04F_script02_2_M021 :Excited; ()
Ses04F_script02_2_M022 :Excited; ()
Ses04F_script02_2_M023 :Excited; ()
Ses04F_script02_2_M024 :Excited; ()
Ses04F_script02_2_M025 :Excited; ()
Ses04F_script02_2_M026 :Frustration; ()
Ses04F_script02_2_M027 :Frustration; ()
Ses04F_script02_2_M028 :Frustration; ()
Ses04F_script02_2_M029 :Frustration; ()
Ses04F_script02_2_M030 :Frustration; ()
Ses04F_script02_2_M031 :Frustration; ()
Ses04F_script02_2_M032 :Frustration; ()
Ses04F_script02_2_M033 :Frustration; ()
Ses04F_script02_2_M034 :Frustration; ()
Ses04F_script02_2_M035 :Frustration; ()
Ses04F_script02_2_M036 :Frustration; ()
Ses04F_script02_2_M037 :Sadness; ()
Ses04F_script02_2_M038 :Frustration; ()
Ses04F_script02_2_M039 :Frustration; ()
Ses04F_script02_2_M040 :Sadness; ()
Ses04F_script02_2_M041 :Sadness; ()
Ses04F_script02_2_M042 :Happiness; ()
Ses04F_script02_2_M043 :Excited; ()
Ses04F_script02_2_M044 :Excited; ()
Ses04F_script02_2_M045 :Excited; ()
Ses04F_script02_2_M046 :Excited; ()
Ses04F_script02_2_M047 :Excited; ()
Ses04F_script02_2_M048 :Excited; ()
Ses04F_script02_2_M049 :Excited; ()
Ses04F_script02_2_M050 :Excited; ()
