Ses04F_script03_2_F000 :Neutral state; ()
Ses04F_script03_2_F001 :Neutral state; ()
Ses04F_script03_2_F002 :Neutral state; ()
Ses04F_script03_2_F003 :Frustration; :Anger; ()
Ses04F_script03_2_F004 :Neutral state; ()
Ses04F_script03_2_F005 :Anger; ()
Ses04F_script03_2_F006 :Neutral state; ()
Ses04F_script03_2_F007 :Anger; ()
Ses04F_script03_2_F008 :Frustration; :Anger; ()
Ses04F_script03_2_F009 :Frustration; ()
Ses04F_script03_2_F010 :Frustration; :Anger; ()
Ses04F_script03_2_F011 :Frustration; :Anger; ()
Ses04F_script03_2_F012 :Anger; ()
Ses04F_script03_2_F013 :Anger; ()
Ses04F_script03_2_F014 :Anger; ()
Ses04F_script03_2_F015 :Frustration; ()
Ses04F_script03_2_F016 :Frustration; ()
Ses04F_script03_2_F017 :Frustration; ()
Ses04F_script03_2_F018 :Frustration; :Anger; ()
Ses04F_script03_2_F019 :Anger; ()
Ses04F_script03_2_F020 :Anger; ()
Ses04F_script03_2_F021 :Anger; ()
Ses04F_script03_2_F022 :Anger; ()
Ses04F_script03_2_F023 :Anger; ()
Ses04F_script03_2_F024 :Anger; ()
Ses04F_script03_2_F025 :Anger; ()
Ses04F_script03_2_F026 :Anger; ()
Ses04F_script03_2_F027 :Anger; ()
Ses04F_script03_2_F028 :Anger; ()
Ses04F_script03_2_F029 :Anger; ()
Ses04F_script03_2_F030 :Anger; ()
Ses04F_script03_2_F031 :Anger; ()
Ses04F_script03_2_F032 :Sadness; ()
Ses04F_script03_2_F033 :Sadness; ()
Ses04F_script03_2_F034 :Anger; ()
Ses04F_script03_2_F035 :Anger; ()
Ses04F_script03_2_F036 :Anger; ()
Ses04F_script03_2_F037 :Anger; ()
Ses04F_script03_2_F038 :Anger; ()
Ses04F_script03_2_F039 :Frustration; :Anger; ()
Ses04F_script03_2_F040 :Anger; ()
Ses04F_script03_2_F041 :Anger; ()
Ses04F_script03_2_F042 :Anger; ()
Ses04F_script03_2_F043 :Anger; ()
Ses04F_script03_2_F044 :Anger; ()
Ses04F_script03_2_M000 :Neutral state; ()
Ses04F_script03_2_M001 :Anger; ()
Ses04F_script03_2_M002 :Anger; ()
Ses04F_script03_2_M003 :Anger; ()
Ses04F_script03_2_M004 :Neutral state; ()
Ses04F_script03_2_M005 :Anger; ()
Ses04F_script03_2_M006 :Anger; ()
Ses04F_script03_2_M007 :Anger; ()
Ses04F_script03_2_M008 :Anger; ()
Ses04F_script03_2_M009 :Neutral state; ()
Ses04F_script03_2_M010 :Neutral state; ()
Ses04F_script03_2_M011 :Neutral state; ()
Ses04F_script03_2_M012 :Neutral state; ()
Ses04F_script03_2_M013 :Frustration; :Anger; ()
Ses04F_script03_2_M014 :Anger; ()
Ses04F_script03_2_M015 :Anger; ()
Ses04F_script03_2_M016 :Neutral state; ()
Ses04F_script03_2_M017 :Neutral state; ()
Ses04F_script03_2_M018 :Neutral state; ()
Ses04F_script03_2_M019 :Neutral state; ()
Ses04F_script03_2_M020 :Neutral state; ()
Ses04F_script03_2_M021 :Frustration; ()
Ses04F_script03_2_M022 :Frustration; ()
Ses04F_script03_2_M023 :Frustration; ()
Ses04F_script03_2_M024 :Neutral state; ()
Ses04F_script03_2_M025 :Neutral state; ()
Ses04F_script03_2_M026 :Neutral state; ()
Ses04F_script03_2_M027 :Anger; ()
Ses04F_script03_2_M028 :Frustration; :Anger; ()
Ses04F_script03_2_M029 :Neutral state; ()
Ses04F_script03_2_M030 :Neutral state; ()
Ses04F_script03_2_M031 :Anger; ()
Ses04F_script03_2_M032 :Neutral state; ()
Ses04F_script03_2_M033 :Neutral state; ()
Ses04F_script03_2_M034 :Anger; ()
Ses04F_script03_2_M035 :Anger; ()
Ses04F_script03_2_M036 :Neutral state; ()
Ses04F_script03_2_M037 :Anger; ()
Ses04F_script03_2_M038 :Neutral state; ()
Ses04F_script03_2_M039 :Anger; ()
Ses04F_script03_2_M040 :Anger; ()
Ses04F_script03_2_M041 :Anger; ()
Ses04F_script03_2_M042 :Anger; ()
Ses04F_script03_2_M043 :Anger; ()
Ses04F_script03_2_M044 :Anger; ()
Ses04F_script03_2_M045 :Anger; ()
