Ses04M_script03_1_F000 :Excited; ()
Ses04M_script03_1_F001 :Excited; ()
Ses04M_script03_1_F002 :Excited; ()
Ses04M_script03_1_F003 :Excited; ()
Ses04M_script03_1_F004 :Excited; ()
Ses04M_script03_1_F005 :Excited; ()
Ses04M_script03_1_F006 :Excited; ()
Ses04M_script03_1_F007 :Excited; ()
Ses04M_script03_1_F008 :Excited; ()
Ses04M_script03_1_F009 :Excited; ()
Ses04M_script03_1_F010 :Neutral state; ()
Ses04M_script03_1_F011 :Neutral state; ()
Ses04M_script03_1_F012 :Excited; ()
Ses04M_script03_1_F013 :Neutral state; ()
Ses04M_script03_1_F014 :Excited; ()
Ses04M_script03_1_F015 :Excited; ()
Ses04M_script03_1_F016 :Neutral state; ()
Ses04M_script03_1_F017 :Excited; ()
Ses04M_script03_1_F018 :Excited; ()
Ses04M_script03_1_F019 :Neutral state; ()
Ses04M_script03_1_F020 :Disgust; ()
Ses04M_script03_1_F021 :Excited; ()
Ses04M_script03_1_F022 :Excited; ()
Ses04M_script03_1_F023 :Excited; ()
Ses04M_script03_1_F024 :Excited; ()
Ses04M_script03_1_F025 :Excited; ()
Ses04M_script03_1_F026 :Excited; ()
Ses04M_script03_1_F027 :Excited; ()
Ses04M_script03_1_F028 :Excited; ()
Ses04M_script03_1_F029 :Excited; ()
Ses04M_script03_1_F030 :Excited; ()
Ses04M_script03_1_M000 :Surprise; ()
Ses04M_script03_1_M001 :Excited; ()
Ses04M_script03_1_M002 :Excited; ()
Ses04M_script03_1_M003 :Neutral state; ()
Ses04M_script03_1_M004 :Excited; ()
Ses04M_script03_1_M005 :Excited; ()
Ses04M_script03_1_M006 :Neutral state; ()
Ses04M_script03_1_M007 :Neutral state; ()
Ses04M_script03_1_M008 :Neutral state; ()
Ses04M_script03_1_M009 :Neutral state; ()
Ses04M_script03_1_M010 :Neutral state; ()
Ses04M_script03_1_M011 :Excited; ()
Ses04M_script03_1_M012 :Neutral state; ()
Ses04M_script03_1_M013 :Neutral state; ()
Ses04M_script03_1_M014 :Neutral state; ()
Ses04M_script03_1_M015 :Neutral state; ()
Ses04M_script03_1_M016 :Sadness; ()
Ses04M_script03_1_M017 :Neutral state; ()
Ses04M_script03_1_M018 :Neutral state; ()
Ses04M_script03_1_M019 :Excited; ()
Ses04M_script03_1_M020 :Neutral state; ()
Ses04M_script03_1_M021 :Neutral state; ()
Ses04M_script03_1_M022 :Neutral state; ()
Ses04M_script03_1_M023 :Neutral state; ()
Ses04M_script03_1_M024 :Anger; ()
Ses04M_script03_1_M025 :Anger; ()
Ses04M_script03_1_M026 :Neutral state; ()
Ses04M_script03_1_M027 :Anger; ()
Ses04M_script03_1_M028 :Neutral state; ()
Ses04M_script03_1_M029 :Excited; ()
Ses04M_script03_1_M030 :Neutral state; ()
Ses04M_script03_1_M031 :Neutral state; ()
Ses04M_script03_1_M032 :Neutral state; ()
Ses04M_script03_1_M033 :Neutral state; ()
