Ses04M_script02_1_F000 :Frustration; ()
Ses04M_script02_1_F001 :Frustration; ()
Ses04M_script02_1_F002 :Anger; ()
Ses04M_script02_1_F003 :Anger; ()
Ses04M_script02_1_F004 :Anger; ()
Ses04M_script02_1_F005 :Anger; ()
Ses04M_script02_1_F006 :Sadness; ()
Ses04M_script02_1_F007 :Anger; ()
Ses04M_script02_1_F008 :Frustration; ()
Ses04M_script02_1_F009 :Frustration; ()
Ses04M_script02_1_F010 :Anger; ()
Ses04M_script02_1_F011 :Frustration; ()
Ses04M_script02_1_F012 :Frustration; ()
Ses04M_script02_1_F013 :Anger; ()
Ses04M_script02_1_F014 :Neutral state; ()
Ses04M_script02_1_F015 :Frustration; ()
Ses04M_script02_1_F016 :Frustration; ()
Ses04M_script02_1_F017 :Anger; ()
Ses04M_script02_1_F018 :Anger; ()
Ses04M_script02_1_F019 :Frustration; ()
Ses04M_script02_1_F020 :Frustration; :Sadness; ()
Ses04M_script02_1_F021 :Frustration; ()
Ses04M_script02_1_M000 :Frustration; ()
Ses04M_script02_1_M001 :Excited; ()
Ses04M_script02_1_M002 :Excited; ()
Ses04M_script02_1_M003 :Excited; ()
Ses04M_script02_1_M004 :Excited; ()
Ses04M_script02_1_M005 :Frustration; ()
Ses04M_script02_1_M006 :Frustration; ()
Ses04M_script02_1_M007 :Excited; ()
Ses04M_script02_1_M008 :Excited; ()
Ses04M_script02_1_M009 :Frustration; ()
Ses04M_script02_1_M010 :Frustration; ()
Ses04M_script02_1_M011 :Frustration; ()
Ses04M_script02_1_M012 :Excited; ()
Ses04M_script02_1_M013 :Frustration; ()
Ses04M_script02_1_M014 :Frustration; ()
Ses04M_script02_1_M015 :Frustration; ()
Ses04M_script02_1_M016 :Frustration; ()
Ses04M_script02_1_M017 :Frustration; ()
Ses04M_script02_1_M018 :Frustration; ()
Ses04M_script02_1_M019 :Frustration; ()
Ses04M_script02_1_M020 :Excited; ()
Ses04M_script02_1_M021 :Excited; ()
Ses04M_script02_1_M022 :Frustration; ()
Ses04M_script02_1_M023 :Excited; ()
Ses04M_script02_1_M024 :Frustration; ()
Ses04M_script02_1_M025 :Frustration; ()
Ses04M_script02_1_M026 :Excited; ()
Ses04M_script02_1_M027 :Excited; ()
Ses04M_script02_1_M028 :Excited; ()
Ses04M_script02_1_M029 :Excited; ()
Ses04M_script02_1_M030 :Excited; ()
Ses04M_script02_1_M031 :Excited; ()
Ses04M_script02_1_M032 :Excited; ()
Ses04M_script02_1_M033 :Excited; ()
