Ses02F_script01_1_F000 :Happiness; ()
Ses02F_script01_1_F001 :Happiness; ()
Ses02F_script01_1_F002 :Happiness; ()
Ses02F_script01_1_F003 :Frustration; ()
Ses02F_script01_1_F004 :Sadness; ()
Ses02F_script01_1_F005 :Sadness; ()
Ses02F_script01_1_F006 :Sadness; ()
Ses02F_script01_1_F007 :Frustration; ()
Ses02F_script01_1_F008 :Frustration; ()
Ses02F_script01_1_F009 :Frustration; ()
Ses02F_script01_1_F010 :Frustration; ()
Ses02F_script01_1_F011 :Frustration; ()
Ses02F_script01_1_F012 :Frustration; ()
Ses02F_script01_1_F013 :Frustration; ()
Ses02F_script01_1_F014 :Frustration; ()
Ses02F_script01_1_F015 :Frustration; ()
Ses02F_script01_1_F016 :Frustration; ()
Ses02F_script01_1_F017 :Frustration; :Sadness; ()
Ses02F_script01_1_F018 :Frustration; ()
Ses02F_script01_1_F019 :Anger; ()
Ses02F_script01_1_F020 :Frustration; ()
Ses02F_script01_1_F021 :Frustration; ()
Ses02F_script01_1_F022 :Frustration; ()
Ses02F_script01_1_F023 :Frustration; ()
Ses02F_script01_1_F024 :Frustration; ()
Ses02F_script01_1_F025 :Sadness; ()
Ses02F_script01_1_F026 :Frustration; ()
Ses02F_script01_1_F027 :Frustration; ()
Ses02F_script01_1_F028 :Sadness; ()
Ses02F_script01_1_F029 :Frustration; ()
Ses02F_script01_1_F030 :Frustration; ()
Ses02F_script01_1_F031 :Frustration; ()
Ses02F_script01_1_F032 :Frustration; ()
Ses02F_script01_1_F033 :Frustration; ()
Ses02F_script01_1_F034 :Frustration; ()
Ses02F_script01_1_F035 :Anger; ()
Ses02F_script01_1_F036 :Anger; ()
Ses02F_script01_1_F037 :Anger; ()
Ses02F_script01_1_F038 :Anger; ()
Ses02F_script01_1_F039 :Frustration; ()
Ses02F_script01_1_F040 :Sadness; ()
Ses02F_script01_1_F041 :Frustration; :Sadness; ()
Ses02F_script01_1_F042 :Frustration; ()
Ses02F_script01_1_F043 :Frustration; ()
Ses02F_script01_1_F044 :Sadness; ()
Ses02F_script01_1_M000 :Frustration; ()
Ses02F_script01_1_M001 :Frustration; ()
Ses02F_script01_1_M002 :Frustration; ()
Ses02F_script01_1_M003 :Frustration; ()
Ses02F_script01_1_M004 :Frustration; ()
Ses02F_script01_1_M005 :Frustration; ()
Ses02F_script01_1_M006 :Frustration; ()
Ses02F_script01_1_M007 :Frustration; ()
Ses02F_script01_1_M008 :Frustration; ()
Ses02F_script01_1_M009 :Frustration; ()
Ses02F_script01_1_M010 :Frustration; ()
Ses02F_script01_1_M011 :Anger; ()
Ses02F_script01_1_M012 :Frustration; ()
Ses02F_script01_1_M013 :Anger; ()
Ses02F_script01_1_M014 :Frustration; ()
Ses02F_script01_1_M015 :Frustration; ()
Ses02F_script01_1_M016 :Frustration; ()
Ses02F_script01_1_M017 :Neutral state; ()
Ses02F_script01_1_M018 :Frustration; ()
Ses02F_script01_1_M019 :Frustration; ()
Ses02F_script01_1_M020 :Frustration; ()
Ses02F_script01_1_M021 :Anger; ()
Ses02F_script01_1_M022 :Anger; ()
Ses02F_script01_1_M023 :Anger; ()
Ses02F_script01_1_M024 :Frustration; ()
Ses02F_script01_1_M025 :Anger; ()
Ses02F_script01_1_M026 :Frustration; ()
Ses02F_script01_1_M027 :Frustration; :Sadness; ()
Ses02F_script01_1_M028 :Frustration; ()
Ses02F_script01_1_M029 :Frustration; ()
Ses02F_script01_1_M030 :Anger; ()
Ses02F_script01_1_M031 :Frustration; ()
Ses02F_script01_1_M032 :Frustration; ()
Ses02F_script01_1_M033 :Anger; ()
Ses02F_script01_1_M034 :Anger; ()
Ses02F_script01_1_M035 :Anger; ()
Ses02F_script01_1_M036 :Anger; ()
Ses02F_script01_1_M037 :Anger; ()
Ses02F_script01_1_M038 :Anger; ()
Ses02F_script01_1_M039 :Anger; ()
Ses02F_script01_1_M040 :Neutral state; ()
Ses02F_script01_1_M041 :Frustration; ()
Ses02F_script01_1_M042 :Frustration; ()
Ses02F_script01_1_M043 :Frustration; ()
Ses02F_script01_1_M044 :Frustration; ()
