Ses02M_script03_1_F000 :Fear; ()
Ses02M_script03_1_F001 :Fear; ()
Ses02M_script03_1_F002 :Fear; ()
Ses02M_script03_1_F003 :Happiness; ()
Ses02M_script03_1_F004 :Happiness; ()
Ses02M_script03_1_F005 :Excited; ()
Ses02M_script03_1_F006 :Happiness; ()
Ses02M_script03_1_F007 :Happiness; ()
Ses02M_script03_1_F008 :Happiness; ()
Ses02M_script03_1_F009 :Happiness; ()
Ses02M_script03_1_F010 :Happiness; ()
Ses02M_script03_1_F011 :Happiness; ()
Ses02M_script03_1_F012 :Neutral state; ()
Ses02M_script03_1_F013 :Happiness; ()
Ses02M_script03_1_F014 :Neutral state; ()
Ses02M_script03_1_F015 :Sadness; ()
Ses02M_script03_1_F016 :Neutral state; ()
Ses02M_script03_1_F017 :Sadness; ()
Ses02M_script03_1_F018 :Happiness; ()
Ses02M_script03_1_F019 :Happiness; ()
Ses02M_script03_1_F020 :Happiness; ()
Ses02M_script03_1_F021 :Happiness; ()
Ses02M_script03_1_F022 :Happiness; ()
Ses02M_script03_1_F023 :Happiness; ()
Ses02M_script03_1_F024 :Happiness; ()
Ses02M_script03_1_F025 :Happiness; ()
Ses02M_script03_1_F026 :Happiness; ()
Ses02M_script03_1_F027 :Happiness; ()
Ses02M_script03_1_F028 :Happiness; ()
Ses02M_script03_1_F029 :Happiness; ()
Ses02M_script03_1_M000 :Fear; ()
Ses02M_script03_1_M001 :Fear; ()
Ses02M_script03_1_M002 :Fear; ()
Ses02M_script03_1_M003 :Fear; ()
Ses02M_script03_1_M004 :Happiness; ()
Ses02M_script03_1_M005 :Neutral state; ()
Ses02M_script03_1_M006 :Fear; ()
Ses02M_script03_1_M007 :Happiness; ()
Ses02M_script03_1_M008 :Happiness; ()
Ses02M_script03_1_M009 :Sadness; ()
Ses02M_script03_1_M010 :Happiness; ()
Ses02M_script03_1_M011 :Happiness; ()
Ses02M_script03_1_M012 :Happiness; ()
Ses02M_script03_1_M013 :Happiness; ()
Ses02M_script03_1_M014 :Happiness; ()
Ses02M_script03_1_M015 :Happiness; ()
Ses02M_script03_1_M016 :Sadness; ()
Ses02M_script03_1_M017 :Sadness; ()
Ses02M_script03_1_M018 :Happiness; ()
Ses02M_script03_1_M019 :Happiness; ()
Ses02M_script03_1_M020 :Happiness; ()
Ses02M_script03_1_M021 :Happiness; ()
Ses02M_script03_1_M022 :Happiness; ()
Ses02M_script03_1_M023 :Happiness; ()
Ses02M_script03_1_M024 :Happiness; ()
Ses02M_script03_1_M025 :Happiness; ()
Ses02M_script03_1_M026 :Disgust; ()
Ses02M_script03_1_M027 :Happiness; ()
Ses02M_script03_1_M028 :Happiness; ()
Ses02M_script03_1_M029 :Happiness; ()
Ses02M_script03_1_M030 :Happiness; ()
Ses02M_script03_1_M031 :Happiness; ()
Ses02M_script03_1_M032 :Happiness; ()
Ses02M_script03_1_M033 :Neutral state; ()
