Ses02F_script02_1_F000 :Sadness; ()
Ses02F_script02_1_F001 :Sadness; ()
Ses02F_script02_1_F002 :Frustration; ()
Ses02F_script02_1_F003 :Frustration; ()
Ses02F_script02_1_F004 :Frustration; ()
Ses02F_script02_1_F005 :Sadness; ()
Ses02F_script02_1_F006 :Sadness; ()
Ses02F_script02_1_F007 :Sadness; ()
Ses02F_script02_1_F008 :Sadness; ()
Ses02F_script02_1_F009 :Frustration; ()
Ses02F_script02_1_F010 :Frustration; ()
Ses02F_script02_1_F011 :Frustration; ()
Ses02F_script02_1_F012 :Frustration; ()
Ses02F_script02_1_F013 :Frustration; ()
Ses02F_script02_1_F014 :Frustration; ()
Ses02F_script02_1_F015 :Frustration; ()
Ses02F_script02_1_F016 :Frustration; ()
Ses02F_script02_1_F017 :Sadness; ()
Ses02F_script02_1_F018 :Frustration; ()
Ses02F_script02_1_F019 :Frustration; ()
Ses02F_script02_1_F020 :Sadness; ()
Ses02F_script02_1_F021 :Frustration; :Sadness; ()
Ses02F_script02_1_F022 :Frustration; ()
Ses02F_script02_1_M000 :Excited; ()
Ses02F_script02_1_M001 :Excited; ()
Ses02F_script02_1_M002 :Excited; ()
Ses02F_script02_1_M003 :Excited; ()
Ses02F_script02_1_M004 :Excited; ()
Ses02F_script02_1_M005 :Excited; ()
Ses02F_script02_1_M006 :Excited; ()
Ses02F_script02_1_M007 :Frustration; ()
Ses02F_script02_1_M008 :Frustration; ()
Ses02F_script02_1_M009 :Frustration; ()
Ses02F_script02_1_M010 :Frustration; ()
Ses02F_script02_1_M011 :Frustration; ()
Ses02F_script02_1_M012 :Excited; ()
Ses02F_script02_1_M013 :Excited; ()
Ses02F_script02_1_M014 :Excited; ()
Ses02F_script02_1_M015 :Excited; :Frustration; ()
Ses02F_script02_1_M016 :Excited; ()
Ses02F_script02_1_M017 :Excited; ()
Ses02F_script02_1_M018 :Frustration; ()
Ses02F_script02_1_M019 :Frustration; ()
Ses02F_script02_1_M020 :Frustration; ()
Ses02F_script02_1_M021 :Excited; ()
Ses02F_script02_1_M022 :Frustration; ()
Ses02F_script02_1_M023 :Frustration; ()
Ses02F_script02_1_M024 :Excited; ()
Ses02F_script02_1_M025 :Excited; ()
Ses02F_script02_1_M026 :Excited; ()
Ses02F_script02_1_M027 :Frustration; ()
Ses02F_script02_1_M028 :Excited; ()
Ses02F_script02_1_M029 :Frustration; ()
Ses02F_script02_1_M030 :Excited; ()
Ses02F_script02_1_M031 :Frustration; ()
Ses02F_script02_1_M032 :Frustration; ()
Ses02F_script02_1_M033 :Frustration; ()
Ses02F_script02_1_M034 :Frustration; ()
Ses02F_script02_1_M035 :Frustration; ()
Ses02F_script02_1_M036 :Frustration; ()
Ses02F_script02_1_M037 :Frustration; ()
Ses02F_script02_1_M038 :Frustration; ()
Ses02F_script02_1_M039 :Excited; ()
Ses02F_script02_1_M040 :Excited; ()
Ses02F_script02_1_M041 :Excited; ()
Ses02F_script02_1_M042 :Excited; ()
Ses02F_script02_1_M043 :Excited; ()
Ses02F_script02_1_M044 :Excited; ()
