Ses02F_impro06_F000 :Sadness; ()
Ses02F_impro06_F001 :Sadness; ()
Ses02F_impro06_F002 :Sadness; ()
Ses02F_impro06_F003 :Sadness; ()
Ses02F_impro06_F004 :Sadness; ()
Ses02F_impro06_F005 :Sadness; ()
Ses02F_impro06_F006 :Sadness; ()
Ses02F_impro06_F007 :Sadness; ()
Ses02F_impro06_F008 :Sadness; ()
Ses02F_impro06_F009 :Sadness; ()
Ses02F_impro06_F010 :Sadness; ()
Ses02F_impro06_F011 :Sadness; ()
Ses02F_impro06_F012 :Sadness; ()
Ses02F_impro06_F013 :Sadness; ()
Ses02F_impro06_F014 :Sadness; ()
Ses02F_impro06_M000 :Neutral state; ()
Ses02F_impro06_M001 :Neutral state; ()
Ses02F_impro06_M002 :Neutral state; ()
Ses02F_impro06_M003 :Neutral state; ()
Ses02F_impro06_M004 :Neutral state; ()
Ses02F_impro06_M005 :Neutral state; ()
Ses02F_impro06_M006 :Neutral state; ()
Ses02F_impro06_M007 :Neutral state; ()
Ses02F_impro06_M008 :Neutral state; ()
Ses02F_impro06_M009 :Neutral state; ()
Ses02F_impro06_M010 :Neutral state; ()
Ses02F_impro06_M011 :Neutral state; ()
Ses02F_impro06_M012 :Neutral state; ()
Ses02F_impro06_M013 :Neutral state; ()
Ses02F_impro06_M014 :Neutral state; ()
Ses02F_impro06_M015 :Neutral state; ()
Ses02F_impro06_M016 :Neutral state; ()
Ses02F_impro06_M017 :Neutral state; ()
Ses02F_impro06_M018 :Neutral state; ()
Ses02F_impro06_M019 :Neutral state; ()
