Ses02F_impro07_F000 :Happiness; ()
Ses02F_impro07_F001 :Excited; ()
Ses02F_impro07_F002 :Excited; ()
Ses02F_impro07_F003 :Excited; ()
Ses02F_impro07_F004 :Excited; ()
Ses02F_impro07_F005 :Excited; ()
Ses02F_impro07_F006 :Excited; ()
Ses02F_impro07_F007 :Excited; ()
Ses02F_impro07_F008 :Excited; ()
Ses02F_impro07_F009 :Excited; ()
Ses02F_impro07_F010 :Excited; ()
Ses02F_impro07_F011 :Excited; ()
Ses02F_impro07_F012 :Excited; ()
Ses02F_impro07_F013 :Excited; ()
Ses02F_impro07_F014 :Happiness; ()
Ses02F_impro07_F015 :Happiness; ()
Ses02F_impro07_F016 :Happiness; ()
Ses02F_impro07_F017 :Happiness; ()
Ses02F_impro07_F018 :Excited; ()
Ses02F_impro07_F019 :Excited; ()
Ses02F_impro07_F020 :Excited; ()
Ses02F_impro07_F021 :Excited; ()
Ses02F_impro07_F022 :Happiness; ()
Ses02F_impro07_F023 :Happiness; ()
Ses02F_impro07_F024 :Happiness; ()
Ses02F_impro07_F025 :Happiness; ()
Ses02F_impro07_F026 :Excited; ()
Ses02F_impro07_F027 :Happiness; ()
Ses02F_impro07_F028 :Happiness; ()
Ses02F_impro07_F029 :Excited; ()
Ses02F_impro07_F030 :Excited; ()
Ses02F_impro07_F031 :Happiness; ()
Ses02F_impro07_F032 :Happiness; ()
Ses02F_impro07_F033 :Excited; ()
Ses02F_impro07_F034 :Happiness; ()
Ses02F_impro07_F035 :Excited; ()
Ses02F_impro07_F036 :Excited; ()
Ses02F_impro07_F037 :Excited; ()
Ses02F_impro07_M000 :Happiness; ()
Ses02F_impro07_M001 :Surprise; ()
Ses02F_impro07_M002 :Surprise; ()
Ses02F_impro07_M003 :Surprise; ()
Ses02F_impro07_M004 :Surprise; ()
Ses02F_impro07_M005 :Excited; ()
Ses02F_impro07_M006 :Excited; ()
Ses02F_impro07_M007 :Excited; ()
Ses02F_impro07_M008 :Excited; ()
Ses02F_impro07_M009 :Happiness; ()
Ses02F_impro07_M010 :Happiness; ()
Ses02F_impro07_M011 :Excited; ()
Ses02F_impro07_M012 :Happiness; ()
Ses02F_impro07_M013 :Happiness; ()
Ses02F_impro07_M014 :Happiness; ()
Ses02F_impro07_M015 :Happiness; ()
Ses02F_impro07_M016 :Neutral state; ()
Ses02F_impro07_M017 :Excited; ()
Ses02F_impro07_M018 :Happiness; ()
Ses02F_impro07_M019 :Happiness; ()
Ses02F_impro07_M020 :Happiness; ()
Ses02F_impro07_M021 :Happiness; ()
Ses02F_impro07_M022 :Happiness; ()
Ses02F_impro07_M023 :Excited; ()
Ses02F_impro07_M024 :Happiness; ()
Ses02F_impro07_M025 :Happiness; ()
Ses02F_impro07_M026 :Happiness; ()
Ses02F_impro07_M027 :Happiness; ()
Ses02F_impro07_M028 :Happiness; ()
Ses02F_impro07_M029 :Excited; ()
Ses02F_impro07_M030 :Happiness; ()
Ses02F_impro07_M031 :Happiness; ()
Ses02F_impro07_M032 :Happiness; ()
Ses02F_impro07_M033 :Happiness; ()
Ses02F_impro07_M034 :Excited; ()
Ses02F_impro07_M035 :Happiness; ()
