Ses02M_script01_3_F000 :Happiness; ()
Ses02M_script01_3_F001 :Happiness; ()
Ses02M_script01_3_F002 :Happiness; ()
Ses02M_script01_3_F003 :Happiness; ()
Ses02M_script01_3_F004 :Sadness; ()
Ses02M_script01_3_F005 :Sadness; ()
Ses02M_script01_3_F006 :Sadness; ()
Ses02M_script01_3_F007 :Happiness; ()
Ses02M_script01_3_F008 :Neutral state; ()
Ses02M_script01_3_F009 :Happiness; ()
Ses02M_script01_3_F010 :Happiness; ()
Ses02M_script01_3_F011 :Sadness; ()
Ses02M_script01_3_F012 :Happiness; ()
Ses02M_script01_3_F013 :Happiness; ()
Ses02M_script01_3_F014 :Happiness; ()
Ses02M_script01_3_F015 :Happiness; ()
Ses02M_script01_3_F016 :Happiness; ()
Ses02M_script01_3_F017 :Happiness; ()
Ses02M_script01_3_F018 :Sadness; ()
Ses02M_script01_3_F019 :Sadness; ()
Ses02M_script01_3_F020 :Sadness; ()
Ses02M_script01_3_F021 :Sadness; ()
Ses02M_script01_3_F022 :Sadness; ()
Ses02M_script01_3_F023 :Sadness; ()
Ses02M_script01_3_F024 :Sadness; ()
Ses02M_script01_3_F025 :Sadness; ()
Ses02M_script01_3_F026 :Sadness; ()
Ses02M_script01_3_F027 :Sadness; ()
Ses02M_script01_3_F028 :Happiness; ()
Ses02M_script01_3_M000 :Happiness; ()
Ses02M_script01_3_M001 :Sadness; ()
Ses02M_script01_3_M002 :Sadness; ()
Ses02M_script01_3_M003 :Sadness; ()
Ses02M_script01_3_M004 :Surprise; ()
Ses02M_script01_3_M005 :Frustration; ()
Ses02M_script01_3_M006 :Surprise; ()
Ses02M_script01_3_M007 :Sadness; ()
Ses02M_script01_3_M008 :Happiness; ()
Ses02M_script01_3_M009 :Happiness; ()
Ses02M_script01_3_M010 :Happiness; ()
Ses02M_script01_3_M011 :Sadness; ()
Ses02M_script01_3_M012 :Sadness; ()
Ses02M_script01_3_M013 :Surprise; ()
Ses02M_script01_3_M014 :Happiness; ()
Ses02M_script01_3_M015 :Happiness; ()
Ses02M_script01_3_M016 :Happiness; ()
Ses02M_script01_3_M017 :Happiness; ()
Ses02M_script01_3_M018 :Happiness; ()
Ses02M_script01_3_M019 :Surprise; ()
Ses02M_script01_3_M020 :Neutral state; ()
Ses02M_script01_3_M021 :Sadness; ()
Ses02M_script01_3_M022 :Sadness; ()
Ses02M_script01_3_M023 :Sadness; ()
Ses02M_script01_3_M024 :Sadness; ()
Ses02M_script01_3_M025 :Sadness; ()
Ses02M_script01_3_M026 :Sadness; ()
Ses02M_script01_3_M027 :Sadness; ()
Ses02M_script01_3_M028 :Sadness; ()
Ses02M_script01_3_M029 :Sadness; ()
Ses02M_script01_3_M030 :Sadness; ()
Ses02M_script01_3_M031 :Sadness; ()
Ses02M_script01_3_M032 :Sadness; ()
Ses02M_script01_3_M033 :Sadness; ()
Ses02M_script01_3_M034 :Sadness; ()
Ses02M_script01_3_M035 :Sadness; ()
Ses02M_script01_3_M036 :Neutral state; ()
Ses02M_script01_3_M037 :Happiness; ()
