Ses02M_impro06_F000 :Fear; ()
Ses02M_impro06_F001 :Sadness; ()
Ses02M_impro06_F002 :Sadness; ()
Ses02M_impro06_F003 :Sadness; ()
Ses02M_impro06_F004 :Sadness; ()
Ses02M_impro06_F005 :Sadness; ()
Ses02M_impro06_F006 :Sadness; ()
Ses02M_impro06_F007 :Sadness; ()
Ses02M_impro06_F008 :Sadness; ()
Ses02M_impro06_F009 :Sadness; ()
Ses02M_impro06_F010 :Sadness; ()
Ses02M_impro06_F011 :Sadness; ()
Ses02M_impro06_F012 :Sadness; ()
Ses02M_impro06_F013 :Sadness; ()
Ses02M_impro06_F014 :Sadness; ()
Ses02M_impro06_F015 :Sadness; ()
Ses02M_impro06_F016 :Sadness; ()
Ses02M_impro06_F017 :Sadness; ()
Ses02M_impro06_F018 :Sadness; ()
Ses02M_impro06_M000 :Sadness; ()
Ses02M_impro06_M001 :Sadness; ()
Ses02M_impro06_M002 :Sadness; ()
Ses02M_impro06_M003 :Sadness; ()
Ses02M_impro06_M004 :Sadness; ()
Ses02M_impro06_M005 :Sadness; ()
Ses02M_impro06_M006 :Sadness; ()
Ses02M_impro06_M007 :Sadness; ()
Ses02M_impro06_M008 :Sadness; ()
Ses02M_impro06_M009 :Sadness; ()
Ses02M_impro06_M010 :Sadness; ()
Ses02M_impro06_M011 :Sadness; ()
Ses02M_impro06_M012 :Sadness; :Anger; ()
Ses02M_impro06_M013 :Anger; ()
Ses02M_impro06_M014 :Sadness; ()
Ses02M_impro06_M015 :Sadness; ()
Ses02M_impro06_M016 :Sadness; ()
Ses02M_impro06_M017 :Sadness; ()
Ses02M_impro06_M018 :Sadness; ()
Ses02M_impro06_M019 :Sadness; ()
Ses02M_impro06_M020 :Sadness; ()
Ses02M_impro06_M021 :Sadness; ()
Ses02M_impro06_M022 :Sadness; ()
Ses02M_impro06_M023 :Sadness; ()
