Ses02F_script01_1_F000 :Sadness; ()
Ses02F_script01_1_F001 :Sadness; ()
Ses02F_script01_1_F002 :Surprise; ()
Ses02F_script01_1_F003 :Sadness; ()
Ses02F_script01_1_F004 :Sadness; ()
Ses02F_script01_1_F005 :Sadness; ()
Ses02F_script01_1_F006 :Sadness; ()
Ses02F_script01_1_F007 :Sadness; ()
Ses02F_script01_1_F008 :Sadness; ()
Ses02F_script01_1_F009 :Sadness; ()
Ses02F_script01_1_F010 :Surprise; ()
Ses02F_script01_1_F011 :Frustration; ()
Ses02F_script01_1_F012 :Anger; ()
Ses02F_script01_1_F013 :Anger; ()
Ses02F_script01_1_F014 :Sadness; ()
Ses02F_script01_1_F015 :Anger; ()
Ses02F_script01_1_F016 :Sadness; ()
Ses02F_script01_1_F017 :Sadness; ()
Ses02F_script01_1_F018 :Neutral state; ()
Ses02F_script01_1_F019 :Anger; ()
Ses02F_script01_1_F020 :Sadness; ()
Ses02F_script01_1_F021 :Neutral state; ()
Ses02F_script01_1_F022 :Anger; ()
Ses02F_script01_1_F023 :Anger; ()
Ses02F_script01_1_F024 :Anger; ()
Ses02F_script01_1_F025 :Neutral state; ()
Ses02F_script01_1_F026 :Neutral state; ()
Ses02F_script01_1_F027 :Neutral state; ()
Ses02F_script01_1_F028 :Sadness; ()
Ses02F_script01_1_F029 :Anger; ()
Ses02F_script01_1_F030 :Anger; ()
Ses02F_script01_1_F031 :Anger; ()
Ses02F_script01_1_F032 :Anger; ()
Ses02F_script01_1_F033 :Anger; ()
Ses02F_script01_1_F034 :Anger; ()
Ses02F_script01_1_F035 :Surprise; ()
Ses02F_script01_1_F036 :Surprise; ()
Ses02F_script01_1_F037 :Anger; ()
Ses02F_script01_1_F038 :Anger; ()
Ses02F_script01_1_F039 :Sadness; ()
Ses02F_script01_1_F040 :Anger; ()
Ses02F_script01_1_F041 :Anger; ()
Ses02F_script01_1_F042 :Sadness; ()
Ses02F_script01_1_F043 :Sadness; ()
Ses02F_script01_1_F044 :Sadness; ()
Ses02F_script01_1_M000 :Sadness; ()
Ses02F_script01_1_M001 :Sadness; ()
Ses02F_script01_1_M002 :Sadness; ()
Ses02F_script01_1_M003 :Sadness; ()
Ses02F_script01_1_M004 :Sadness; ()
Ses02F_script01_1_M005 :Sadness; ()
Ses02F_script01_1_M006 :Sadness; ()
Ses02F_script01_1_M007 :Sadness; ()
Ses02F_script01_1_M008 :Sadness; ()
Ses02F_script01_1_M009 :Sadness; ()
Ses02F_script01_1_M010 :Sadness; ()
Ses02F_script01_1_M011 :Anger; ()
Ses02F_script01_1_M012 :Anger; ()
Ses02F_script01_1_M013 :Anger; ()
Ses02F_script01_1_M014 :Sadness; ()
Ses02F_script01_1_M015 :Sadness; ()
Ses02F_script01_1_M016 :Sadness; ()
Ses02F_script01_1_M017 :Neutral state; ()
Ses02F_script01_1_M018 :Anger; ()
Ses02F_script01_1_M019 :Frustration; ()
Ses02F_script01_1_M020 :Anger; ()
Ses02F_script01_1_M021 :Anger; ()
Ses02F_script01_1_M022 :Frustration; ()
Ses02F_script01_1_M023 :Anger; ()
Ses02F_script01_1_M024 :Frustration; ()
Ses02F_script01_1_M025 :Anger; ()
Ses02F_script01_1_M026 :Sadness; ()
Ses02F_script01_1_M027 :Sadness; ()
Ses02F_script01_1_M028 :Anger; ()
Ses02F_script01_1_M029 :Neutral state; ()
Ses02F_script01_1_M030 :Frustration; ()
Ses02F_script01_1_M031 :Frustration; ()
Ses02F_script01_1_M032 :Frustration; ()
Ses02F_script01_1_M033 :Frustration; ()
Ses02F_script01_1_M034 :Sadness; ()
Ses02F_script01_1_M035 :Sadness; ()
Ses02F_script01_1_M036 :Anger; ()
Ses02F_script01_1_M037 :Anger; ()
Ses02F_script01_1_M038 :Anger; ()
Ses02F_script01_1_M039 :Frustration; ()
Ses02F_script01_1_M040 :Sadness; ()
Ses02F_script01_1_M041 :Sadness; ()
Ses02F_script01_1_M042 :Neutral state; ()
Ses02F_script01_1_M043 :Neutral state; ()
Ses02F_script01_1_M044 :Neutral state; ()
