Ses02M_script01_1_F000 :Neutral state; ()
Ses02M_script01_1_F001 :Surprise; ()
Ses02M_script01_1_F002 :Neutral state; ()
Ses02M_script01_1_F003 :Other; (worried)
Ses02M_script01_1_F004 :Neutral state; ()
Ses02M_script01_1_F005 :Other; (worried)
Ses02M_script01_1_F006 :Other; (worried)
Ses02M_script01_1_F007 :Other; (worried)
Ses02M_script01_1_F008 :Neutral state; ()
Ses02M_script01_1_F009 :Neutral state; ()
Ses02M_script01_1_F010 :Frustration; ()
Ses02M_script01_1_F011 :Frustration; ()
Ses02M_script01_1_F012 :Frustration; ()
Ses02M_script01_1_F013 :Frustration; ()
Ses02M_script01_1_F014 :Frustration; :Anger; ()
Ses02M_script01_1_F015 :Neutral state; ()
Ses02M_script01_1_F016 :Neutral state; ()
Ses02M_script01_1_F017 :Frustration; ()
Ses02M_script01_1_F018 :Neutral state; ()
Ses02M_script01_1_F019 :Neutral state; ()
Ses02M_script01_1_F020 :Neutral state; ()
Ses02M_script01_1_F021 :Neutral state; ()
Ses02M_script01_1_F022 :Frustration; ()
Ses02M_script01_1_F023 :Neutral state; ()
Ses02M_script01_1_F024 :Frustration; ()
Ses02M_script01_1_F025 :Neutral state; ()
Ses02M_script01_1_F026 :Frustration; ()
Ses02M_script01_1_F027 :Frustration; ()
Ses02M_script01_1_F028 :Frustration; ()
Ses02M_script01_1_F029 :Frustration; ()
Ses02M_script01_1_F030 :Frustration; :Other; (worried)
Ses02M_script01_1_F031 :Neutral state; ()
Ses02M_script01_1_F032 :Anger; ()
Ses02M_script01_1_F033 :Anger; ()
Ses02M_script01_1_F034 :Anger; ()
Ses02M_script01_1_F035 :Anger; ()
Ses02M_script01_1_F036 :Anger; ()
Ses02M_script01_1_F037 :Anger; ()
Ses02M_script01_1_F038 :Frustration; :Anger; ()
Ses02M_script01_1_F039 :Frustration; ()
Ses02M_script01_1_F040 :Frustration; ()
Ses02M_script01_1_F041 :Neutral state; ()
Ses02M_script01_1_M000 :Neutral state; ()
Ses02M_script01_1_M001 :Neutral state; ()
Ses02M_script01_1_M002 :Neutral state; ()
Ses02M_script01_1_M003 :Neutral state; ()
Ses02M_script01_1_M004 :Neutral state; ()
Ses02M_script01_1_M005 :Neutral state; ()
Ses02M_script01_1_M006 :Neutral state; ()
Ses02M_script01_1_M007 :Neutral state; ()
Ses02M_script01_1_M008 :Neutral state; ()
Ses02M_script01_1_M009 :Neutral state; ()
Ses02M_script01_1_M010 :Frustration; ()
Ses02M_script01_1_M011 :Frustration; ()
Ses02M_script01_1_M012 :Frustration; ()
Ses02M_script01_1_M013 :Frustration; ()
Ses02M_script01_1_M014 :Neutral state; ()
Ses02M_script01_1_M015 :Frustration; ()
Ses02M_script01_1_M016 :Neutral state; ()
Ses02M_script01_1_M017 :Neutral state; ()
Ses02M_script01_1_M018 :Neutral state; ()
Ses02M_script01_1_M019 :Frustration; ()
Ses02M_script01_1_M020 :Frustration; ()
Ses02M_script01_1_M021 :Frustration; ()
Ses02M_script01_1_M022 :Frustration; :Anger; ()
Ses02M_script01_1_M023 :Frustration; ()
Ses02M_script01_1_M024 :Frustration; ()
Ses02M_script01_1_M025 :Anger; ()
Ses02M_script01_1_M026 :Neutral state; ()
Ses02M_script01_1_M027 :Neutral state; ()
Ses02M_script01_1_M028 :Neutral state; ()
Ses02M_script01_1_M029 :Frustration; ()
Ses02M_script01_1_M030 :Frustration; ()
Ses02M_script01_1_M031 :Frustration; ()
Ses02M_script01_1_M032 :Neutral state; ()
Ses02M_script01_1_M033 :Neutral state; ()
Ses02M_script01_1_M034 :Frustration; :Anger; ()
Ses02M_script01_1_M035 :Frustration; ()
Ses02M_script01_1_M036 :Neutral state; ()
Ses02M_script01_1_M037 :Frustration; :Anger; ()
Ses02M_script01_1_M038 :Frustration; :Anger; ()
Ses02M_script01_1_M039 :Anger; ()
Ses02M_script01_1_M040 :Neutral state; ()
Ses02M_script01_1_M041 :Neutral state; ()
Ses02M_script01_1_M042 :Frustration; ()
Ses02M_script01_1_M043 :Frustration; ()
Ses02M_script01_1_M044 :Frustration; ()
Ses02M_script01_1_M045 :Neutral state; ()
