Ses02M_impro06_F000 :Other; (concern)
Ses02M_impro06_F001 :Surprise; ()
Ses02M_impro06_F002 :Neutral state; ()
Ses02M_impro06_F003 :Sadness; ()
Ses02M_impro06_F004 :Sadness; ()
Ses02M_impro06_F005 :Neutral state; ()
Ses02M_impro06_F006 :Neutral state; ()
Ses02M_impro06_F007 :Neutral state; ()
Ses02M_impro06_F008 :Neutral state; ()
Ses02M_impro06_F009 :Neutral state; ()
Ses02M_impro06_F010 :Neutral state; ()
Ses02M_impro06_F011 :Neutral state; ()
Ses02M_impro06_F012 :Neutral state; ()
Ses02M_impro06_F013 :Other; (concern)
Ses02M_impro06_F014 :Neutral state; ()
Ses02M_impro06_F015 :Neutral state; ()
Ses02M_impro06_F016 :Neutral state; ()
Ses02M_impro06_F017 :Neutral state; ()
Ses02M_impro06_F018 :Neutral state; ()
Ses02M_impro06_M000 :Sadness; ()
Ses02M_impro06_M001 :Sadness; ()
Ses02M_impro06_M002 :Sadness; ()
Ses02M_impro06_M003 :Sadness; ()
Ses02M_impro06_M004 :Sadness; ()
Ses02M_impro06_M005 :Sadness; ()
Ses02M_impro06_M006 :Sadness; ()
Ses02M_impro06_M007 :Sadness; ()
Ses02M_impro06_M008 :Sadness; ()
Ses02M_impro06_M009 :Sadness; ()
Ses02M_impro06_M010 :Sadness; ()
Ses02M_impro06_M011 :Sadness; ()
Ses02M_impro06_M012 :Sadness; ()
Ses02M_impro06_M013 :Sadness; ()
Ses02M_impro06_M014 :Sadness; ()
Ses02M_impro06_M015 :Sadness; ()
Ses02M_impro06_M016 :Sadness; ()
Ses02M_impro06_M017 :Sadness; ()
Ses02M_impro06_M018 :Sadness; ()
Ses02M_impro06_M019 :Sadness; ()
Ses02M_impro06_M020 :Sadness; ()
Ses02M_impro06_M021 :Sadness; ()
Ses02M_impro06_M022 :Sadness; ()
Ses02M_impro06_M023 :Sadness; ()
