Ses02M_script01_1_F000 :Frustration; ()
Ses02M_script01_1_F001 :Frustration; ()
Ses02M_script01_1_F002 :Frustration; ()
Ses02M_script01_1_F003 :Frustration; ()
Ses02M_script01_1_F004 :Frustration; ()
Ses02M_script01_1_F005 :Frustration; ()
Ses02M_script01_1_F006 :Frustration; ()
Ses02M_script01_1_F007 :Frustration; :Fear; ()
Ses02M_script01_1_F008 :Frustration; ()
Ses02M_script01_1_F009 :Frustration; ()
Ses02M_script01_1_F010 :Frustration; ()
Ses02M_script01_1_F011 :Frustration; ()
Ses02M_script01_1_F012 :Frustration; ()
Ses02M_script01_1_F013 :Frustration; ()
Ses02M_script01_1_F014 :Frustration; :Sadness; ()
Ses02M_script01_1_F015 :Neutral state; ()
Ses02M_script01_1_F016 :Anger; ()
Ses02M_script01_1_F017 :Frustration; ()
Ses02M_script01_1_F018 :Neutral state; ()
Ses02M_script01_1_F019 :Frustration; ()
Ses02M_script01_1_F020 :Frustration; ()
Ses02M_script01_1_F021 :Frustration; ()
Ses02M_script01_1_F022 :Frustration; ()
Ses02M_script01_1_F023 :Frustration; ()
Ses02M_script01_1_F024 :Frustration; ()
Ses02M_script01_1_F025 :Frustration; ()
Ses02M_script01_1_F026 :Anger; ()
Ses02M_script01_1_F027 :Anger; ()
Ses02M_script01_1_F028 :Frustration; ()
Ses02M_script01_1_F029 :Frustration; ()
Ses02M_script01_1_F030 :Frustration; ()
Ses02M_script01_1_F031 :Frustration; ()
Ses02M_script01_1_F032 :Anger; ()
Ses02M_script01_1_F033 :Anger; ()
Ses02M_script01_1_F034 :Anger; ()
Ses02M_script01_1_F035 :Anger; ()
Ses02M_script01_1_F036 :Sadness; ()
Ses02M_script01_1_F037 :Frustration; ()
Ses02M_script01_1_F038 :Frustration; :Sadness; ()
Ses02M_script01_1_F039 :Frustration; ()
Ses02M_script01_1_F040 :Frustration; ()
Ses02M_script01_1_F041 :Sadness; ()
Ses02M_script01_1_M000 :Frustration; ()
Ses02M_script01_1_M001 :Frustration; ()
Ses02M_script01_1_M002 :Frustration; ()
Ses02M_script01_1_M003 :Frustration; :Sadness; ()
Ses02M_script01_1_M004 :Sadness; ()
Ses02M_script01_1_M005 :Sadness; ()
Ses02M_script01_1_M006 :Frustration; ()
Ses02M_script01_1_M007 :Frustration; ()
Ses02M_script01_1_M008 :Frustration; ()
Ses02M_script01_1_M009 :Frustration; ()
Ses02M_script01_1_M010 :Frustration; ()
Ses02M_script01_1_M011 :Frustration; ()
Ses02M_script01_1_M012 :Anger; ()
Ses02M_script01_1_M013 :Anger; ()
Ses02M_script01_1_M014 :Frustration; ()
Ses02M_script01_1_M015 :Frustration; ()
Ses02M_script01_1_M016 :Frustration; ()
Ses02M_script01_1_M017 :Neutral state; ()
Ses02M_script01_1_M018 :Neutral state; ()
Ses02M_script01_1_M019 :Frustration; ()
Ses02M_script01_1_M020 :Frustration; ()
Ses02M_script01_1_M021 :Anger; ()
Ses02M_script01_1_M022 :Anger; ()
Ses02M_script01_1_M023 :Frustration; ()
Ses02M_script01_1_M024 :Anger; ()
Ses02M_script01_1_M025 :Anger; ()
Ses02M_script01_1_M026 :Neutral state; ()
Ses02M_script01_1_M027 :Neutral state; ()
Ses02M_script01_1_M028 :Frustration; :Sadness; ()
Ses02M_script01_1_M029 :Frustration; ()
Ses02M_script01_1_M030 :Frustration; ()
Ses02M_script01_1_M031 :Frustration; ()
Ses02M_script01_1_M032 :Frustration; ()
Ses02M_script01_1_M033 :Frustration; ()
Ses02M_script01_1_M034 :Frustration; ()
Ses02M_script01_1_M035 :Sadness; :Anger; ()
Ses02M_script01_1_M036 :Frustration; :Sadness; ()
Ses02M_script01_1_M037 :Anger; ()
Ses02M_script01_1_M038 :Anger; ()
Ses02M_script01_1_M039 :Anger; ()
Ses02M_script01_1_M040 :Anger; ()
Ses02M_script01_1_M041 :Sadness; ()
Ses02M_script01_1_M042 :Frustration; ()
Ses02M_script01_1_M043 :Frustration; ()
Ses02M_script01_1_M044 :Frustration; ()
Ses02M_script01_1_M045 :Frustration; ()
