Ses02M_script03_1_F000 :Excited; ()
Ses02M_script03_1_F001 :Excited; ()
Ses02M_script03_1_F002 :Excited; ()
Ses02M_script03_1_F003 :Excited; ()
Ses02M_script03_1_F004 :Excited; ()
Ses02M_script03_1_F005 :Excited; ()
Ses02M_script03_1_F006 :Excited; ()
Ses02M_script03_1_F007 :Excited; ()
Ses02M_script03_1_F008 :Excited; ()
Ses02M_script03_1_F009 :Excited; ()
Ses02M_script03_1_F010 :Excited; ()
Ses02M_script03_1_F011 :Excited; ()
Ses02M_script03_1_F012 :Excited; ()
Ses02M_script03_1_F013 :Excited; ()
Ses02M_script03_1_F014 :Excited; ()
Ses02M_script03_1_F015 :Fear; ()
Ses02M_script03_1_F016 :Fear; ()
Ses02M_script03_1_F017 :Excited; ()
Ses02M_script03_1_F018 :Excited; ()
Ses02M_script03_1_F019 :Excited; ()
Ses02M_script03_1_F020 :Excited; ()
Ses02M_script03_1_F021 :Excited; ()
Ses02M_script03_1_F022 :Excited; ()
Ses02M_script03_1_F023 :Excited; ()
Ses02M_script03_1_F024 :Excited; ()
Ses02M_script03_1_F025 :Excited; ()
Ses02M_script03_1_F026 :Excited; ()
Ses02M_script03_1_F027 :Excited; ()
Ses02M_script03_1_F028 :Excited; ()
Ses02M_script03_1_F029 :Excited; ()
Ses02M_script03_1_M000 :Fear; ()
Ses02M_script03_1_M001 :Excited; ()
Ses02M_script03_1_M002 :Excited; ()
Ses02M_script03_1_M003 :Excited; ()
Ses02M_script03_1_M004 :Excited; ()
Ses02M_script03_1_M005 :Excited; ()
Ses02M_script03_1_M006 :Excited; ()
Ses02M_script03_1_M007 :Excited; ()
Ses02M_script03_1_M008 :Excited; ()
Ses02M_script03_1_M009 :Excited; ()
Ses02M_script03_1_M010 :Excited; ()
Ses02M_script03_1_M011 :Excited; ()
Ses02M_script03_1_M012 :Excited; ()
Ses02M_script03_1_M013 :Frustration; ()
Ses02M_script03_1_M014 :Excited; ()
Ses02M_script03_1_M015 :Excited; ()
Ses02M_script03_1_M016 :Excited; ()
Ses02M_script03_1_M017 :Excited; ()
Ses02M_script03_1_M018 :Excited; ()
Ses02M_script03_1_M019 :Excited; ()
Ses02M_script03_1_M020 :Excited; ()
Ses02M_script03_1_M021 :Excited; ()
Ses02M_script03_1_M022 :Excited; ()
Ses02M_script03_1_M023 :Excited; ()
Ses02M_script03_1_M024 :Excited; ()
Ses02M_script03_1_M025 :Excited; ()
Ses02M_script03_1_M026 :Excited; ()
Ses02M_script03_1_M027 :Excited; ()
Ses02M_script03_1_M028 :Excited; ()
Ses02M_script03_1_M029 :Excited; ()
Ses02M_script03_1_M030 :Excited; ()
Ses02M_script03_1_M031 :Excited; ()
Ses02M_script03_1_M032 :Excited; ()
Ses02M_script03_1_M033 :Excited; ()
