Ses02M_impro03_F000 :Surprise; ()
Ses02M_impro03_F001 :Surprise; ()
Ses02M_impro03_F002 :Surprise; ()
Ses02M_impro03_F003 :Surprise; ()
Ses02M_impro03_F004 :Surprise; ()
Ses02M_impro03_F005 :Excited; ()
Ses02M_impro03_F006 :Surprise; ()
Ses02M_impro03_F007 :Surprise; ()
Ses02M_impro03_F008 :Excited; ()
Ses02M_impro03_F009 :Happiness; ()
Ses02M_impro03_F010 :Happiness; ()
Ses02M_impro03_F011 :Surprise; ()
Ses02M_impro03_F012 :Excited; ()
Ses02M_impro03_F013 :Excited; ()
Ses02M_impro03_F014 :Surprise; ()
Ses02M_impro03_F015 :Happiness; ()
Ses02M_impro03_F016 :Happiness; ()
Ses02M_impro03_F017 :Excited; ()
Ses02M_impro03_F018 :Happiness; ()
Ses02M_impro03_F019 :Happiness; ()
Ses02M_impro03_F020 :Happiness; ()
Ses02M_impro03_F021 :Happiness; ()
Ses02M_impro03_F022 :Happiness; ()
Ses02M_impro03_F023 :Surprise; ()
Ses02M_impro03_F024 :Surprise; ()
Ses02M_impro03_F025 :Happiness; ()
Ses02M_impro03_F026 :Happiness; ()
Ses02M_impro03_F027 :Happiness; ()
Ses02M_impro03_F028 :Excited; ()
Ses02M_impro03_M000 :Excited; ()
Ses02M_impro03_M001 :Excited; ()
Ses02M_impro03_M002 :Happiness; ()
Ses02M_impro03_M003 :Happiness; ()
Ses02M_impro03_M004 :Happiness; ()
Ses02M_impro03_M005 :Excited; ()
Ses02M_impro03_M006 :Happiness; ()
Ses02M_impro03_M007 :Happiness; ()
Ses02M_impro03_M008 :Happiness; ()
Ses02M_impro03_M009 :Happiness; ()
Ses02M_impro03_M010 :Happiness; ()
Ses02M_impro03_M011 :Happiness; ()
Ses02M_impro03_M012 :Happiness; ()
Ses02M_impro03_M013 :Happiness; ()
Ses02M_impro03_M014 :Happiness; ()
Ses02M_impro03_M015 :Happiness; ()
Ses02M_impro03_M016 :Happiness; ()
Ses02M_impro03_M017 :Happiness; ()
Ses02M_impro03_M018 :Happiness; ()
Ses02M_impro03_M019 :Happiness; ()
Ses02M_impro03_M020 :Happiness; ()
Ses02M_impro03_M021 :Happiness; ()
Ses02M_impro03_M022 :Happiness; ()
Ses02M_impro03_M023 :Happiness; ()
Ses02M_impro03_M024 :Excited; ()
Ses02M_impro03_M025 :Happiness; ()
Ses02M_impro03_M026 :Excited; ()
Ses02M_impro03_M027 :Happiness; ()
Ses02M_impro03_M028 :Happiness; ()
Ses02M_impro03_M029 :Happiness; ()
Ses02M_impro03_M030 :Excited; ()
Ses02M_impro03_M031 :Happiness; ()
