Ses02F_impro08_F000 :Neutral state; ()
Ses02F_impro08_F001 :Neutral state; ()
Ses02F_impro08_F002 :Neutral state; ()
Ses02F_impro08_F003 :Neutral state; ()
Ses02F_impro08_F004 :Neutral state; ()
Ses02F_impro08_F005 :Neutral state; ()
Ses02F_impro08_F006 :Neutral state; ()
Ses02F_impro08_F007 :Neutral state; ()
Ses02F_impro08_F008 :Neutral state; ()
Ses02F_impro08_F009 :Neutral state; ()
Ses02F_impro08_F010 :Neutral state; ()
Ses02F_impro08_F011 :Neutral state; ()
Ses02F_impro08_F012 :Neutral state; ()
Ses02F_impro08_F013 :Neutral state; ()
Ses02F_impro08_F014 :Neutral state; ()
Ses02F_impro08_F015 :Neutral state; ()
Ses02F_impro08_F016 :Neutral state; ()
Ses02F_impro08_F017 :Neutral state; ()
Ses02F_impro08_F018 :Neutral state; ()
Ses02F_impro08_F019 :Neutral state; ()
Ses02F_impro08_F020 :Neutral state; ()
Ses02F_impro08_F021 :Neutral state; ()
Ses02F_impro08_F022 :Neutral state; ()
Ses02F_impro08_F023 :Neutral state; ()
Ses02F_impro08_F024 :Neutral state; ()
Ses02F_impro08_F025 :Neutral state; ()
Ses02F_impro08_F026 :Neutral state; ()
Ses02F_impro08_F027 :Neutral state; ()
Ses02F_impro08_M000 :Frustration; ()
Ses02F_impro08_M001 :Frustration; ()
Ses02F_impro08_M002 :Frustration; ()
Ses02F_impro08_M003 :Neutral state; ()
Ses02F_impro08_M004 :Neutral state; ()
Ses02F_impro08_M005 :Neutral state; ()
Ses02F_impro08_M006 :Neutral state; ()
Ses02F_impro08_M007 :Neutral state; ()
Ses02F_impro08_M008 :Neutral state; ()
Ses02F_impro08_M009 :Neutral state; ()
Ses02F_impro08_M010 :Neutral state; ()
Ses02F_impro08_M011 :Neutral state; ()
Ses02F_impro08_M012 :Neutral state; ()
Ses02F_impro08_M013 :Neutral state; ()
Ses02F_impro08_M014 :Neutral state; ()
Ses02F_impro08_M015 :Neutral state; ()
Ses02F_impro08_M016 :Neutral state; ()
Ses02F_impro08_M017 :Neutral state; ()
Ses02F_impro08_M018 :Neutral state; ()
Ses02F_impro08_M019 :Neutral state; ()
