Ses02M_impro08_F000 :Excited; ()
Ses02M_impro08_F001 :Excited; ()
Ses02M_impro08_F002 :Excited; ()
Ses02M_impro08_F003 :Excited; ()
Ses02M_impro08_F004 :Excited; ()
Ses02M_impro08_F005 :Frustration; ()
Ses02M_impro08_F006 :Frustration; ()
Ses02M_impro08_F007 :Frustration; ()
Ses02M_impro08_F008 :Frustration; ()
Ses02M_impro08_F009 :Frustration; ()
Ses02M_impro08_F010 :Frustration; ()
Ses02M_impro08_F011 :Frustration; ()
Ses02M_impro08_F012 :Frustration; ()
Ses02M_impro08_F013 :Excited; ()
Ses02M_impro08_F014 :Frustration; ()
Ses02M_impro08_F015 :Frustration; ()
Ses02M_impro08_F016 :Frustration; ()
Ses02M_impro08_F017 :Frustration; ()
Ses02M_impro08_F018 :Frustration; ()
Ses02M_impro08_F019 :Frustration; ()
Ses02M_impro08_F020 :Surprise; ()
Ses02M_impro08_F021 :Excited; ()
Ses02M_impro08_F022 :Happiness; ()
Ses02M_impro08_F023 :Happiness; ()
Ses02M_impro08_F024 :Happiness; ()
Ses02M_impro08_F025 :Happiness; ()
Ses02M_impro08_F026 :Happiness; ()
Ses02M_impro08_F027 :Happiness; ()
Ses02M_impro08_F028 :Happiness; ()
Ses02M_impro08_F029 :Happiness; ()
Ses02M_impro08_F030 :Happiness; ()
Ses02M_impro08_M000 :Frustration; ()
Ses02M_impro08_M001 :Frustration; ()
Ses02M_impro08_M002 :Frustration; ()
Ses02M_impro08_M003 :Neutral state; ()
Ses02M_impro08_M004 :Neutral state; ()
Ses02M_impro08_M005 :Neutral state; ()
Ses02M_impro08_M006 :Frustration; ()
Ses02M_impro08_M007 :Neutral state; ()
Ses02M_impro08_M008 :Neutral state; ()
Ses02M_impro08_M009 :Neutral state; ()
Ses02M_impro08_M010 :Frustration; ()
Ses02M_impro08_M011 :Neutral state; ()
Ses02M_impro08_M012 :Neutral state; ()
Ses02M_impro08_M013 :Neutral state; ()
Ses02M_impro08_M014 :Neutral state; ()
Ses02M_impro08_M015 :Neutral state; ()
Ses02M_impro08_M016 :Neutral state; ()
Ses02M_impro08_M017 :Neutral state; ()
Ses02M_impro08_M018 :Neutral state; ()
Ses02M_impro08_M019 :Excited; ()
Ses02M_impro08_M020 :Neutral state; ()
Ses02M_impro08_M021 :Neutral state; ()
Ses02M_impro08_M022 :Neutral state; ()
Ses02M_impro08_M023 :Neutral state; ()
Ses02M_impro08_M024 :Neutral state; ()
Ses02M_impro08_M025 :Neutral state; ()
Ses02M_impro08_M026 :Neutral state; ()
Ses02M_impro08_M027 :Neutral state; ()
Ses02M_impro08_M028 :Neutral state; ()
Ses02M_impro08_M029 :Neutral state; ()
Ses02M_impro08_M030 :Neutral state; ()
Ses02M_impro08_M031 :Neutral state; ()
