Ses02F_impro03_F000 :Excited; ()
Ses02F_impro03_F001 :Excited; ()
Ses02F_impro03_F002 :Excited; ()
Ses02F_impro03_F003 :Excited; ()
Ses02F_impro03_F004 :Excited; ()
Ses02F_impro03_F005 :Excited; :Surprise; ()
Ses02F_impro03_F006 :Excited; :Surprise; ()
Ses02F_impro03_F007 :Excited; ()
Ses02F_impro03_F008 :Excited; ()
Ses02F_impro03_F009 :Excited; ()
Ses02F_impro03_F010 :Excited; ()
Ses02F_impro03_F011 :Excited; ()
Ses02F_impro03_F012 :Excited; ()
Ses02F_impro03_F013 :Excited; ()
Ses02F_impro03_F014 :Excited; ()
Ses02F_impro03_F015 :Excited; ()
Ses02F_impro03_F016 :Excited; ()
Ses02F_impro03_F017 :Excited; ()
Ses02F_impro03_F018 :Excited; ()
Ses02F_impro03_F019 :Excited; ()
Ses02F_impro03_F020 :Excited; ()
Ses02F_impro03_F021 :Excited; ()
Ses02F_impro03_F022 :Excited; ()
Ses02F_impro03_F023 :Excited; ()
Ses02F_impro03_F024 :Excited; ()
Ses02F_impro03_F025 :Excited; ()
Ses02F_impro03_F026 :Excited; ()
Ses02F_impro03_F027 :Excited; ()
Ses02F_impro03_F028 :Happiness; ()
Ses02F_impro03_F029 :Happiness; ()
Ses02F_impro03_F030 :Happiness; ()
Ses02F_impro03_M000 :Happiness; ()
Ses02F_impro03_M001 :Happiness; ()
Ses02F_impro03_M002 :Happiness; ()
Ses02F_impro03_M003 :Happiness; ()
Ses02F_impro03_M004 :Happiness; ()
Ses02F_impro03_M005 :Happiness; ()
Ses02F_impro03_M006 :Happiness; ()
Ses02F_impro03_M007 :Happiness; ()
Ses02F_impro03_M008 :Happiness; ()
Ses02F_impro03_M009 :Happiness; ()
Ses02F_impro03_M010 :Happiness; ()
Ses02F_impro03_M011 :Happiness; ()
Ses02F_impro03_M012 :Happiness; ()
Ses02F_impro03_M013 :Happiness; ()
Ses02F_impro03_M014 :Happiness; ()
Ses02F_impro03_M015 :Happiness; ()
Ses02F_impro03_M016 :Happiness; ()
Ses02F_impro03_M017 :Happiness; ()
Ses02F_impro03_M018 :Happiness; ()
Ses02F_impro03_M019 :Happiness; ()
Ses02F_impro03_M020 :Other; (melancolia)
Ses02F_impro03_M021 :Happiness; ()
Ses02F_impro03_M022 :Happiness; ()
Ses02F_impro03_M023 :Happiness; ()
Ses02F_impro03_M024 :Excited; ()
Ses02F_impro03_M025 :Happiness; ()
Ses02F_impro03_M026 :Happiness; ()
