Ses05M_impro03_F000 :Neutral state; ()
Ses05M_impro03_F001 :Surprise; ()
Ses05M_impro03_F002 :Surprise; ()
Ses05M_impro03_F003 :Happiness; ()
Ses05M_impro03_F004 :Excited; ()
Ses05M_impro03_F005 :Happiness; ()
Ses05M_impro03_F006 :Neutral state; ()
Ses05M_impro03_F007 :Surprise; ()
Ses05M_impro03_F008 :Happiness; ()
Ses05M_impro03_F009 :Happiness; ()
Ses05M_impro03_F010 :Happiness; ()
Ses05M_impro03_F011 :Happiness; ()
Ses05M_impro03_F012 :Happiness; ()
Ses05M_impro03_F013 :Happiness; ()
Ses05M_impro03_F014 :Excited; ()
Ses05M_impro03_F015 :Excited; ()
Ses05M_impro03_F016 :Happiness; ()
Ses05M_impro03_F017 :Happiness; ()
Ses05M_impro03_F018 :Excited; ()
Ses05M_impro03_F019 :Excited; ()
Ses05M_impro03_F020 :Happiness; ()
Ses05M_impro03_F021 :Happiness; ()
Ses05M_impro03_F022 :Happiness; ()
Ses05M_impro03_F023 :Surprise; ()
Ses05M_impro03_F024 :Surprise; ()
Ses05M_impro03_F025 :Surprise; ()
Ses05M_impro03_F026 :Neutral state; ()
Ses05M_impro03_F027 :Neutral state; ()
Ses05M_impro03_F028 :Surprise; ()
Ses05M_impro03_F029 :Surprise; ()
Ses05M_impro03_F030 :Neutral state; ()
Ses05M_impro03_F031 :Happiness; ()
Ses05M_impro03_M000 :Excited; ()
Ses05M_impro03_M001 :Excited; ()
Ses05M_impro03_M002 :Excited; ()
Ses05M_impro03_M003 :Excited; ()
Ses05M_impro03_M004 :Happiness; ()
Ses05M_impro03_M005 :Happiness; ()
Ses05M_impro03_M006 :Happiness; ()
Ses05M_impro03_M007 :Happiness; ()
Ses05M_impro03_M008 :Happiness; ()
Ses05M_impro03_M009 :Happiness; ()
Ses05M_impro03_M010 :Happiness; ()
Ses05M_impro03_M011 :Happiness; ()
Ses05M_impro03_M012 :Happiness; ()
Ses05M_impro03_M013 :Happiness; ()
Ses05M_impro03_M014 :Happiness; ()
Ses05M_impro03_M015 :Happiness; ()
Ses05M_impro03_M016 :Happiness; ()
Ses05M_impro03_M017 :Excited; ()
Ses05M_impro03_M018 :Happiness; ()
Ses05M_impro03_M019 :Neutral state; ()
Ses05M_impro03_M020 :Excited; ()
Ses05M_impro03_M021 :Excited; ()
Ses05M_impro03_M022 :Excited; ()
Ses05M_impro03_M023 :Happiness; ()
Ses05M_impro03_M024 :Happiness; ()
Ses05M_impro03_M025 :Happiness; ()
Ses05M_impro03_M026 :Happiness; ()
Ses05M_impro03_M027 :Happiness; ()
Ses05M_impro03_M028 :Excited; ()
Ses05M_impro03_M029 :Excited; ()
Ses05M_impro03_M030 :Happiness; ()
Ses05M_impro03_M031 :Excited; ()
Ses05M_impro03_M032 :Excited; ()
Ses05M_impro03_M033 :Happiness; ()
