Ses05F_script02_2_F000 :Sadness; ()
Ses05F_script02_2_F001 :Sadness; ()
Ses05F_script02_2_F002 :Frustration; ()
Ses05F_script02_2_F003 :Frustration; ()
Ses05F_script02_2_F004 :Frustration; ()
Ses05F_script02_2_F005 :Frustration; ()
Ses05F_script02_2_F006 :Frustration; ()
Ses05F_script02_2_F007 :Frustration; ()
Ses05F_script02_2_F008 :Frustration; ()
Ses05F_script02_2_F009 :Frustration; ()
Ses05F_script02_2_F010 :Frustration; ()
Ses05F_script02_2_F011 :Frustration; ()
Ses05F_script02_2_F012 :Frustration; ()
Ses05F_script02_2_F013 :Sadness; ()
Ses05F_script02_2_F014 :Sadness; ()
Ses05F_script02_2_F015 :Happiness; ()
Ses05F_script02_2_F016 :Sadness; ()
Ses05F_script02_2_F017 :Sadness; ()
Ses05F_script02_2_F018 :Sadness; ()
Ses05F_script02_2_F019 :Sadness; ()
Ses05F_script02_2_F020 :Frustration; ()
Ses05F_script02_2_F021 :Frustration; ()
Ses05F_script02_2_F022 :Frustration; ()
Ses05F_script02_2_F023 :Frustration; ()
Ses05F_script02_2_F024 :Frustration; ()
Ses05F_script02_2_F025 :Sadness; ()
Ses05F_script02_2_F026 :Sadness; ()
Ses05F_script02_2_F027 :Sadness; ()
Ses05F_script02_2_F028 :Sadness; ()
Ses05F_script02_2_F029 :Sadness; ()
Ses05F_script02_2_F030 :Sadness; ()
Ses05F_script02_2_F031 :Frustration; ()
Ses05F_script02_2_F032 :Frustration; :Excited; ()
Ses05F_script02_2_F033 :Happiness; ()
Ses05F_script02_2_F034 :Happiness; ()
Ses05F_script02_2_F035 :Excited; ()
Ses05F_script02_2_F036 :Excited; ()
Ses05F_script02_2_F037 :Excited; ()
Ses05F_script02_2_F038 :Excited; ()
Ses05F_script02_2_M000 :Excited; ()
Ses05F_script02_2_M001 :Frustration; ()
Ses05F_script02_2_M002 :Frustration; ()
Ses05F_script02_2_M003 :Frustration; ()
Ses05F_script02_2_M004 :Frustration; ()
Ses05F_script02_2_M005 :Frustration; ()
Ses05F_script02_2_M006 :Frustration; ()
Ses05F_script02_2_M007 :Frustration; ()
Ses05F_script02_2_M008 :Frustration; ()
Ses05F_script02_2_M009 :Frustration; ()
Ses05F_script02_2_M010 :Frustration; ()
Ses05F_script02_2_M011 :Frustration; ()
Ses05F_script02_2_M012 :Frustration; ()
Ses05F_script02_2_M013 :Frustration; ()
Ses05F_script02_2_M014 :Frustration; ()
Ses05F_script02_2_M015 :Frustration; ()
Ses05F_script02_2_M016 :Frustration; ()
Ses05F_script02_2_M017 :Frustration; ()
Ses05F_script02_2_M018 :Excited; ()
Ses05F_script02_2_M019 :Excited; ()
Ses05F_script02_2_M020 :Excited; ()
Ses05F_script02_2_M021 :Excited; ()
Ses05F_script02_2_M022 :Frustration; ()
Ses05F_script02_2_M023 :Frustration; ()
Ses05F_script02_2_M024 :Frustration; ()
Ses05F_script02_2_M025 :Frustration; ()
Ses05F_script02_2_M026 :Anger; ()
Ses05F_script02_2_M027 :Frustration; ()
Ses05F_script02_2_M028 :Frustration; ()
Ses05F_script02_2_M029 :Frustration; ()
Ses05F_script02_2_M030 :Frustration; ()
Ses05F_script02_2_M031 :Sadness; ()
Ses05F_script02_2_M032 :Sadness; ()
Ses05F_script02_2_M033 :Sadness; ()
Ses05F_script02_2_M034 :Frustration; ()
Ses05F_script02_2_M035 :Happiness; ()
Ses05F_script02_2_M036 :Happiness; ()
Ses05F_script02_2_M037 :Happiness; ()
Ses05F_script02_2_M038 :Excited; ()
Ses05F_script02_2_M039 :Excited; ()
Ses05F_script02_2_M040 :Happiness; ()
Ses05F_script02_2_M041 :Happiness; ()
