Ses05F_impro03_F000 :Excited; ()
Ses05F_impro03_F001 :Excited; ()
Ses05F_impro03_F002 :Excited; ()
Ses05F_impro03_F003 :Excited; ()
Ses05F_impro03_F004 :Excited; ()
Ses05F_impro03_F005 :Excited; ()
Ses05F_impro03_F006 :Excited; ()
Ses05F_impro03_F007 :Excited; ()
Ses05F_impro03_F008 :Excited; ()
Ses05F_impro03_F009 :Excited; ()
Ses05F_impro03_F010 :Excited; ()
Ses05F_impro03_F011 :Excited; ()
Ses05F_impro03_F012 :Excited; ()
Ses05F_impro03_F013 :Excited; ()
Ses05F_impro03_F014 :Excited; ()
Ses05F_impro03_F015 :Excited; ()
Ses05F_impro03_F016 :Excited; ()
Ses05F_impro03_F017 :Excited; ()
Ses05F_impro03_F018 :Excited; ()
Ses05F_impro03_F019 :Excited; ()
Ses05F_impro03_F020 :Excited; ()
Ses05F_impro03_F021 :Excited; ()
Ses05F_impro03_F022 :Excited; ()
Ses05F_impro03_F023 :Excited; ()
Ses05F_impro03_F024 :Excited; ()
Ses05F_impro03_F025 :Excited; ()
Ses05F_impro03_F026 :Excited; ()
Ses05F_impro03_F027 :Excited; ()
Ses05F_impro03_F028 :Excited; ()
Ses05F_impro03_F029 :Excited; ()
Ses05F_impro03_F030 :Excited; ()
Ses05F_impro03_F031 :Happiness; ()
Ses05F_impro03_F032 :Happiness; ()
Ses05F_impro03_F033 :Happiness; ()
Ses05F_impro03_F034 :Happiness; ()
Ses05F_impro03_F035 :Excited; ()
Ses05F_impro03_F036 :Excited; ()
Ses05F_impro03_F037 :Excited; ()
Ses05F_impro03_F038 :Excited; ()
Ses05F_impro03_F039 :Excited; ()
Ses05F_impro03_F040 :Excited; ()
Ses05F_impro03_F041 :Excited; ()
Ses05F_impro03_F042 :Excited; ()
Ses05F_impro03_F043 :Excited; ()
Ses05F_impro03_F044 :Excited; ()
Ses05F_impro03_F045 :Excited; ()
Ses05F_impro03_F046 :Happiness; ()
Ses05F_impro03_F047 :Happiness; ()
Ses05F_impro03_F048 :Happiness; ()
Ses05F_impro03_F049 :Happiness; ()
Ses05F_impro03_F050 :Excited; ()
Ses05F_impro03_F051 :Excited; ()
Ses05F_impro03_F052 :Excited; ()
Ses05F_impro03_F053 :Happiness; ()
Ses05F_impro03_F054 :Happiness; ()
Ses05F_impro03_F055 :Happiness; ()
Ses05F_impro03_F056 :Happiness; ()
Ses05F_impro03_F057 :Happiness; ()
Ses05F_impro03_F058 :Happiness; ()
Ses05F_impro03_F059 :Happiness; ()
Ses05F_impro03_F060 :Happiness; ()
Ses05F_impro03_M000 :Excited; ()
Ses05F_impro03_M001 :Excited; ()
Ses05F_impro03_M002 :Surprise; ()
Ses05F_impro03_M003 :Excited; ()
Ses05F_impro03_M004 :Excited; ()
Ses05F_impro03_M005 :Excited; ()
Ses05F_impro03_M006 :Excited; ()
Ses05F_impro03_M007 :Excited; ()
Ses05F_impro03_M008 :Excited; ()
Ses05F_impro03_M009 :Excited; ()
Ses05F_impro03_M010 :Excited; ()
Ses05F_impro03_M011 :Excited; ()
Ses05F_impro03_M012 :Excited; ()
Ses05F_impro03_M013 :Excited; ()
Ses05F_impro03_M014 :Excited; ()
Ses05F_impro03_M015 :Excited; ()
Ses05F_impro03_M016 :Excited; ()
Ses05F_impro03_M017 :Excited; ()
Ses05F_impro03_M018 :Excited; ()
Ses05F_impro03_M019 :Excited; ()
Ses05F_impro03_M020 :Excited; ()
Ses05F_impro03_M021 :Excited; ()
Ses05F_impro03_M022 :Excited; ()
Ses05F_impro03_M023 :Excited; ()
Ses05F_impro03_M024 :Excited; ()
Ses05F_impro03_M025 :Excited; ()
Ses05F_impro03_M026 :Excited; ()
Ses05F_impro03_M027 :Excited; ()
Ses05F_impro03_M028 :Excited; ()
Ses05F_impro03_M029 :Excited; ()
Ses05F_impro03_M030 :Happiness; ()
Ses05F_impro03_M031 :Excited; ()
Ses05F_impro03_M032 :Excited; ()
Ses05F_impro03_M033 :Excited; ()
Ses05F_impro03_M034 :Excited; :Happiness; ()
Ses05F_impro03_M035 :Excited; ()
Ses05F_impro03_M036 :Excited; ()
Ses05F_impro03_M037 :Excited; ()
Ses05F_impro03_M038 :Excited; ()
Ses05F_impro03_M039 :Excited; ()
Ses05F_impro03_M040 :Excited; ()
Ses05F_impro03_M041 :Excited; ()
Ses05F_impro03_M042 :Excited; ()
Ses05F_impro03_M043 :Excited; ()
Ses05F_impro03_M044 :Excited; ()
Ses05F_impro03_M045 :Excited; ()
Ses05F_impro03_M046 :Excited; ()
Ses05F_impro03_M047 :Excited; ()
Ses05F_impro03_M048 :Excited; ()
Ses05F_impro03_M049 :Happiness; ()
Ses05F_impro03_M050 :Excited; ()
Ses05F_impro03_M051 :Excited; ()
Ses05F_impro03_M052 :Excited; ()
Ses05F_impro03_M053 :Excited; ()
Ses05F_impro03_M054 :Excited; ()
Ses05F_impro03_M055 :Excited; ()
Ses05F_impro03_M056 :Excited; ()
Ses05F_impro03_M057 :Happiness; ()
Ses05F_impro03_M058 :Happiness; ()
Ses05F_impro03_M059 :Happiness; ()
Ses05F_impro03_M060 :Happiness; ()
Ses05F_impro03_M061 :Happiness; ()
Ses05F_impro03_M062 :Happiness; ()
Ses05F_impro03_M063 :Happiness; ()
Ses05F_impro03_M064 :Happiness; ()
Ses05F_impro03_M065 :Happiness; ()
Ses05F_impro03_M066 :Happiness; ()
Ses05F_impro03_M067 :Happiness; ()
Ses05F_impro03_M068 :Happiness; ()
