Ses05F_impro02_F000 :Neutral state; ()
Ses05F_impro02_F001 :Neutral state; ()
Ses05F_impro02_F002 :Sadness; ()
Ses05F_impro02_F003 :Neutral state; ()
Ses05F_impro02_F004 :Sadness; ()
Ses05F_impro02_F005 :Sadness; ()
Ses05F_impro02_F006 :Sadness; ()
Ses05F_impro02_F007 :Neutral state; ()
Ses05F_impro02_F008 :Sadness; ()
Ses05F_impro02_F009 :Sadness; ()
Ses05F_impro02_F010 :Sadness; ()
Ses05F_impro02_F011 :Sadness; ()
Ses05F_impro02_F012 :Sadness; ()
Ses05F_impro02_F013 :Sadness; ()
Ses05F_impro02_F014 :Sadness; ()
Ses05F_impro02_F015 :Sadness; ()
Ses05F_impro02_F016 :Neutral state; ()
Ses05F_impro02_F017 :Neutral state; ()
Ses05F_impro02_F018 :Frustration; ()
Ses05F_impro02_F019 :Neutral state; ()
Ses05F_impro02_F020 :Sadness; ()
Ses05F_impro02_F021 :Sadness; ()
Ses05F_impro02_F022 :Frustration; ()
Ses05F_impro02_F023 :Sadness; ()
Ses05F_impro02_F024 :Sadness; ()
Ses05F_impro02_F025 :Frustration; ()
Ses05F_impro02_F026 :Frustration; ()
Ses05F_impro02_F027 :Sadness; ()
Ses05F_impro02_F028 :Sadness; ()
Ses05F_impro02_F029 :Sadness; ()
Ses05F_impro02_F030 :Neutral state; ()
Ses05F_impro02_F031 :Sadness; ()
Ses05F_impro02_F032 :Sadness; ()
Ses05F_impro02_F033 :Neutral state; ()
Ses05F_impro02_F034 :Sadness; ()
Ses05F_impro02_F035 :Sadness; ()
Ses05F_impro02_F036 :Sadness; ()
Ses05F_impro02_F037 :Sadness; ()
Ses05F_impro02_F038 :Sadness; ()
Ses05F_impro02_M000 :Neutral state; ()
Ses05F_impro02_M001 :Neutral state; ()
Ses05F_impro02_M002 :Surprise; ()
Ses05F_impro02_M003 :Surprise; ()
Ses05F_impro02_M004 :Surprise; ()
Ses05F_impro02_M005 :Surprise; ()
Ses05F_impro02_M006 :Surprise; ()
Ses05F_impro02_M007 :Surprise; ()
Ses05F_impro02_M008 :Sadness; ()
Ses05F_impro02_M009 :Surprise; ()
Ses05F_impro02_M010 :Anger; ()
Ses05F_impro02_M011 :Surprise; ()
Ses05F_impro02_M012 :Surprise; ()
Ses05F_impro02_M013 :Sadness; ()
Ses05F_impro02_M014 :Anger; ()
Ses05F_impro02_M015 :Anger; ()
Ses05F_impro02_M016 :Excited; ()
Ses05F_impro02_M017 :Anger; ()
Ses05F_impro02_M018 :Surprise; :Anger; ()
Ses05F_impro02_M019 :Surprise; ()
Ses05F_impro02_M020 :Anger; ()
Ses05F_impro02_M021 :Anger; ()
Ses05F_impro02_M022 :Sadness; ()
Ses05F_impro02_M023 :Sadness; ()
Ses05F_impro02_M024 :Sadness; ()
Ses05F_impro02_M025 :Sadness; ()
Ses05F_impro02_M026 :Sadness; ()
Ses05F_impro02_M027 :Anger; ()
Ses05F_impro02_M028 :Sadness; ()
Ses05F_impro02_M029 :Sadness; ()
Ses05F_impro02_M030 :Anger; ()
Ses05F_impro02_M031 :Sadness; ()
Ses05F_impro02_M032 :Sadness; ()
Ses05F_impro02_M033 :Sadness; ()
Ses05F_impro02_M034 :Sadness; ()
Ses05F_impro02_M035 :Sadness; ()
Ses05F_impro02_M036 :Sadness; ()
Ses05F_impro02_M037 :Sadness; ()
Ses05F_impro02_M038 :Sadness; ()
Ses05F_impro02_M039 :Surprise; ()
Ses05F_impro02_M040 :Sadness; ()
Ses05F_impro02_M041 :Sadness; ()
