Ses05F_script01_1_F000 :Sadness; ()
Ses05F_script01_1_F001 :Neutral state; ()
Ses05F_script01_1_F002 :Surprise; ()
Ses05F_script01_1_F003 :Surprise; ()
Ses05F_script01_1_F004 :Sadness; ()
Ses05F_script01_1_F005 :Sadness; ()
Ses05F_script01_1_F006 :Sadness; ()
Ses05F_script01_1_F007 :Sadness; ()
Ses05F_script01_1_F008 :Sadness; ()
Ses05F_script01_1_F009 :Surprise; ()
Ses05F_script01_1_F010 :Surprise; ()
Ses05F_script01_1_F011 :Anger; ()
Ses05F_script01_1_F012 :Surprise; ()
Ses05F_script01_1_F013 :Anger; ()
Ses05F_script01_1_F014 :Anger; ()
Ses05F_script01_1_F015 :Anger; ()
Ses05F_script01_1_F016 :Sadness; ()
Ses05F_script01_1_F017 :Neutral state; ()
Ses05F_script01_1_F018 :Anger; ()
Ses05F_script01_1_F019 :Anger; ()
Ses05F_script01_1_F020 :Sadness; ()
Ses05F_script01_1_F021 :Anger; ()
Ses05F_script01_1_F022 :Anger; ()
Ses05F_script01_1_F023 :Sadness; :Anger; ()
Ses05F_script01_1_F024 :Neutral state; ()
Ses05F_script01_1_F025 :Neutral state; ()
Ses05F_script01_1_F026 :Neutral state; ()
Ses05F_script01_1_F027 :Neutral state; ()
Ses05F_script01_1_F028 :Neutral state; ()
Ses05F_script01_1_F029 :Anger; ()
Ses05F_script01_1_F030 :Sadness; ()
Ses05F_script01_1_F031 :Sadness; ()
Ses05F_script01_1_F032 :Sadness; ()
Ses05F_script01_1_F033 :Surprise; :Anger; ()
Ses05F_script01_1_F034 :Surprise; :Anger; ()
Ses05F_script01_1_F035 :Surprise; ()
Ses05F_script01_1_F036 :Anger; ()
Ses05F_script01_1_F037 :Sadness; ()
Ses05F_script01_1_F038 :Anger; ()
Ses05F_script01_1_F039 :Anger; ()
Ses05F_script01_1_F040 :Sadness; ()
Ses05F_script01_1_F041 :Anger; ()
Ses05F_script01_1_M000 :Sadness; ()
Ses05F_script01_1_M001 :Sadness; ()
Ses05F_script01_1_M002 :Sadness; ()
Ses05F_script01_1_M003 :Sadness; ()
Ses05F_script01_1_M004 :Sadness; ()
Ses05F_script01_1_M005 :Sadness; ()
Ses05F_script01_1_M006 :Sadness; ()
Ses05F_script01_1_M007 :Sadness; ()
Ses05F_script01_1_M008 :Sadness; ()
Ses05F_script01_1_M009 :Sadness; ()
Ses05F_script01_1_M010 :Frustration; ()
Ses05F_script01_1_M011 :Sadness; ()
Ses05F_script01_1_M012 :Sadness; ()
Ses05F_script01_1_M013 :Anger; ()
Ses05F_script01_1_M014 :Sadness; ()
Ses05F_script01_1_M015 :Frustration; ()
Ses05F_script01_1_M016 :Sadness; ()
Ses05F_script01_1_M017 :Frustration; ()
Ses05F_script01_1_M018 :Neutral state; ()
Ses05F_script01_1_M019 :Frustration; ()
Ses05F_script01_1_M020 :Frustration; ()
Ses05F_script01_1_M021 :Frustration; ()
Ses05F_script01_1_M022 :Anger; ()
Ses05F_script01_1_M023 :Anger; ()
Ses05F_script01_1_M024 :Frustration; ()
Ses05F_script01_1_M025 :Anger; ()
Ses05F_script01_1_M026 :Sadness; ()
Ses05F_script01_1_M027 :Sadness; ()
Ses05F_script01_1_M028 :Anger; ()
Ses05F_script01_1_M029 :Frustration; ()
Ses05F_script01_1_M030 :Frustration; ()
Ses05F_script01_1_M031 :Anger; ()
Ses05F_script01_1_M032 :Frustration; ()
Ses05F_script01_1_M033 :Sadness; ()
Ses05F_script01_1_M034 :Anger; ()
Ses05F_script01_1_M035 :Disgust; ()
Ses05F_script01_1_M036 :Anger; ()
Ses05F_script01_1_M037 :Anger; ()
Ses05F_script01_1_M038 :Anger; ()
Ses05F_script01_1_M039 :Anger; ()
Ses05F_script01_1_M040 :Anger; ()
