Ses05M_impro07_F000 :Neutral state; ()
Ses05M_impro07_F001 :Surprise; ()
Ses05M_impro07_F002 :Surprise; ()
Ses05M_impro07_F003 :Excited; ()
Ses05M_impro07_F004 :Happiness; ()
Ses05M_impro07_F005 :Happiness; ()
Ses05M_impro07_F006 :Surprise; ()
Ses05M_impro07_F007 :Happiness; ()
Ses05M_impro07_F008 :Happiness; ()
Ses05M_impro07_F009 :Excited; ()
Ses05M_impro07_F010 :Neutral state; ()
Ses05M_impro07_F011 :Happiness; ()
Ses05M_impro07_F012 :Excited; ()
Ses05M_impro07_F013 :Happiness; ()
Ses05M_impro07_F014 :Happiness; ()
Ses05M_impro07_F015 :Happiness; ()
Ses05M_impro07_F016 :Neutral state; ()
Ses05M_impro07_F017 :Neutral state; ()
Ses05M_impro07_F018 :Neutral state; ()
Ses05M_impro07_F019 :Neutral state; ()
Ses05M_impro07_F020 :Neutral state; ()
Ses05M_impro07_F021 :Happiness; ()
Ses05M_impro07_F022 :Excited; ()
Ses05M_impro07_F023 :Happiness; ()
Ses05M_impro07_F024 :Neutral state; ()
Ses05M_impro07_F025 :Neutral state; ()
Ses05M_impro07_F026 :Neutral state; ()
Ses05M_impro07_F027 :Neutral state; ()
Ses05M_impro07_F028 :Neutral state; ()
Ses05M_impro07_F029 :Neutral state; ()
Ses05M_impro07_F030 :Neutral state; ()
Ses05M_impro07_F031 :Neutral state; ()
Ses05M_impro07_F032 :Neutral state; ()
Ses05M_impro07_F033 :Neutral state; ()
Ses05M_impro07_F034 :Neutral state; ()
Ses05M_impro07_F035 :Happiness; ()
Ses05M_impro07_F036 :Happiness; ()
Ses05M_impro07_F037 :Happiness; ()
Ses05M_impro07_F038 :Neutral state; ()
Ses05M_impro07_F039 :Happiness; ()
Ses05M_impro07_F040 :Neutral state; ()
Ses05M_impro07_F041 :Excited; ()
Ses05M_impro07_F042 :Excited; ()
Ses05M_impro07_F043 :Happiness; ()
Ses05M_impro07_F044 :Excited; ()
Ses05M_impro07_F045 :Happiness; ()
Ses05M_impro07_F046 :Happiness; ()
Ses05M_impro07_M000 :Excited; ()
Ses05M_impro07_M001 :Excited; ()
Ses05M_impro07_M002 :Excited; ()
Ses05M_impro07_M003 :Excited; ()
Ses05M_impro07_M004 :Excited; ()
Ses05M_impro07_M005 :Excited; ()
Ses05M_impro07_M006 :Excited; ()
Ses05M_impro07_M007 :Excited; ()
Ses05M_impro07_M008 :Happiness; ()
Ses05M_impro07_M009 :Happiness; ()
Ses05M_impro07_M010 :Happiness; ()
Ses05M_impro07_M011 :Excited; ()
Ses05M_impro07_M012 :Happiness; ()
Ses05M_impro07_M013 :Excited; ()
Ses05M_impro07_M014 :Excited; ()
Ses05M_impro07_M015 :Happiness; ()
Ses05M_impro07_M016 :Excited; ()
Ses05M_impro07_M017 :Happiness; ()
Ses05M_impro07_M018 :Happiness; ()
Ses05M_impro07_M019 :Neutral state; ()
Ses05M_impro07_M020 :Neutral state; ()
Ses05M_impro07_M021 :Excited; ()
Ses05M_impro07_M022 :Excited; ()
Ses05M_impro07_M023 :Excited; ()
Ses05M_impro07_M024 :Excited; ()
Ses05M_impro07_M025 :Excited; ()
Ses05M_impro07_M026 :Happiness; ()
Ses05M_impro07_M027 :Happiness; ()
Ses05M_impro07_M028 :Happiness; ()
Ses05M_impro07_M029 :Excited; ()
Ses05M_impro07_M030 :Excited; ()
Ses05M_impro07_M031 :Excited; ()
Ses05M_impro07_M032 :Excited; ()
Ses05M_impro07_M033 :Excited; ()
Ses05M_impro07_M034 :Excited; ()
Ses05M_impro07_M035 :Happiness; ()
Ses05M_impro07_M036 :Happiness; ()
Ses05M_impro07_M037 :Happiness; ()
Ses05M_impro07_M038 :Happiness; ()
Ses05M_impro07_M039 :Happiness; ()
Ses05M_impro07_M040 :Excited; ()
Ses05M_impro07_M041 :Excited; ()
Ses05M_impro07_M042 :Excited; ()
Ses05M_impro07_M043 :Excited; ()
Ses05M_impro07_M044 :Excited; ()
Ses05M_impro07_M045 :Excited; ()
Ses05M_impro07_M046 :Happiness; ()
Ses05M_impro07_M047 :Excited; ()
