Ses05M_impro01_F000 :Sadness; ()
Ses05M_impro01_F001 :Frustration; ()
Ses05M_impro01_F002 :Frustration; ()
Ses05M_impro01_F003 :Frustration; ()
Ses05M_impro01_F004 :Frustration; ()
Ses05M_impro01_F005 :Frustration; ()
Ses05M_impro01_F006 :Frustration; ()
Ses05M_impro01_F007 :Frustration; ()
Ses05M_impro01_F008 :Frustration; ()
Ses05M_impro01_F009 :Frustration; ()
Ses05M_impro01_F010 :Frustration; ()
Ses05M_impro01_F011 :Frustration; ()
Ses05M_impro01_F012 :Frustration; ()
Ses05M_impro01_F013 :Frustration; ()
Ses05M_impro01_F014 :Frustration; ()
Ses05M_impro01_F015 :Frustration; ()
Ses05M_impro01_F016 :Frustration; ()
Ses05M_impro01_F017 :Frustration; ()
Ses05M_impro01_F018 :Frustration; ()
Ses05M_impro01_F019 :Frustration; ()
Ses05M_impro01_F020 :Frustration; ()
Ses05M_impro01_F021 :Anger; ()
Ses05M_impro01_F022 :Anger; ()
Ses05M_impro01_F023 :Anger; ()
Ses05M_impro01_M000 :Frustration; ()
Ses05M_impro01_M001 :Frustration; ()
Ses05M_impro01_M002 :Anger; ()
Ses05M_impro01_M003 :Anger; ()
Ses05M_impro01_M004 :Anger; ()
Ses05M_impro01_M005 :Anger; ()
Ses05M_impro01_M006 :Anger; ()
Ses05M_impro01_M007 :Anger; ()
Ses05M_impro01_M008 :Anger; ()
Ses05M_impro01_M009 :Anger; ()
Ses05M_impro01_M010 :Frustration; ()
Ses05M_impro01_M011 :Frustration; ()
Ses05M_impro01_M012 :Frustration; ()
Ses05M_impro01_M013 :Frustration; ()
Ses05M_impro01_M014 :Anger; ()
Ses05M_impro01_M015 :Anger; ()
Ses05M_impro01_M016 :Frustration; ()
Ses05M_impro01_M017 :Frustration; ()
Ses05M_impro01_M018 :Frustration; ()
Ses05M_impro01_M019 :Frustration; ()
Ses05M_impro01_M020 :Frustration; ()
Ses05M_impro01_M021 :Frustration; ()
Ses05M_impro01_M022 :Frustration; ()
