Ses05F_impro06_F000 :Sadness; ()
Ses05F_impro06_F001 :Sadness; ()
Ses05F_impro06_F002 :Sadness; ()
Ses05F_impro06_F003 :Sadness; ()
Ses05F_impro06_F004 :Sadness; ()
Ses05F_impro06_F005 :Sadness; ()
Ses05F_impro06_F006 :Sadness; ()
Ses05F_impro06_F007 :Sadness; ()
Ses05F_impro06_F008 :Sadness; ()
Ses05F_impro06_F009 :Sadness; ()
Ses05F_impro06_F010 :Sadness; ()
Ses05F_impro06_F011 :Sadness; ()
Ses05F_impro06_F012 :Sadness; ()
Ses05F_impro06_F013 :Sadness; ()
Ses05F_impro06_F014 :Sadness; ()
Ses05F_impro06_F015 :Sadness; ()
Ses05F_impro06_F016 :Sadness; ()
Ses05F_impro06_F017 :Sadness; ()
Ses05F_impro06_F018 :Sadness; ()
Ses05F_impro06_F019 :Neutral state; ()
Ses05F_impro06_F020 :Neutral state; ()
Ses05F_impro06_F021 :Neutral state; ()
Ses05F_impro06_F022 :Neutral state; ()
Ses05F_impro06_F023 :Neutral state; ()
Ses05F_impro06_F024 :Sadness; ()
Ses05F_impro06_F025 :Neutral state; ()
Ses05F_impro06_F026 :Sadness; ()
Ses05F_impro06_F027 :Sadness; ()
Ses05F_impro06_F028 :Neutral state; ()
Ses05F_impro06_F029 :Neutral state; ()
Ses05F_impro06_M000 :Other; (concern)
Ses05F_impro06_M001 :Other; (concern)
Ses05F_impro06_M002 :Neutral state; ()
Ses05F_impro06_M003 :Sadness; ()
Ses05F_impro06_M004 :Sadness; ()
Ses05F_impro06_M005 :Neutral state; ()
Ses05F_impro06_M006 :Neutral state; ()
Ses05F_impro06_M007 :Neutral state; ()
Ses05F_impro06_M008 :Neutral state; ()
Ses05F_impro06_M009 :Neutral state; ()
Ses05F_impro06_M010 :Neutral state; ()
Ses05F_impro06_M011 :Neutral state; ()
Ses05F_impro06_M012 :Neutral state; ()
Ses05F_impro06_M013 :Neutral state; ()
Ses05F_impro06_M014 :Neutral state; ()
Ses05F_impro06_M015 :Other; (concern)
Ses05F_impro06_M016 :Neutral state; ()
Ses05F_impro06_M017 :Neutral state; ()
Ses05F_impro06_M018 :Neutral state; ()
Ses05F_impro06_M019 :Neutral state; ()
Ses05F_impro06_M020 :Neutral state; ()
Ses05F_impro06_M021 :Neutral state; ()
Ses05F_impro06_M022 :Neutral state; ()
Ses05F_impro06_M023 :Neutral state; ()
Ses05F_impro06_M024 :Neutral state; ()
Ses05F_impro06_M025 :Neutral state; ()
